Dependency=Location Census Division	Dependency=Vintage	Dependency=Geometry House Size	Dependency=HVAC System Cooling Type	Option=Own, 0-50	Option=Own, 50-100	Option=Own, 100-150	Option=Own, 150-200	Option=Own, 200-250	Option=Own, 250-300	Option=Own, 300+	Option=Rent, 0-50	Option=Rent, 50-100	Option=Rent, 100-150	Option=Rent, 150-200	Option=Rent, 200-250	Option=Rent, 250-300	Option=Rent, 300+	Count	Weight
New England	<1950		None	0.0320083859032	0.171980707006	0.0446274240944	0.123140425113	0.144451436295	0.0849769227011	0.286826910201	0.0	0.0499934455467	0.0362801138167	0.0	0.0	0.0	0.0257142293223	20	70250.4061061
New England	<1950		None	0.117309005703	0.0	0.0574776077458	0.0	0.107321439526	0.0	0.526770103632	0.0	0.0	0.0840052708727	0.0194515350219	0.0	0.0	0.0876650374985	26	84509.8868934
New England	<1950		None	0.0	0.0	0.046453969037	0.0	0.147369123312	0.0	0.704397038865	0.0	0.0	0.0	0.0	0.0	0.0	0.101779868786	9	27563.9579296
New England	<1950		None	0.0	0.521487034992	0.226199813131	0.0	0.0	0.0	0.252313151877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	13852.808659
New England	<1950		Central	0.0	0.0	0.0771884020959	0.0	0.0	0.0684019760574	0.803823725568	0.0	0.0	0.0	0.0	0.0	0.0	0.050585896279	13	42102.0201709
New England	<1950		Central	0.0551069123383	0.057277594744	0.0	0.0559607567164	0.0674945278446	0.0604874404602	0.703672767896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18	55477.6468845
New England	<1950		Central	0.0982385630583	0.0	0.0	0.0	0.122835994634	0.0	0.778925442308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	31468.8874171
New England	<1950		Central	0.0	0.0	0.0	0.0	0.0977032123245	0.0	0.902296787676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	33399.2940085
New England	<1950		Room	0.0180489324597	0.0109826693397	0.027086402977	0.118422794321	0.06740781381	0.119727867859	0.542194204159	0.00866946899756	0.0	0.0	0.00889020354117	0.0	0.0117379583742	0.0668316841608	74	220921.576216
New England	<1950		Room	0.0386775577032	0.0	0.0436052707116	0.0399398065233	0.0514353554428	0.0702246493383	0.685865222132	0.00452191684441	0.0	0.0	0.0151917166153	0.0	0.00677583573209	0.0437626689574	101	314318.190362
