Dependency=Location Region	Option=East North Central	Option=Middle Atlantic	Option=New England	Option=West North Central	Option=West South Central	Option=Mountain - Pacific	Option=South Atlantic - East South Central
CR01	0.0	0.0	0.0	0.0	0.0	0.999995995857	0.0
CR02	0.358957044643	0.0	0.0	0.64104249246	0.0	0.0	0.0
CR03	0.0	0.0	0.99999902885	0.0	0.0	0.0	0.0
CR04	0.999999626264	0.0	0.0	0.0	0.0	0.0	0.0
CR05	0.0	0.0	0.0	0.0	0.0	0.999998224299	0.0
CR06	0.0	0.0	0.0	0.0	0.0	0.999997424599	0.0
CR07	0.0	0.999999098393	0.0	0.0	0.0	0.0	0.0
CR08	0.0	0.0	0.0	0.321044078964	0.0	0.0	0.678955054344
CR09	0.0	0.0	0.0	0.0	0.400051317461	0.0	0.59994826046
CR10	0.0	0.0	0.0	0.0	0.0	0.999996294624	0.0
CR11	0.0	0.0	0.0	0.0	0.0	0.999998441534	0.0
CR12	0.0	0.0	0.0	0.0	0.0	0.999952681597	0.0
