Dependency=Location	Dependency=Vintage	Dependency=Geometry House Size	Dependency=HVAC System Cooling	Option=0-50	Option=50-100	Option=100-150	Option=150-200	Option=200-250	Option=250-300	Option=300+	Count	Weight
Inside MSA, but not in central city - rural	<1950	0-1499	Central	0.0	0.141412779766	0.138595017337	0.302152970779	0.052708183679	0.00873391377204	0.356397134667	20	55515.5153595
Inside MSA, but not in central city - rural	<1950	0-1499	Room	0.0453116069655	0.403443469296	0.0466383343174	0.0454351280259	0.094443995978	0.0114899006014	0.353237564816	20	52943.050204
Inside MSA, but not in central city - rural	<1950	0-1499	None	0.10371076373	0.0625999262016	0.0769083151672	0.178971428928	0.120907802085	0.0	0.456901763889	10	29457.7615421
Inside MSA, but not in central city - rural	<1950	1500-2499	Central	0.0	0.243352896107	0.258239910513	0.0	0.182597120508	0.0	0.315810072872	10	21824.9454494
Inside MSA, but not in central city - rural	<1950	1500-2499	Room	0.0	0.112195873482	0.281412920876	0.0	0.366070956199	0.0	0.240320249443	10	22082.8816927
Inside MSA, but not in central city - rural	<1950	1500-2499	None	0.0	0.317941871682	0.159380686916	0.0	0.0	0.0	0.522677441403	7	16480.0793504
Inside MSA, but not in central city - rural	<1950	2500-3499	Central	0.0	0.504107525649	0.495892474351	0.0	0.0	0.0	0.0	2	4582.25589
Inside MSA, but not in central city - rural	<1950	2500-3499	Room	0.0	0.567582750918	0.0	0.432417249082	0.0	0.0	0.0	3	5591.15065353
Inside MSA, but not in central city - rural	<1950	2500-3499	None	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	1847.8198688
Inside MSA, but not in central city - rural	<1950	3500+	Central	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	417.54737701
Inside MSA, but not in central city - rural	<1950	3500+	Room	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3	5577.42381597
Inside MSA, but not in central city - rural	<1950	3500+	None	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2283.6651563
