Dependency=Usage Level	"Option=Standard, 80% Usage"	"Option=Standard, 100% Usage"	"Option=Standard, 120% Usage"	"Option=EnergyStar, 80% Usage"	"Option=EnergyStar, 100% Usage"	"Option=EnergyStar, 120% Usage"
Low	0.35	0	0	0.65	0	0
Medium	0	0.35	0	0	0.65	0
High	0	0	0.35	0	0	0.65
Average	0	0.35	0	0	0.65	0
