Time,Heating:Electricity  [kwh],Heating:Gas  [kbtu],Cooling:Electricity  [kwh],InteriorLights:Electricity  [kwh],ExteriorLights:Electricity  [kwh],InteriorEquipment:Electricity  [kwh],InteriorEquipment:Gas  [kbtu],Fans:Electricity  [kwh],Pumps:Electricity  [kwh],WaterSystems:Electricity  [kwh],WaterSystems:Gas  [kbtu],WaterSystems:Water  [gal],Electricity:Facility  [kwh],Gas:Facility  [kbtu],Water:Facility  [gal]
2009/01/01 01:00:00,0.0,0.0,0.073,0.027,0.003,0.66,0.032,0.036,0.022,0.0,0.0,0.0,0.821,0.032,0.0
2009/01/01 02:00:00,0.0,0.0,0.072,0.016,0.002,0.618,0.021,0.03,0.022,0.0,0.0,0.0,0.76,0.021,0.0
2009/01/01 03:00:00,0.0,0.0,0.072,0.011,0.001,0.607,0.017,0.028,0.022,0.0,1.103,0.0,0.742,1.12,0.0
2009/01/01 04:00:00,0.0,0.0,0.072,0.011,0.001,0.592,0.017,0.028,0.022,0.0,0.0,0.0,0.727,0.017,0.0
2009/01/01 05:00:00,0.0,0.0,0.063,0.012,0.001,0.563,0.025,0.025,0.022,0.0,1.103,0.0,0.686,1.128,0.0
2009/01/01 06:00:00,0.0,0.0,0.069,0.033,0.004,0.616,0.037,0.027,0.022,0.0,0.0,0.0,0.77,0.037,0.0
2009/01/01 07:00:00,0.0,0.0,0.0,0.077,0.009,0.758,0.052,0.0,0.0,0.0,1.103,0.0,0.844,1.155,0.0
2009/01/01 08:00:00,0.0,0.0,0.118,0.098,0.012,0.832,0.068,0.075,0.021,0.0,11.388,28.029,1.156,11.456,28.029
2009/01/01 09:00:00,0.0,0.0,0.107,0.104,0.012,0.694,0.099,0.059,0.022,0.0,2.856,0.0,0.998,2.956,0.0
2009/01/01 10:00:00,0.0,0.0,0.08,0.107,0.013,0.575,0.127,0.044,0.022,0.0,0.0,0.0,0.841,0.127,0.0
2009/01/01 11:00:00,0.0,0.0,0.087,0.104,0.012,0.576,0.132,0.048,0.022,0.0,1.103,0.0,0.849,1.235,0.0
2009/01/01 12:00:00,0.0,0.0,0.0,0.1,0.012,0.625,0.128,0.0,0.0,0.0,0.0,0.0,0.737,0.128,0.0
2009/01/01 13:00:00,0.0,0.0,0.079,0.097,0.012,0.611,0.125,0.044,0.022,0.0,1.103,0.0,0.866,1.228,0.0
2009/01/01 14:00:00,0.0,0.0,0.084,0.096,0.012,0.623,0.1,0.047,0.022,0.0,0.0,0.0,0.884,0.1,0.0
2009/01/01 15:00:00,0.0,0.0,0.091,0.097,0.012,0.732,0.093,0.05,0.022,0.0,1.16,1.346,1.005,1.252,1.346
2009/01/01 16:00:00,0.0,0.0,0.076,0.104,0.013,0.681,0.09,0.043,0.022,0.0,1.103,0.443,0.94,1.193,0.443
2009/01/01 17:00:00,0.0,0.0,0.081,0.125,0.015,0.852,0.101,0.046,0.022,0.0,0.0,0.0,1.142,0.101,0.0
2009/01/01 18:00:00,0.0,0.0,0.102,0.166,0.02,1.14,0.106,0.056,0.022,0.0,1.103,0.0,1.507,1.209,0.0
2009/01/01 19:00:00,0.0,0.0,0.151,0.208,0.025,1.197,0.084,0.109,0.022,0.0,8.509,16.661,1.713,8.592,16.661
2009/01/01 20:00:00,0.0,0.0,0.144,0.219,0.026,1.136,0.074,0.098,0.022,0.0,9.221,18.735,1.645,9.295,18.735
