Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.emissions_<type>_<scenario_name>_coal_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Coal: Clothes Dryer,emissions__<type>__<scenario_name>__coal__clothes_dryer__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_fireplace_lb,lb,Emissions: <type>: <scenario_name>: Coal: Fireplace,emissions__<type>__<scenario_name>__coal__fireplace__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_generator_lb,lb,Emissions: <type>: <scenario_name>: Coal: Generator,emissions__<type>__<scenario_name>__coal__generator__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_grill_lb,lb,Emissions: <type>: <scenario_name>: Coal: Grill,emissions__<type>__<scenario_name>__coal__grill__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Coal: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__coal__heating_heat_pump_backup__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_heating_lb,lb,Emissions: <type>: <scenario_name>: Coal: Heating,emissions__<type>__<scenario_name>__coal__heating__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Coal: Hot Water,emissions__<type>__<scenario_name>__coal__hot_water__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_lighting_lb,lb,Emissions: <type>: <scenario_name>: Coal: Lighting,emissions__<type>__<scenario_name>__coal__lighting__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Coal: Mech Vent Preheating,emissions__<type>__<scenario_name>__coal__mech_vent_preheating__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Coal: Range/Oven,emissions__<type>__<scenario_name>__coal__range_oven__lb,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_<type>_<scenario_name>_coal_total_lb,lb,Emissions: <type>: <scenario_name>: Coal: Total,emissions__<type>__<scenario_name>__coal__total__lb,lb,Scenario emissions for Coal only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_battery_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Battery,emissions__<type>__<scenario_name>__electricity__battery__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_ceiling_fan_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Ceiling Fan,emissions__<type>__<scenario_name>__electricity__ceiling_fan__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Clothes Dryer,emissions__<type>__<scenario_name>__electricity__clothes_dryer__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_clothes_washer_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Clothes Washer,emissions__<type>__<scenario_name>__electricity__clothes_washer__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_cooling_fans_pumps_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Cooling Fans/Pumps,emissions__<type>__<scenario_name>__electricity__cooling_fans_pumps__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_cooling_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Cooling,emissions__<type>__<scenario_name>__electricity__cooling__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_dehumidifier_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Dehumidifier,emissions__<type>__<scenario_name>__electricity__dehumidifier__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_dishwasher_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Dishwasher,emissions__<type>__<scenario_name>__electricity__dishwasher__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_electric_vehicle_charging_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Electric Vehicle Charging,emissions__<type>__<scenario_name>__electricity__electric_vehicle_charging__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_freezer_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Freezer,emissions__<type>__<scenario_name>__electricity__freezer__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_generator_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Generator,emissions__<type>__<scenario_name>__electricity__generator__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_heating_fans_pumps_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Heating Fans/Pumps,emissions__<type>__<scenario_name>__electricity__heating_fans_pumps__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__electricity__heating_heat_pump_backup__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_heating_heat_pump_backup_fans_pumps_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Heating Heat Pump Backup Fans/Pumps,emissions__<type>__<scenario_name>__electricity__heating_heat_pump_backup_fans_pumps__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_heating_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Heating,emissions__<type>__<scenario_name>__electricity__heating__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_hot_tub_heater_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Hot Tub Heater,emissions__<type>__<scenario_name>__electricity__hot_tub_heater__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_hot_tub_pump_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Hot Tub Pump,emissions__<type>__<scenario_name>__electricity__hot_tub_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Hot Water,emissions__<type>__<scenario_name>__electricity__hot_water__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_hot_water_recirc_pump_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Hot Water Recirc Pump,emissions__<type>__<scenario_name>__electricity__hot_water_recirc_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_hot_water_solar_thermal_pump_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Hot Water Solar Thermal Pump,emissions__<type>__<scenario_name>__electricity__hot_water_solar_thermal_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_lighting_exterior_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Lighting Exterior,emissions__<type>__<scenario_name>__electricity__lighting_exterior__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_lighting_garage_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Lighting Garage,emissions__<type>__<scenario_name>__electricity__lighting_garage__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_lighting_interior_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Lighting Interior,emissions__<type>__<scenario_name>__electricity__lighting_interior__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_mech_vent_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Mech Vent,emissions__<type>__<scenario_name>__electricity__mech_vent__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_mech_vent_precooling_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Mech Vent Precooling,emissions__<type>__<scenario_name>__electricity__mech_vent_precooling__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Mech Vent Preheating,emissions__<type>__<scenario_name>__electricity__mech_vent_preheating__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_net_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Net,emissions__<type>__<scenario_name>__electricity__net__lb,lb,Subtracts any power produced by PV or generators
report_simulation_output.emissions_<type>_<scenario_name>_electricity_plug_loads_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Plug Loads,emissions__<type>__<scenario_name>__electricity__plug_loads__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_pool_heater_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Pool Heater,emissions__<type>__<scenario_name>__electricity__pool_heater__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_pool_pump_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Pool Pump,emissions__<type>__<scenario_name>__electricity__pool_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_pv_lb,lb,Emissions: <type>: <scenario_name>: Electricity: PV,emissions__<type>__<scenario_name>__electricity__pv__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Range/Oven,emissions__<type>__<scenario_name>__electricity__range_oven__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_refrigerator_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Refrigerator,emissions__<type>__<scenario_name>__electricity__refrigerator__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_television_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Television,emissions__<type>__<scenario_name>__electricity__television__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_total_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Total,emissions__<type>__<scenario_name>__electricity__total__lb,lb,"Scenario total emissions for Electricity only, includes any battery charging/discharging"
report_simulation_output.emissions_<type>_<scenario_name>_electricity_well_pump_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Well Pump,emissions__<type>__<scenario_name>__electricity__well_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_electricity_whole_house_fan_lb,lb,Emissions: <type>: <scenario_name>: Electricity: Whole House Fan,emissions__<type>__<scenario_name>__electricity__whole_house_fan__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Clothes Dryer,emissions__<type>__<scenario_name>__fuel_oil__clothes_dryer__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_fireplace_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Fireplace,emissions__<type>__<scenario_name>__fuel_oil__fireplace__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_generator_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Generator,emissions__<type>__<scenario_name>__fuel_oil__generator__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_grill_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Grill,emissions__<type>__<scenario_name>__fuel_oil__grill__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__fuel_oil__heating_heat_pump_backup__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_heating_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Heating,emissions__<type>__<scenario_name>__fuel_oil__heating__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Hot Water,emissions__<type>__<scenario_name>__fuel_oil__hot_water__lb,lb,Scenario emissions for this Fuel Oil end use only
