Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.end_use_coal_clothes_dryer_m_btu,MBtu,End Use: Coal: Clothes Dryer,end_use__coal__clothes_dryer__kwh,kBtu,
report_simulation_output.end_use_coal_fireplace_m_btu,MBtu,End Use: Coal: Fireplace,end_use__coal__fireplace__kwh,kBtu,
report_simulation_output.end_use_coal_generator_m_btu,MBtu,End Use: Coal: Generator,end_use__coal__generator__kwh,kBtu,
report_simulation_output.end_use_coal_grill_m_btu,MBtu,End Use: Coal: Grill,end_use__coal__grill__kwh,kBtu,
report_simulation_output.end_use_coal_heating_heat_pump_backup_m_btu,MBtu,End Use: Coal: Heating Heat Pump Backup,end_use__coal__heating_heat_pump_backup__kwh,kBtu,
report_simulation_output.end_use_coal_heating_m_btu,MBtu,End Use: Coal: Heating,end_use__coal__heating__kwh,kBtu,Excludes heat pump backup
report_simulation_output.end_use_coal_hot_water_m_btu,MBtu,End Use: Coal: Hot Water,end_use__coal__hot_water__kwh,kBtu,
report_simulation_output.end_use_coal_lighting_m_btu,MBtu,End Use: Coal: Lighting,end_use__coal__lighting__kwh,kBtu,
report_simulation_output.end_use_coal_mech_vent_preheating_m_btu,MBtu,End Use: Coal: Mech Vent Preheating,end_use__coal__mech_vent_preheating__kwh,kBtu,
report_simulation_output.end_use_coal_range_oven_m_btu,MBtu,End Use: Coal: Range/Oven,end_use__coal__range_oven__kwh,kBtu,
report_simulation_output.end_use_electricity_battery_m_btu,MBtu,End Use: Electricity: Battery,end_use__electricity__battery__kwh,kWh,Positive value for charging (including efficiency losses); negative value for discharging
report_simulation_output.end_use_electricity_ceiling_fan_m_btu,MBtu,End Use: Electricity: Ceiling Fan,end_use__electricity__ceiling_fan__kwh,kWh,
report_simulation_output.end_use_electricity_clothes_dryer_m_btu,MBtu,End Use: Electricity: Clothes Dryer,end_use__electricity__clothes_dryer__kwh,kWh,
