Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.component_load_cooling_ceilings_m_btu,MBtu,Component Load: Cooling: Ceilings,component_load__cooling__ceilings__kbtu,kBtu,Heat gain/loss through HPXML Floor elements (inferred to be ceilings) adjacent to conditioned space
report_simulation_output.component_load_cooling_doors_m_btu,MBtu,Component Load: Cooling: Doors,component_load__cooling__doors__kbtu,kBtu,Heat gain/loss through HPXML Door elements adjacent to conditioned space
report_simulation_output.component_load_cooling_ducts_m_btu,MBtu,Component Load: Cooling: Ducts,component_load__cooling__ducts__kbtu,kBtu,Heat gain/loss from conduction and leakage losses through supply/return ducts outside conditioned space
report_simulation_output.component_load_cooling_floors_m_btu,MBtu,Component Load: Cooling: Floors,component_load__cooling__floors__kbtu,kBtu,Heat gain/loss through HPXML Floor elements (inferred to be floors) adjacent to conditioned space
report_simulation_output.component_load_cooling_foundation_walls_m_btu,MBtu,Component Load: Cooling: Foundation Walls,component_load__cooling__foundation_walls__kbtu,kBtu,Heat gain/loss through HPXML FoundationWall elements adjacent to conditioned space
report_simulation_output.component_load_cooling_infiltration_m_btu,MBtu,Component Load: Cooling: Infiltration,component_load__cooling__infiltration__kbtu,kBtu,Heat gain/loss from airflow induced by stack and wind effects
report_simulation_output.component_load_cooling_internal_gains_m_btu,MBtu,Component Load: Cooling: Internal Gains,component_load__cooling__internal_gains__kbtu,kBtu,"Heat gain/loss from appliances, plug loads, water heater tank losses, etc. in the conditioned space"
report_simulation_output.component_load_cooling_internal_mass_m_btu,MBtu,Component Load: Cooling: Internal Mass,component_load__cooling__internal_mass__kbtu,kBtu,"Heat gain/loss from internal mass (e.g., furniture, interior walls/floors) in conditioned space"
report_simulation_output.component_load_cooling_lighting_m_btu,MBtu,Component Load: Cooling: Lighting,component_load__cooling__lighting__kbtu,kBtu,Heat gain/loss from lighting in the conditioned space
report_simulation_output.component_load_cooling_mechanical_ventilation_m_btu,MBtu,Component Load: Cooling: Mechanical Ventilation,component_load__cooling__mechanical_ventilation__kbtu,kBtu,Heat gain/loss from airflow/fan energy from mechanical ventilation systems (including clothes dryer exhaust)
report_simulation_output.component_load_cooling_natural_ventilation_m_btu,MBtu,Component Load: Cooling: Natural Ventilation,component_load__cooling__natural_ventilation__kbtu,kBtu,Heat gain/loss from airflow through operable windows
report_simulation_output.component_load_cooling_rim_joists_m_btu,MBtu,Component Load: Cooling: Rim Joists,component_load__cooling__rim_joists__kbtu,kBtu,Heat gain/loss through HPXML RimJoist elements adjacent to conditioned space
report_simulation_output.component_load_cooling_roofs_m_btu,MBtu,Component Load: Cooling: Roofs,component_load__cooling__roofs__kbtu,kBtu,Heat gain/loss through HPXML Roof elements adjacent to conditioned space
report_simulation_output.component_load_cooling_skylights_conduction_m_btu,MBtu,Component Load: Cooling: Skylights Conduction,component_load__cooling__skylights_conduction__kbtu,kBtu,Heat gain/loss attributed to conduction through HPXML Skylight elements adjacent to conditioned space
report_simulation_output.component_load_cooling_skylights_solar_m_btu,MBtu,Component Load: Cooling: Skylights Solar,component_load__cooling__skylights_solar__kbtu,kBtu,Heat gain/loss attributed to solar gains through HPXML Skylight elements adjacent to conditioned space
report_simulation_output.component_load_cooling_slabs_m_btu,MBtu,Component Load: Cooling: Slabs,component_load__cooling__slabs__kbtu,kBtu,Heat gain/loss through HPXML Slab elements adjacent to conditioned space
report_simulation_output.component_load_cooling_walls_m_btu,MBtu,Component Load: Cooling: Walls,component_load__cooling__walls__kbtu,kBtu,Heat gain/loss through HPXML Wall elements adjacent to conditioned space
report_simulation_output.component_load_cooling_whole_house_fan_m_btu,MBtu,Component Load: Cooling: Whole House Fan,component_load__cooling__whole_house_fan__kbtu,kBtu,Heat gain/loss from airflow due to a whole house fan
report_simulation_output.component_load_cooling_windows_conduction_m_btu,MBtu,Component Load: Cooling: Windows Conduction,component_load__cooling__windows_conduction__kbtu,kBtu,Heat gain/loss attributed to conduction through HPXML Window elements adjacent to conditioned space
report_simulation_output.component_load_cooling_windows_solar_m_btu,MBtu,Component Load: Cooling: Windows Solar,component_load__cooling__windows_solar__kbtu,kBtu,Heat gain/loss attributed to solar gains through HPXML Window elements adjacent to conditioned space
report_simulation_output.component_load_heating_ceilings_m_btu,MBtu,Component Load: Heating: Ceilings,component_load__heating__ceilings__kbtu,kBtu,Heat gain/loss through HPXML Floor elements (inferred to be ceilings) adjacent to conditioned space
report_simulation_output.component_load_heating_doors_m_btu,MBtu,Component Load: Heating: Doors,component_load__heating__doors__kbtu,kBtu,Heat gain/loss through HPXML Door elements adjacent to conditioned space
report_simulation_output.component_load_heating_ducts_m_btu,MBtu,Component Load: Heating: Ducts,component_load__heating__ducts__kbtu,kBtu,Heat gain/loss from conduction and leakage losses through supply/return ducts outside conditioned space
report_simulation_output.component_load_heating_floors_m_btu,MBtu,Component Load: Heating: Floors,component_load__heating__floors__kbtu,kBtu,Heat gain/loss through HPXML Floor elements (inferred to be floors) adjacent to conditioned space
report_simulation_output.component_load_heating_foundation_walls_m_btu,MBtu,Component Load: Heating: Foundation Walls,component_load__heating__foundation_walls__kbtu,kBtu,Heat gain/loss through HPXML FoundationWall elements adjacent to conditioned space
report_simulation_output.component_load_heating_infiltration_m_btu,MBtu,Component Load: Heating: Infiltration,component_load__heating__infiltration__kbtu,kBtu,Heat gain/loss from airflow induced by stack and wind effects
report_simulation_output.component_load_heating_internal_gains_m_btu,MBtu,Component Load: Heating: Internal Gains,component_load__heating__internal_gains__kbtu,kBtu,"Heat gain/loss from appliances, plug loads, water heater tank losses, etc. in the conditioned space"
report_simulation_output.component_load_heating_internal_mass_m_btu,MBtu,Component Load: Heating: Internal Mass,component_load__heating__internal_mass__kbtu,kBtu,"Heat gain/loss from internal mass (e.g., furniture, interior walls/floors) in conditioned space"
report_simulation_output.component_load_heating_lighting_m_btu,MBtu,Component Load: Heating: Lighting,component_load__heating__lighting__kbtu,kBtu,Heat gain/loss from lighting in the conditioned space
report_simulation_output.component_load_heating_mechanical_ventilation_m_btu,MBtu,Component Load: Heating: Mechanical Ventilation,component_load__heating__mechanical_ventilation__kbtu,kBtu,Heat gain/loss from airflow/fan energy from mechanical ventilation systems (including clothes dryer exhaust)
report_simulation_output.component_load_heating_natural_ventilation_m_btu,MBtu,Component Load: Heating: Natural Ventilation,component_load__heating__natural_ventilation__kbtu,kBtu,Heat gain/loss from airflow through operable windows
report_simulation_output.component_load_heating_rim_joists_m_btu,MBtu,Component Load: Heating: Rim Joists,component_load__heating__rim_joists__kbtu,kBtu,Heat gain/loss through HPXML RimJoist elements adjacent to conditioned space
report_simulation_output.component_load_heating_roofs_m_btu,MBtu,Component Load: Heating: Roofs,component_load__heating__roofs__kbtu,kBtu,Heat gain/loss through HPXML Roof elements adjacent to conditioned space
report_simulation_output.component_load_heating_skylights_conduction_m_btu,MBtu,Component Load: Heating: Skylights Conduction,component_load__heating__skylights_conduction__kbtu,kBtu,Heat gain/loss attributed to conduction through HPXML Skylight elements adjacent to conditioned space
report_simulation_output.component_load_heating_skylights_solar_m_btu,MBtu,Component Load: Heating: Skylights Solar,component_load__heating__skylights_solar__kbtu,kBtu,Heat gain/loss attributed to solar gains through HPXML Skylight elements adjacent to conditioned space
report_simulation_output.component_load_heating_slabs_m_btu,MBtu,Component Load: Heating: Slabs,component_load__heating__slabs__kbtu,kBtu,Heat gain/loss through HPXML Slab elements adjacent to conditioned space
report_simulation_output.component_load_heating_walls_m_btu,MBtu,Component Load: Heating: Walls,component_load__heating__walls__kbtu,kBtu,Heat gain/loss through HPXML Wall elements adjacent to conditioned space
report_simulation_output.component_load_heating_whole_house_fan_m_btu,MBtu,Component Load: Heating: Whole House Fan,component_load__heating__whole_house_fan__kbtu,kBtu,Heat gain/loss from airflow due to a whole house fan
report_simulation_output.component_load_heating_windows_conduction_m_btu,MBtu,Component Load: Heating: Windows Conduction,component_load__heating__windows_conduction__kbtu,kBtu,Heat gain/loss attributed to conduction through HPXML Window elements adjacent to conditioned space
report_simulation_output.component_load_heating_windows_solar_m_btu,MBtu,Component Load: Heating: Windows Solar,component_load__heating__windows_solar__kbtu,kBtu,Heat gain/loss attributed to solar gains through HPXML Window elements adjacent to conditioned space
