Annual Name,Annual Units,Notes
report_utility_bills.<scenario_name>_coal_energy_usd,$,Scenario annual energy charges for coal.
report_utility_bills.<scenario_name>_coal_fixed_usd,$,Scenario annual fixed charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd,$,Scenario annual total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_01_01,$,Scenario January total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_02_01,$,Scenario February total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_03_01,$,Scenario March total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_04_01,$,Scenario April total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_05_01,$,Scenario May total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_06_01,$,Scenario June total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_07_01,$,Scenario July total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_08_01,$,Scenario August total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_09_01,$,Scenario September total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_10_01,$,Scenario October total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_11_01,$,Scenario November total charges for coal.
report_utility_bills.<scenario_name>_coal_total_usd_2007_12_01,$,Scenario December total charges for coal.
report_utility_bills.<scenario_name>_electricity_energy_usd,$,Scenario annual energy charges for electricity.
report_utility_bills.<scenario_name>_electricity_fixed_usd,$,Scenario annual fixed charges for electricity.
report_utility_bills.<scenario_name>_electricity_pv_credit_usd,$,Scenario annual production credit (negative value) for PV.
report_utility_bills.<scenario_name>_electricity_total_usd,$,Scenario annual total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_01_01,$,Scenario January total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_02_01,$,Scenario February total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_03_01,$,Scenario March total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_04_01,$,Scenario April total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_05_01,$,Scenario May total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_06_01,$,Scenario June total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_07_01,$,Scenario July total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_08_01,$,Scenario August total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_09_01,$,Scenario September total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_10_01,$,Scenario October total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_11_01,$,Scenario November total charges for electricity.
report_utility_bills.<scenario_name>_electricity_total_usd_2007_12_01,$,Scenario December total charges for electricity.
report_utility_bills.<scenario_name>_fuel_oil_energy_usd,$,Scenario annual energy charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_fixed_usd,$,Scenario annual fixed charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd,$,Scenario annual total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_01_01,$,Scenario January total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_02_01,$,Scenario February total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_03_01,$,Scenario March total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_04_01,$,Scenario April total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_05_01,$,Scenario May total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_06_01,$,Scenario June total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_07_01,$,Scenario July total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_08_01,$,Scenario August total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_09_01,$,Scenario September total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_10_01,$,Scenario October total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_11_01,$,Scenario November total charges for fuel oil.
report_utility_bills.<scenario_name>_fuel_oil_total_usd_2007_12_01,$,Scenario December total charges for fuel oil.
report_utility_bills.<scenario_name>_natural_gas_energy_usd,$,Scenario annual energy charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_fixed_usd,$,Scenario annual fixed charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd,$,Scenario annual total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_01_01,$,Scenario January total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_02_01,$,Scenario February total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_03_01,$,Scenario March total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_04_01,$,Scenario April total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_05_01,$,Scenario May total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_06_01,$,Scenario June total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_07_01,$,Scenario July total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_08_01,$,Scenario August total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_09_01,$,Scenario September total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_10_01,$,Scenario October total charges for natural gas.
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_11_01,$,Scenario November total charges for natural gas.
