Occ_1,Occ_2,Occ_3
1,1,1
1,1,1
1,1,1
0.993902439,1,0.999747984
0.957317073,0.975740741,0.979362679
0.835365854,0.954074074,0.962045251
0.68902439,0.875925926,0.922605287
0.540650407,0.659907407,0.800227375
0.32601626,0.521481481,0.699170027
0.263821138,0.488425926,0.658266129
0.241869919,0.374814815,0.622135977
0.223577236,0.405092593,0.663463262
0.372357724,0.469259259,0.45156026
0.61504065,0.452407407,0.536982527
0.647560976,0.485092593,0.607295027
0.618699187,0.662685185,0.729245072
0.708536585,0.780092593,0.786983647
0.814634146,0.819537037,0.812082213
0.873577236,0.849351852,0.872562724
0.926422764,0.826574074,0.781112231
0.992276423,0.879351852,0.869338038
1,0.934537037,0.947135977
1,0.985740741,0.975234095
1,0.999814815,1
