State	electricity_fixed_charge	electricity_marginal_rate	natural_gas_fixed_charge	natural_gas_marginal_rate	propane_fixed_charge	propane_marginal_rate	fuel_oil_fixed_charge	fuel_oil_marginal_rate	wood_fixed_charge	wood_marginal_rate
AL	10	0.128835397	11.25	1.198450941	0	2.994192308	0	3.032692308		
AR	10	0.111922976	11.25	0.993341588	0	2.326846154	0	3.032692308		
AZ	10	0.124597967	11.25	1.062876183	0	2.486807692	0	3.032692308		
CA	10	0.226679363	11.25	1.251454344	0	2.486807692	0	3.032692308		
CO	10	0.129536304	11.25	0.698548829	0	2.315076923	0	3.032692308		
CT	10	0.21792542	11.25	1.397604181	0	3.365153846	0	3.012653846		
DC	10	0.12969196	11.25	1.203927133	0	2.486807692	0	3.117538462		
DE	10	0.124282629	11.25	1.053177463	0	3.063346154	0	3.306615385		
FL	10	0.118232586	11.25	1.644054993	0	4.498653846	0	3.032692308		
GA	10	0.124291253	11.25	1.342114402	0	2.874076923	0	3.032692308		
IA	10	0.126296868	11.25	0.783903121	0	1.790461538	0	2.611423077		
ID	10	0.100697839	11.25	0.488870567	0	2.389538462	0	3.032692308		
IL	10	0.130608035	11.25	0.881111916	0	2.010076923	0	2.879346154		
IN	10	0.132857551	11.25	0.789727649	0	2.3695	0	2.9395		
KS	10	0.128880871	11.25	0.880778932	0	2.034730769	0	3.032692308		
KY	10	0.114262838	11.25	0.960816662	0	2.550038462	0	2.786192308		
LA	10	0.109522557	11.25	0.90533906	0	2.486807692	0	3.032692308		
MA	10	0.227501635	11.25	1.378480687	0	3.338192308	0	3.006807692		
MD	10	0.130352361	11.25	1.217491908	0	3.224769231	0	3.219615385		
ME	10	0.168769405	11.25	1.42605872	0	3.063269231	0	2.758653846		
MI	10	0.174115791	11.25	0.740219069	0	2.189692308	0	2.798307692		
MN	10	0.133928744	11.25	0.747403344	0	2.075423077	0	3.216923077		
MO	10	0.113347519	11.25	0.857985145	0	2.168346154	0	3.032692308		
MS	10	0.114840419	11.25	0.957819758	0	2.724423077	0	3.032692308		
MT	10	0.111271702	11.25	0.677791755	0	2.018538462	0	3.032692308		
NC	10	0.112440772	11.25	1.115640413	0	3.146192308	0	2.869615385		
ND	10	0.107682983	11.25	0.701760986	0	1.801346154	0	3.032692308		
NE	10	0.106677571	11.25	0.72746375	0	1.832730769	0	2.536307692		
NH	10	0.197202997	11.25	1.375350127	0	3.390923077	0	2.973115385		
NJ	10	0.162330696	11.25	0.827375004	0	3.440384615	0	3.247884615		
NM	10	0.133873183	11.25	0.719808973	0	2.486807692	0	3.032692308		
NV	10	0.114051302	11.25	0.670072623	0	2.486807692	0	3.032692308		
NY	10	0.193439341	11.25	1.196774216	0	3.052	0	3.211884615		
OH	10	0.126737761	11.25	0.905684721	0	2.541153846	0	2.833		
OK	10	0.109249996	11.25	0.795417138	0	2.337923077	0	3.032692308		
OR	10	0.112855169	11.25	0.912807526	0	2.486807692	0	3.032692308		
PA	10	0.136613018	11.25	0.994409762	0	2.723615385	0	2.868384615		
RI	10	0.221590129	11.25	1.388296448	0	3.395307692	0	3.056230769		
SC	10	0.127866343	11.25	1.081736277	0	2.486807692	0	3.032692308		
SD	10	0.121410547	11.25	0.730585055	0	1.966923077	0	3.032692308		
TN	10	0.109976447	11.25	0.772800813	0	2.970538462	0	3.032692308		
TX	10	0.120291028	11.25	1.019896752	0	2.679576923	0	3.032692308		
UT	10	0.103232299	11.25	0.680505003	0	2.333961538	0	3.032692308		
VA	10	0.118883665	11.25	1.115200174	0	3.202576923	0	2.964423077		
VT	10	0.191097568	11.25	1.183917165	0	3.347961538	0	2.895653846		
WA	10	0.100247613	11.25	0.940319679	0	2.486807692	0	3.032692308		
WI	10	0.1440078	11.25	0.760653758	0	2.074653846	0	2.662692308		
WV	10	0.120767908	11.25	0.825664118	0	2.486807692	0	3.032692308		
WY	10	0.110756249	11.25	0.795806738	0	2.486807692	0	3.032692308		
