Location,Vintage,Heating Fuel,"Electric, Hot Water, 100% AFUE","Gas, Hot Water, Condensing, 96% AFUE","Gas, Hot Water, Forced Draft, 72% AFUE","Gas, Hot Water, Forced Draft, 76% AFUE","Gas, Hot Water, Forced Draft, 80% AFUE","Gas, Hot Water, Forced Draft, 85% AFUE",None,"Oil, Hot Water, Forced Draft, 72% AFUE","Propane, Hot Water, Forced Draft, 72% AFUE",Count,Weight
H1C1 OR,1950s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,10014.82
H1C1 OR,1950s,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1612.69
H1C1 OR,1950s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,30251.15
H1C1 OR,1950s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,9877.63
H1C1 OR,1960s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,42471.5
H1C1 OR,1960s,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1612.69
H1C1 OR,1960s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,49659.83
H1C1 OR,1960s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1188.02
H1C1 OR,1970s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,65787.63
H1C1 OR,1970s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,24362.25
H1C1 OR,1970s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,6026.09
H1C1 OR,1980s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,14571.51
H1C1 OR,1980s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,25211.59
H1C1 OR,1980s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2800.71
H1C1 OR,1990s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,23542.5
H1C1 OR,1990s,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1612.69
H1C1 OR,1990s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,65765.04
H1C1 OR,1990s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3225.38
H1C1 OR,2000s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,25068.3
H1C1 OR,2000s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,38458.79
H1C1 OR,2010s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1612.69
H1C1 OR,2010s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6932.73
H1C1 OR,2010s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,8264.94
H1C1 OR,pre-1950,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,43492.25
H1C1 OR,pre-1950,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6932.73
H1C1 OR,pre-1950,natural gas,0.0,0.0,0.0,0.0,0.0820143149849,0.0,0.917985685015,0.0,0.0,7,14485.52
H1C1 OR,pre-1950,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,19129.1
H1C1 WA,1950s,electricity,0.0980237335912,0.0,0.0,0.0,0.0,0.0,0.901976266409,0.0,0.0,24,40882.14
H1C1 WA,1950s,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.918320947834,0.0816790521663,0.0,9,17932.26
H1C1 WA,1950s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,58353.35
H1C1 WA,1950s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,12045.85
H1C1 WA,1950s,propane,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2079.99
H1C1 WA,1960s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,64209.19
H1C1 WA,1960s,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1524.76
H1C1 WA,1960s,natural gas,0.0,0.0,0.0111406545262,0.0,0.0,0.0,0.988859345474,0.0,0.0,44,136864.49
H1C1 WA,1960s,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2079.99
H1C1 WA,1960s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,6163.69
H1C1 WA,1970s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,117583.12
H1C1 WA,1970s,fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,6421.18
H1C1 WA,1970s,natural gas,0.0,0.0,0.0,0.0,0.0,0.065653813426,0.934346186574,0.0,0.0,21,75494.32
H1C1 WA,1970s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,19780.05
H1C1 WA,1970s,propane,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2079.99
H1C1 WA,1980s,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34,100643.57
H1C1 WA,1980s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,64487.09
H1C1 WA,1980s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,16020.34
H1C1 WA,1980s,propane,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4956.49
H1C1 WA,1990s,electricity,0.0362442483761,0.0,0.0,0.0,0.0,0.0,0.963755751624,0.0,0.0,25,57388.14
H1C1 WA,1990s,natural gas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,89860.6
H1C1 WA,1990s,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2079.99
H1C1 WA,1990s,other fuel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,6440.17
H1C1 WA,2000s,electricity,0.110295179558,0.0,0.0,0.0,0.0,0.0,0.889704820442,0.0,0.0,14,44938.41
H1C1 WA,2000s,natural gas,0.0,0.0874093587898,0.0,0.0,0.013444826269,0.0,0.899145814941,0.0,0.0,34,113408.68
