"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",53122.9228084508,9105.10742118636,5.83440923331019,5.61459594475608e-09
"yearmaderange1950s",-176.570174353827,1708.03708992125,-0.103376077367247,0.917667164422829
"yearmaderange1960s",-954.892476081974,1812.59035126411,-0.526810967197319,0.598339897114822
"yearmaderange1970s",4880.05062921628,1786.14292596512,2.73217252565575,0.00630602960672987
"yearmaderange1980s",9938.36467688085,1838.51174779938,5.40565742306334,6.64871356843557e-08
"yearmaderange1990s",10793.013285746,1834.4030751636,5.88366506351582,4.17914754211411e-09
"yearmaderange2000s",14433.3897255399,1839.39917053469,7.84679582156399,4.83722693813454e-15
"fuelheatFuel Oil",2133.00663916963,2516.65239940469,0.847557111849927,0.396710760459636
"fuelheatNatural Gas",3896.49866813493,1221.13395480313,3.19088553127911,0.00142401379421744
"fuelheatNone",3533.9733884459,4015.68720244775,0.880041997865713,0.378863761818322
"fuelheatOther Fuel",-6123.02704010558,2641.61800891126,-2.31790781992328,0.0204801583618348
"fuelheatPropane/LPG",-5570.69124762239,2176.48793945833,-2.55948638475286,0.0105014471040159
"Size1500-2499",18230.3914783327,1155.44672097402,15.7777863292259,3.16322602207341e-55
"Size2500-3499",33004.9115307966,1508.71600712706,21.8761591809751,5.34318444257994e-103
"Size3500+",48371.8960433248,1738.63978036535,27.821689454937,1.76351506630062e-162
"CR2",-9922.48665525919,8395.56756918767,-1.18187205016078,0.237292623849846
"CR3",16686.2765867475,8524.19871906686,1.95751848785784,0.0503222673303126
"CR4",-9582.35937458847,8261.35549361262,-1.15990159024112,0.246124496500802
"CR5",-8017.69212694557,8454.30463728873,-0.948356189056942,0.342977633512285
"CR6",9913.26915060026,8513.00991235052,1.16448462443563,0.244263404429345
"CR7",7978.85695376986,8292.63136827343,0.962162261823909,0.335998028392737
"CR8",-6423.7713485218,8288.30562441897,-0.77504035681263,0.438339386142238
"CR9",-13262.6446381625,8232.80025741007,-1.61095182969188,0.107230819253738
"CR10",-4113.24390732672,8506.94778989777,-0.48351582834578,0.628743141740728
"CR11",10999.1638760413,8266.67141512348,1.33054325298558,0.183378371666375
"CR12",13343.9814825584,12003.4766616802,1.1116763799906,0.266311697026984
"cooltypeCentral System",1104.31047050869,3620.04676217344,0.305054200417477,0.760333038980994
"cooltypeNo A/C",-9978.37256591225,3829.00038403737,-2.60599936409274,0.00917813312395586
"cooltypeWindow/wall Units",-9134.43168722735,3772.7506283486,-2.4211596755404,0.0154938257720103
