Building,Location Weather Year,Usage Level,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Heating Setpoint Offset,Has Cooling Setpoint Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Lighting Use,Plug Loads,Electric Vehicle,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Pump,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio,Corridor,Geometry Single Unit Horizontal Location,Geometry Single Unit Level
1,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Left,Bottom
2,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
3,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
4,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
5,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
6,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
7,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
8,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
9,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
10,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,N/a,1,True,LeftRight,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,68F,70F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.5,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,50%,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,1.0 HP Pump,National Average,"10% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,Day304,0.13,Double-Loaded Interior,Middle,Bottom
