,Built-in electric units (%),Electric furnace (%),Heat pump (%),Total electric heating (%),Heat pump with no central AC (%),Heat pump used for secondary space heating (%),Have central duct system (%),Have central duct system and room AC only (%),Electric heat and central AC (%),Electric heat and room AC (%),Electric heat and no AC (%),Room AC only (%),Room AC and Central AC used (%),Built-in electric units with ducts (%),Built-in electric units without ducts (%),Built-in electric units (#),Electric furnace (#),Heat pump (#),Total electric heating (#),Heat pump with no central AC (#),Heat pump used for secondary space heating (#),Have central duct system (#),Have central duct system and room AC (#),Have central duct system and room AC only (#),Electric heat and central AC (#),Electric heat and room AC (#),Electric heat and no AC (#),Room AC only (#),Room AC and Central AC used (#),Built-in electric units with ducts (#),Built-in electric units without ducts (#),Built-in electric units (%),Electric furnace (%),Heat pump (%),Total electric heating (%),Heat pump with no central AC (%),Heat pump used for secondary space heating (%),Have central duct system (%),Have central duct system and room AC (%),Have central duct system and room AC only (%),Electric heat and central AC (%),Electric heat and room AC (%),Electric heat and no AC (%),Room AC only (%),Room AC and Central AC used (%),Built-in electric units with ducts (%),Built-in electric units without ducts (%),Built-in electric units (#),Electric furnace (#),Heat pump (#),Total electric heating (#),Heat pump with no central AC (#),Heat pump used for secondary space heating (#),Have central duct system (#),Have central duct system and room AC (#),Have central duct system and room AC only (#),Electric heat and central AC (#),Electric heat and room AC (#),Electric heat and no AC (#),Room AC only (#),Room AC and Central AC used (#),Built-in electric units with ducts (#),Built-in electric units without ducts (#)
,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.92697009994,0.371610783018,,,,0.444640683078,0.444640683078,,,,,,,,,78270.400303,31377.629921,31377.629921,,,,37544.041882,37544.041882,,,,,,,,,1.0,0.118511113754,0.118511113754,,,,0.118511113754,0.118511113754,,,,,,,,,128601.0,15240.6477399,15240.6477399,,,,15240.6477399,15240.6477399,,
2,0.118546694257,,,0.118546694257,,,0.917930191126,0.144316833344,0.118546694257,,,0.211670912521,0.211670912521,0.118546694257,,51608.6091,,,51608.6091,,,399615.533033,62827.488234,62827.488234,51608.6091,,,92149.692158,92149.692158,51608.6091,,0.0680781498726,0.159096001039,,0.227174150911,,,0.931921850127,0.484905798268,0.484905798268,,0.188075668038,0.0390984828737,0.55298394814,0.55298394814,,0.0680781498726,24610.6596478,57514.1589515,,82124.8185993,,,336895.340352,175296.355509,175296.355509,,67990.4824496,14134.3361497,199907.015156,199907.015156,,24610.6596478
3,,0.0750540355696,,0.1125810664,,,0.859881085097,0.298442042973,0.0750540355696,,0.0375270308306,0.366836639865,0.366836639865,,,,41940.30752,,62910.46857,,,480502.8386,166769.86073,166769.86073,41940.30752,,20970.16105,204988.86394,204988.86394,,,0.0788359346996,0.179050589687,,0.328961258318,,,0.839072710717,0.538739417346,0.433701749612,0.100775427094,0.228185831224,,0.594629038894,0.699666706629,0.0325244106852,0.0463115240144,49637.2330571,112735.085633,,207122.890191,,,528302.833631,339204.883125,273070.331503,63450.9298347,143671.960356,,374394.497872,440529.049494,20478.2471265,29158.9859306
4,0.00791665554561,0.161580626387,0.0184703036401,0.195935838984,,,0.931350862181,0.207597513087,0.153325076722,0.0346941067167,0.00791665554561,0.244842246896,0.282136457816,,0.00791665554561,3988.544236,81407.037645,9305.649677,98715.771667,,,469230.231332,123380.570066,104591.11925,77247.752851,17479.47458,3988.544236,123355.642665,142145.093481,,3988.544236,,0.173393439308,,0.314145967345,,,0.509651073574,0.392317478087,0.277073128719,0.173393439308,0.115244349368,0.140752528037,0.511864899035,0.627109248404,,,,60810.4663128,,110173.503916,,,178738.708711,137588.878105,97171.7628267,60810.4663128,40417.1152783,49363.0376028,179515.115011,219932.230289,,
5,0.00776981927036,0.374685077748,0.260592370406,0.802027133376,0.00566357821063,0.0146942753041,0.779016832736,0.128121193376,0.533517144522,0.269465597795,0.0336118607354,0.317592979157,0.359659178552,,0.00776981927036,18692.30037,901401.406355,626922.028977,1929482.72802,13625.19531,35350.86186,1874125.52649,409429.58313,308228.51176,1283512.8297,648268.861616,80861.9834,764051.666486,865252.737856,,18692.30037,0.0727560748744,0.386508767167,0.210416742247,0.802090339463,,,0.788766141769,0.210766613172,0.12518741493,0.538099343228,0.317980081533,0.0315901129442,0.330271012246,0.415850210488,0.0303454405789,0.0424106342955,145229.710666,771517.107301,420016.6467,1601066.96423,,,1574470.29338,420715.030351,249888.852314,1074109.78481,634725.764389,63057.59307,659259.912423,830086.09046,60573.0801574,84656.6305086
6,0.0535706823071,0.47176064816,0.112096305261,0.705304852343,,,0.80108809347,0.131621176345,0.500839020282,0.156600129291,0.0478657027702,0.305057616391,0.305057616391,,0.0535706823071,35274.74018,310640.70074,73812.16503,464422.78393,,,527493.26948,86668.72621,86668.72621,329787.9652,103116.64207,31518.17666,200871.59048,200871.59048,,35274.74018,0.0637837051068,0.242696691269,0.174743984518,0.72780506503,0.0436543588738,,0.612282282056,0.198209449007,0.019234808527,0.357392059402,0.356709003138,0.108440270508,0.325056020023,0.504030660503,,0.0637837051068,51008.8495132,194088.427155,139745.560323,582037.355385,34911.0892611,,489651.937477,158511.267722,15382.384136,285812.148177,285265.897154,86721.4193696,259952.500109,403081.383695,,51008.8495132
7,,0.46930695695,0.0470363725758,0.679060651598,,,0.720652161946,0.115511670569,0.432355061118,0.236175518816,0.0227614918063,0.284072824271,0.325197355732,,,,400386.121891,40128.76972,579336.097187,,,614819.618761,133633.13829,98548.01666,368860.856711,201491.579581,19418.815975,242354.848485,277439.970115,,,,0.329371667318,0.0978807328518,0.579412837853,,,0.756081342853,0.189117818792,0.0717685046802,0.364720354431,0.274110299762,,0.305945722675,0.423295036786,,,,357733.202847,106309.046996,629304.918495,,,821185.995124,205402.375933,77948.3470812,396125.694711,297713.389454,,332290.096963,459744.125814,,
8,,,0.15431035697,0.286930026609,,,0.867380330361,0.165413546219,0.15431035697,,0.132619669639,0.165413546219,0.165413546219,,,,,37261.45408,69285.23931,,,209447.071372,39942.550699,39942.550699,37261.45408,,32023.78523,39942.550699,39942.550699,,,,0.257813773911,,0.455361184427,,,0.734679090507,0.154910745787,0.0980622259972,0.0170468180219,0.0980622259972,0.340252140408,0.182882542997,0.239731062787,,,,104269.925801,,184165.788322,,,297132.822239,62651.935635,39660.1813527,6894.39677065,39660.1813527,137611.210199,73964.8192538,96956.573536,,
