Duct	stories	Climate_Zone	Foundation Type	EE	Region	WAP	yearmaderange	Size	p_dist	url	x_vals	y_vals
Inside conditioned space	1	1	Slab	0	Humid	0	Pre-1960s	0-1499	[0.25,0.02],[0.3,0.05],[0.35,0.12],[0.4,0.20],[0.45,0.31],[0.5,0.42],[0.55,0.53],[0.6,0.64],[0.65,0.73],[0.7,0.81],[0.75,0.86],[0.8,0.89],[0.85,0.91],[0.9,0.91],[0.95,0.90],[1,0.87],[1.1,0.80],[1.2,0.72],[1.3,0.62],[1.4,0.53],[1.5,0.45],[1.6,0.37],[1.7,0.31],[1.8,0.26],[1.9,0.21],[2,0.17],[2.1,0.14],[2.2,0.11],[2.3,0.09],[2.4,0.08],[2.5,0.06],[2.6,0.05],[2.7,0.04],[2.8,0.03],[2.9,0.03],[3,0.02]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0]	[0.02, 0.05, 0.12, 0.2, 0.31, 0.42, 0.53, 0.64, 0.73, 0.81, 0.86, 0.89, 0.91, 0.91, 0.9, 0.87, 0.8, 0.72, 0.62, 0.53, 0.45, 0.37, 0.31, 0.26, 0.21, 0.17, 0.14, 0.11, 0.09, 0.08, 0.06, 0.05, 0.04, 0.03, 0.03, 0.02]
Inside conditioned space	1	1	Slab	0	Humid	0	Pre-1960s	1500-2499	[0.2,0.02],[0.25,0.07],[0.3,0.16],[0.35,0.29],[0.4,0.46],[0.45,0.62],[0.5,0.78],[0.55,0.91],[0.6,1.00],[0.65,1.06],[0.7,1.09],[0.75,1.10],[0.8,1.07],[0.85,1.03],[0.9,0.98],[0.95,0.92],[1,0.86],[1.1,0.72],[1.2,0.59],[1.3,0.48],[1.4,0.38],[1.5,0.30],[1.6,0.24],[1.7,0.19],[1.8,0.15],[1.9,0.11],[2,0.09],[2.1,0.07],[2.2,0.05],[2.3,0.04],[2.4,0.03],[2.5,0.03],[2.6,0.02],[2.7,0.02],[2.8,0.01],[2.9,0.01],[3,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0]	[0.02, 0.07, 0.16, 0.29, 0.46, 0.62, 0.78, 0.91, 1.0, 1.06, 1.09, 1.1, 1.07, 1.03, 0.98, 0.92, 0.86, 0.72, 0.59, 0.48, 0.38, 0.3, 0.24, 0.19, 0.15, 0.11, 0.09, 0.07, 0.05, 0.04, 0.03, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	Pre-1960s	2500-3499	[0.15,0.01],[0.2,0.07],[0.25,0.20],[0.3,0.40],[0.35,0.64],[0.4,0.87],[0.45,1.07],[0.5,1.21],[0.55,1.29],[0.6,1.32],[0.65,1.30],[0.7,1.25],[0.75,1.18],[0.8,1.09],[0.85,0.99],[0.9,0.90],[0.95,0.80],[1,0.71],[1.1,0.55],[1.2,0.42],[1.3,0.31],[1.4,0.23],[1.5,0.17],[1.6,0.13],[1.7,0.10],[1.8,0.07],[1.9,0.05],[2,0.04],[2.1,0.03],[2.2,0.02],[2.3,0.02],[2.4,0.01],[2.5,0.01],[2.6,0.01],[2.7,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7]	[0.01, 0.07, 0.2, 0.4, 0.64, 0.87, 1.07, 1.21, 1.29, 1.32, 1.3, 1.25, 1.18, 1.09, 0.99, 0.9, 0.8, 0.71, 0.55, 0.42, 0.31, 0.23, 0.17, 0.13, 0.1, 0.07, 0.05, 0.04, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	Pre-1960s	3500+	[0.1,0.01],[0.15,0.08],[0.2,0.33],[0.25,0.71],[0.3,1.13],[0.35,1.47],[0.4,1.67],[0.45,1.75],[0.5,1.71],[0.55,1.61],[0.6,1.46],[0.65,1.29],[0.7,1.12],[0.75,0.96],[0.8,0.81],[0.85,0.68],[0.9,0.57],[0.95,0.47],[1,0.39],[1.1,0.26],[1.2,0.18],[1.3,0.12],[1.4,0.08],[1.5,0.05],[1.6,0.04],[1.7,0.03],[1.8,0.02],[1.9,0.01],[2,0.01],[2.1,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1]	[0.01, 0.08, 0.33, 0.71, 1.13, 1.47, 1.67, 1.75, 1.71, 1.61, 1.46, 1.29, 1.12, 0.96, 0.81, 0.68, 0.57, 0.47, 0.39, 0.26, 0.18, 0.12, 0.08, 0.05, 0.04, 0.03, 0.02, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	1970s	0-1499	[0.2,0.02],[0.25,0.07],[0.3,0.16],[0.35,0.29],[0.4,0.45],[0.45,0.62],[0.5,0.77],[0.55,0.90],[0.6,1.00],[0.65,1.06],[0.7,1.09],[0.75,1.09],[0.8,1.07],[0.85,1.03],[0.9,0.98],[0.95,0.92],[1,0.86],[1.1,0.72],[1.2,0.60],[1.3,0.48],[1.4,0.39],[1.5,0.31],[1.6,0.24],[1.7,0.19],[1.8,0.15],[1.9,0.12],[2,0.09],[2.1,0.07],[2.2,0.05],[2.3,0.04],[2.4,0.03],[2.5,0.03],[2.6,0.02],[2.7,0.02],[2.8,0.01],[2.9,0.01],[3,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0]	[0.02, 0.07, 0.16, 0.29, 0.45, 0.62, 0.77, 0.9, 1.0, 1.06, 1.09, 1.09, 1.07, 1.03, 0.98, 0.92, 0.86, 0.72, 0.6, 0.48, 0.39, 0.31, 0.24, 0.19, 0.15, 0.12, 0.09, 0.07, 0.05, 0.04, 0.03, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	1970s	1500-2499	[0.15,0.01],[0.2,0.06],[0.25,0.19],[0.3,0.39],[0.35,0.63],[0.4,0.86],[0.45,1.06],[0.5,1.20],[0.55,1.29],[0.6,1.32],[0.65,1.30],[0.7,1.25],[0.75,1.18],[0.8,1.09],[0.85,0.99],[0.9,0.90],[0.95,0.80],[1,0.71],[1.1,0.55],[1.2,0.42],[1.3,0.32],[1.4,0.24],[1.5,0.18],[1.6,0.13],[1.7,0.10],[1.8,0.07],[1.9,0.05],[2,0.04],[2.1,0.03],[2.2,0.02],[2.3,0.02],[2.4,0.01],[2.5,0.01],[2.6,0.01],[2.7,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7]	[0.01, 0.06, 0.19, 0.39, 0.63, 0.86, 1.06, 1.2, 1.29, 1.32, 1.3, 1.25, 1.18, 1.09, 0.99, 0.9, 0.8, 0.71, 0.55, 0.42, 0.32, 0.24, 0.18, 0.13, 0.1, 0.07, 0.05, 0.04, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	1970s	2500-3499	[0.15,0.04],[0.2,0.20],[0.25,0.48],[0.3,0.82],[0.35,1.15],[0.4,1.39],[0.45,1.54],[0.5,1.59],[0.55,1.56],[0.6,1.47],[0.65,1.35],[0.7,1.21],[0.75,1.07],[0.8,0.94],[0.85,0.81],[0.9,0.69],[0.95,0.59],[1,0.50],[1.1,0.35],[1.2,0.25],[1.3,0.17],[1.4,0.12],[1.5,0.08],[1.6,0.06],[1.7,0.04],[1.8,0.03],[1.9,0.02],[2,0.01],[2.1,0.01],[2.2,0.01],[2.3,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3]	[0.04, 0.2, 0.48, 0.82, 1.15, 1.39, 1.54, 1.59, 1.56, 1.47, 1.35, 1.21, 1.07, 0.94, 0.81, 0.69, 0.59, 0.5, 0.35, 0.25, 0.17, 0.12, 0.08, 0.06, 0.04, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	1970s	3500+	[0.08,0.01],[0.09,0.01],[0.1,0.03],[0.15,0.25],[0.2,0.76],[0.25,1.36],[0.3,1.82],[0.35,2.06],[0.4,2.09],[0.45,1.96],[0.5,1.75],[0.55,1.50],[0.6,1.26],[0.65,1.04],[0.7,0.84],[0.75,0.68],[0.8,0.54],[0.85,0.43],[0.9,0.34],[0.95,0.27],[1,0.21],[1.1,0.13],[1.2,0.08],[1.3,0.05],[1.4,0.03],[1.5,0.02],[1.6,0.01],[1.7,0.01],[1.8,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.08, 0.09, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]	[0.01, 0.01, 0.03, 0.25, 0.76, 1.36, 1.82, 2.06, 2.09, 1.96, 1.75, 1.5, 1.26, 1.04, 0.84, 0.68, 0.54, 0.43, 0.34, 0.27, 0.21, 0.13, 0.08, 0.05, 0.03, 0.02, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	1980s	0-1499	[0.2,0.02],[0.25,0.07],[0.3,0.17],[0.35,0.32],[0.4,0.49],[0.45,0.66],[0.5,0.81],[0.55,0.94],[0.6,1.03],[0.65,1.09],[0.7,1.11],[0.75,1.11],[0.8,1.08],[0.85,1.04],[0.9,0.98],[0.95,0.92],[1,0.85],[1.1,0.71],[1.2,0.58],[1.3,0.47],[1.4,0.37],[1.5,0.29],[1.6,0.23],[1.7,0.18],[1.8,0.14],[1.9,0.11],[2,0.08],[2.1,0.06],[2.2,0.05],[2.3,0.04],[2.4,0.03],[2.5,0.02],[2.6,0.02],[2.7,0.01],[2.8,0.01],[2.9,0.01],[3,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0]	[0.02, 0.07, 0.17, 0.32, 0.49, 0.66, 0.81, 0.94, 1.03, 1.09, 1.11, 1.11, 1.08, 1.04, 0.98, 0.92, 0.85, 0.71, 0.58, 0.47, 0.37, 0.29, 0.23, 0.18, 0.14, 0.11, 0.08, 0.06, 0.05, 0.04, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01]
Inside conditioned space	1	1	Slab	0	Humid	0	1980s	1500-2499	[0.15,0.01],[0.2,0.07],[0.25,0.21],[0.3,0.43],[0.35,0.67],[0.4,0.91],[0.45,1.11],[0.5,1.25],[0.55,1.32],[0.6,1.34],[0.65,1.32],[0.7,1.26],[0.75,1.18],[0.8,1.08],[0.85,0.98],[0.9,0.88],[0.95,0.78],[1,0.69],[1.1,0.53],[1.2,0.40],[1.3,0.30],[1.4,0.22],[1.5,0.16],[1.6,0.12],[1.7,0.09],[1.8,0.07],[1.9,0.05],[2,0.04],[2.1,0.03],[2.2,0.02],[2.3,0.01],[2.4,0.01],[2.5,0.01],[2.6,0.01]	http://resdb.lbl.gov/main.php?step=2&sub=2&run_env_model=&dtype1=&dtype2=&is_ca=&calc_id=2&floor_area=2000&house_height=8&year_built=3&wap=0&ee_home=0&region=1&zone=1&foundation=1&duct=1	[0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6]	[0.01, 0.07, 0.21, 0.43, 0.67, 0.91, 1.11, 1.25, 1.32, 1.34, 1.32, 1.26, 1.18, 1.08, 0.98, 0.88, 0.78, 0.69, 0.53, 0.4, 0.3, 0.22, 0.16, 0.12, 0.09, 0.07, 0.05, 0.04, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01]
