income_range	Mean	Median	Weighted Mean
$02,500 and under	3630.39459459	3607.0	3644.60344274
$02,500 to $4,999	6049.9	5940.5	6091.20719525
$05,000 to $7,499	8646.6969697	8513.0	8723.76266558
$07,500 to $9,999	12880.1296296	13083.0	12686.3005153
$10,000 to $14,999	17397.2290076	17304.0	17343.5662809
$100,000 to $119,999	114981.404358	114832.5	114909.739162
$120,000 or More	160420.586645	160965.0	160190.26668
$15,000 to $19,999	22608.0	22743.0	22440.0181986
$20,000 to $24,999	27504.6903461	27476.0	27598.7090259
$25,000 to $29,999	32470.714044	32540.0	32479.9749799
$30,000 to $34,999	37665.8277087	37758.0	37664.4848728
$35,000 to $39,999	42486.9772727	42528.5	42533.1631468
$40,000 to $44,999	47512.8140704	47537.0	47521.6656311
$45,000 to $49,999	52442.767834	52444.0	52435.2029636
$50,000 to $54,999	57472.8452381	57481.0	57495.0546341
$55,000 to $59,999	62438.3787879	62463.0	62444.4167437
$60,000 to $64,999	67534.387931	67765.0	67501.4131511
$65,000 to $69,999	72596.8446809	72624.5	72498.1622051
$70,000 to $74,999	77618.9497608	77656.5	77535.2807118
$75,000 to $79,999	82518.3988604	82618.0	82476.1471331
$80,000 to $84,999	87696.0656716	87541.0	87634.8097962
$85,000 to $89,999	92441.568254	92555.0	92404.1762167
$90,000 to $94,999	97499.1586716	97417.0	97508.1942122
$95,000 to $99,999	104841.614907	104482.5	104850.877847
