,% of homes with baseboard heat,,% of homes with electric furnaces,,% of homes with heat pumps,,% of homes with electric heating,,% of homes with heat pump and no central AC,,% of homes with heat pump used for secondary space heating,,% of homes with both room ACs and central AC or central warm-air furnace,,% of homes with central AC or Central AC/Room AC or furnace,,% of homes with electric heating and central AC,,% of homes with electric heating and room AC,,% of homes with electric heating and no AC,
,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight,2009,nweight
division,,,,,,,,,,,,,,,,,,,,,,
1,0.0224195597022,75656.983234,0.0113315380283,38239.37642,0.00117285715211,3957.920453,0.0385718178772,130164.348328,,,0.00335002665215,11304.990536,0.143471608944,484158.888783,0.470387963035,1587369.89956,0.00827925018813,27939.134443,0.0200592437409,67691.867617,0.0102333239482,34533.346268
2,0.0532236596421,494302.332152,0.0109724519876,101904.090087,0.0351618746016,326557.713906,0.105403118087,978906.889096,,,0.00753286007941,69959.68203,0.154424543319,1434181.94874,0.714076654346,6631820.47143,0.0644982256572,599012.235845,0.0266778901724,247764.68619,0.0177775633824,165104.975851
3,0.0314215445575,410912.537932,0.0443930008439,580545.638354,0.0246017096724,321726.73563,0.104274578032,1363641.7975,0.00132046524935,17268.27037,0.0151782062803,198491.68307,0.134415318241,1757804.72707,0.905813823761,11845702.1275,0.0595508884336,778771.6055,0.0280487117275,366804.607602,0.0179053509928,234155.682753
4,0.0220100367327,135436.254471,0.0940096523381,578477.689584,0.0486438074304,299324.129332,0.165472501347,1018216.19257,0.000629510914023,3873.623719,0.0161695282516,99497.350666,0.0740131075586,455431.228545,0.927662757237,5708267.13187,0.139590053126,858951.495011,0.0209274724166,128774.818237,0.00667514734203,41074.758985
5,0.0278371060836,422090.278952,0.250755124263,3802166.07398,0.288530008843,4374941.54575,0.582686460304,8835196.08082,0.00386161432852,58553.136387,0.036437611599,552498.582216,0.0437452591164,663303.454311,0.903273590552,13696215.4278,0.530900373839,8049970.64769,0.0412405384827,625324.713712,0.0169272561232,256665.697846
6,0.0199681511572,109425.933602,0.229035611065,1255120.4852,0.225450369461,1235473.27767,0.484657980008,2655937.02305,,,0.0213728297797,117123.605183,0.0345328644924,189240.902039,0.875034173296,4795207.65809,0.444486080629,2435794.07844,0.0354118952969,194058.011329,0.00791013787056,43347.739838
7,0.00318292721557,28950.12208,0.29902814988,2719792.46087,0.0487607067067,443500.060247,0.390042467894,3547607.68851,0.00072309292488,6576.847987,0.00349241875478,31765.083666,0.0445745045798,405424.711859,0.851546659303,7745191.16336,0.341410586523,3105279.35132,0.0430301148239,391377.808194,0.010064024295,91536.724601
8,0.0338500531233,105309.168602,0.0507135405231,157772.301565,0.0114164136737,35517.02055,0.121888839707,379202.133737,,,,,0.0783019977883,243601.339618,0.81800421744,2544851.07417,0.0466226528915,145045.350332,0.0435628747065,135526.23095,0.0317033121095,98630.552455
9,0.0162231818332,46607.52583,0.121984287294,350448.25851,0.203864645546,585682.07093,0.330152488015,948493.998973,0.00838130959891,24078.636832,0.013265727438,38111.064807,0.0372441373227,106998.559847,0.90518127109,2600492.30213,0.299146097887,859415.842562,0.0135859438828,39031.01358,0.0212759936988,61123.732451
10,0.0362994321811,397029.225048,0.0944808188567,1033394.85051,0.0404731753486,442680.022203,0.201596903298,2204989.3753,0.00591716330565,64719.655944,0.0113620100473,124273.295008,0.0690288304488,755010.792519,0.708651162063,7750953.79728,0.0934303684987,1021905.4286,0.0331751819722,362857.378141,0.078214321717,855478.162413
