Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.013423	0.016391	0.005034	0.035622	0.069178	0.008905	0.262655	0.014574	0.574218	0.000000	0.000000
AL, 00200	0.068579	0.107475	0.000000	0.000000	0.120269	0.027125	0.153975	0.013670	0.508907	0.000000	0.000000
AL, 00301	0.191818	0.000000	0.070600	0.015186	0.098839	0.045024	0.086824	0.024644	0.467066	0.000000	0.000000
AL, 00302	0.088623	0.000000	0.048032	0.018266	0.108918	0.157627	0.086824	0.014342	0.477369	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.008587	0.004624	0.029724	0.000000	0.729379	0.006864	0.220823	0.000000	0.000000
AL, 00500	0.023294	0.000000	0.054353	0.054353	0.077647	0.000000	0.250295	0.004223	0.535835	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.024869	0.094240	0.000000	0.490834	0.000000	0.390058	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.010947	0.023799	0.000000	0.000952	0.505406	0.000000	0.458896	0.000000	0.000000
AL, 00800	0.019588	0.000000	0.015017	0.018282	0.038849	0.000000	0.448270	0.008932	0.451062	0.000000	0.000000
AL, 00900	0.000000	0.040307	0.041567	0.000000	0.027711	0.000000	0.374705	0.000000	0.515710	0.000000	0.000000
AL, 01000	0.000000	0.021052	0.000000	0.008293	0.021264	0.008293	0.681055	0.002967	0.257076	0.000000	0.000000
AL, 01100	0.000000	0.002580	0.000000	0.000000	0.010429	0.001613	0.985378	0.000000	0.000000	0.000000	0.000000
AL, 01200	0.056765	0.027779	0.078203	0.000000	0.054349	0.110510	0.138246	0.036496	0.497653	0.000000	0.000000
AL, 01301	0.060944	0.021459	0.000000	0.020601	0.151074	0.028326	0.085388	0.000000	0.632207	0.000000	0.000000
AL, 01302	0.015906	0.000000	0.044416	0.013505	0.088533	0.120044	0.085388	0.130455	0.501752	0.000000	0.000000
AL, 01303	0.061408	0.000000	0.018565	0.025349	0.039272	0.137811	0.085388	0.039307	0.592901	0.000000	0.000000
AL, 01304	0.014496	0.000000	0.066038	0.077849	0.079460	0.044562	0.085388	0.000000	0.632207	0.000000	0.000000
AL, 01305	0.013425	0.055618	0.068563	0.013425	0.081988	0.049385	0.085388	0.002310	0.629897	0.000000	0.000000
AL, 01400	0.006744	0.000000	0.009153	0.031313	0.000000	0.000963	0.766220	0.000000	0.185607	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.192321	0.161549	0.233933	0.000000	0.412197	0.000000	0.000000
AL, 01600	0.065488	0.013510	0.069610	0.054268	0.092737	0.095714	0.179656	0.027768	0.401248	0.000000	0.000000
AL, 01700	0.007890	0.008942	0.034716	0.008942	0.010520	0.018936	0.693569	0.000000	0.216484	0.000000	0.000000
AL, 01800	0.003421	0.007981	0.000000	0.000000	0.037911	0.028505	0.662514	0.018878	0.240790	0.000000	0.000000
AL, 01900	0.088058	0.069454	0.055398	0.040515	0.059946	0.036587	0.264603	0.012454	0.372985	0.000000	0.000000
AL, 02000	0.067752	0.037752	0.014494	0.052584	0.039101	0.043145	0.148352	0.022937	0.573882	0.000000	0.000000
AL, 02100	0.009581	0.008230	0.019654	0.025550	0.034886	0.002702	0.344678	0.000000	0.554720	0.000000	0.000000
AL, 02200	0.000000	0.006960	0.000000	0.006960	0.040638	0.003143	0.736162	0.000000	0.206137	0.000000	0.000000
AL, 02300	0.000000	0.013978	0.012138	0.023909	0.031634	0.000000	0.457649	0.018298	0.442395	0.000000	0.000000
AL, 02400	0.054176	0.019035	0.043560	0.021597	0.151546	0.007687	0.296468	0.002923	0.403007	0.000000	0.000000
AL, 02500	0.015518	0.005102	0.054420	0.034863	0.019982	0.017431	0.346983	0.008978	0.496722	0.000000	0.000000
AL, 02600	0.064045	0.004349	0.089742	0.032813	0.070766	0.057324	0.195237	0.011901	0.473824	0.000000	0.000000
AL, 02701	0.049985	0.049985	0.040982	0.003105	0.016765	0.020180	0.250167	0.273218	0.295613	0.000000	0.000000
AL, 02702	0.051065	0.006910	0.055110	0.005899	0.045672	0.016348	0.250167	0.000000	0.568831	0.000000	0.000000
AL, 02703	0.032704	0.000000	0.000000	0.020017	0.048211	0.080070	0.250167	0.000000	0.568831	0.000000	0.000000
AR, 00100	0.084014	0.036622	0.059456	0.018095	0.117189	0.021111	0.076833	0.044977	0.541701	0.000000	0.000000
AR, 00200	0.119973	0.016898	0.099696	0.046975	0.045286	0.130450	0.081502	0.012481	0.446740	0.000000	0.000000
AR, 00300	0.000000	0.059731	0.015791	0.038447	0.000000	0.015104	0.332932	0.023987	0.514008	0.000000	0.000000
AR, 00400	0.002662	0.013882	0.004754	0.021299	0.008938	0.002662	0.482070	0.000000	0.463733	0.000000	0.000000
AR, 00500	0.068282	0.062814	0.007068	0.189643	0.037609	0.011603	0.149950	0.008085	0.464945	0.000000	0.000000
AR, 00600	0.000000	0.038432	0.000000	0.042151	0.205798	0.063227	0.249036	0.000000	0.401356	0.000000	0.000000
AR, 00700	0.000000	0.044952	0.000000	0.067428	0.000000	0.000000	0.528304	0.000000	0.359316	0.000000	0.000000
AR, 00800	0.086476	0.036896	0.000000	0.047274	0.021907	0.024213	0.462286	0.005576	0.315372	0.000000	0.000000
AR, 00900	0.157178	0.027022	0.058429	0.027446	0.044847	0.009903	0.106095	0.014423	0.554657	0.000000	0.000000
AR, 01000	0.069166	0.023055	0.050466	0.005123	0.032278	0.144737	0.106095	0.018778	0.550301	0.000000	0.000000
AR, 01100	0.136802	0.022167	0.041326	0.028659	0.072201	0.009342	0.216767	0.010266	0.462470	0.000000	0.000000
AR, 01200	0.124302	0.036013	0.013940	0.018006	0.073187	0.000000	0.246236	0.000000	0.488316	0.000000	0.000000
AR, 01300	0.116139	0.092061	0.000000	0.058069	0.000000	0.000000	0.265959	0.000000	0.467772	0.000000	0.000000
AR, 01400	0.019276	0.111082	0.000000	0.043780	0.069917	0.019929	0.116248	0.017659	0.602109	0.000000	0.000000
AR, 01500	0.021852	0.008551	0.011401	0.002850	0.018052	0.000000	0.464536	0.014264	0.458493	0.000000	0.000000
AR, 01600	0.062483	0.010287	0.015240	0.017526	0.022479	0.020574	0.314862	0.000000	0.536550	0.000000	0.000000
AR, 01700	0.020813	0.003921	0.005329	0.002614	0.008748	0.000000	0.679463	0.000000	0.279112	0.000000	0.000000
AR, 01800	0.033637	0.029229	0.000000	0.000000	0.003712	0.000000	0.624883	0.000000	0.308539	0.000000	0.000000
AR, 01900	0.000000	0.000000	0.023274	0.045158	0.000000	0.000000	0.587794	0.000000	0.343775	0.000000	0.000000
AR, 02000	0.017383	0.000000	0.045775	0.005215	0.041719	0.011588	0.549163	0.000000	0.329158	0.000000	0.000000
AZ, 00100	0.204957	0.000000	0.114466	0.023976	0.030937	0.091264	0.097689	0.003111	0.433601	0.000000	0.000000
AZ, 00101	0.114888	0.000000	0.098764	0.068530	0.106826	0.076592	0.097689	0.037570	0.399142	0.000000	0.000000
AZ, 00102	0.301546	0.014062	0.000000	0.046872	0.000000	0.103119	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00103	0.110722	0.000000	0.134854	0.026971	0.052522	0.140532	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00104	0.000000	0.000000	0.172208	0.146696	0.076537	0.070159	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00105	0.028579	0.021434	0.078592	0.017862	0.129796	0.189336	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00106	0.157356	0.000000	0.014011	0.000000	0.155200	0.139033	0.097689	0.043382	0.393329	0.000000	0.000000
AZ, 00107	0.149887	0.000000	0.094612	0.055275	0.080369	0.085456	0.097689	0.007075	0.429636	0.000000	0.000000
AZ, 00108	0.089853	0.000000	0.059221	0.018889	0.100063	0.197574	0.097689	0.091068	0.345644	0.000000	0.000000
AZ, 00109	0.081143	0.002333	0.056256	0.002852	0.031628	0.291389	0.097689	0.094512	0.342199	0.000000	0.000000
AZ, 00110	0.004971	0.006628	0.059650	0.000000	0.027505	0.366846	0.097689	0.023655	0.413056	0.000000	0.000000
AZ, 00111	0.000000	0.093120	0.000000	0.000000	0.000000	0.372480	0.097689	0.024661	0.412050	0.000000	0.000000
AZ, 00112	0.070733	0.008927	0.102666	0.059402	0.055625	0.168248	0.097689	0.046250	0.390461	0.000000	0.000000
AZ, 00113	0.219776	0.000000	0.032559	0.070003	0.000000	0.143262	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00114	0.048827	0.000000	0.137762	0.130787	0.000000	0.148225	0.097689	0.090354	0.346357	0.000000	0.000000
AZ, 00115	0.055723	0.000000	0.169647	0.076774	0.066868	0.096587	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00116	0.006387	0.007026	0.072171	0.106021	0.095164	0.178831	0.097689	0.050312	0.386399	0.000000	0.000000
AZ, 00117	0.000000	0.000000	0.000000	0.104542	0.000000	0.361058	0.097689	0.025790	0.410921	0.000000	0.000000
AZ, 00118	0.041410	0.000000	0.071336	0.048718	0.082820	0.221317	0.097689	0.056350	0.380361	0.000000	0.000000
AZ, 00119	0.041724	0.063534	0.160257	0.045517	0.050258	0.104310	0.097689	0.056167	0.380545	0.000000	0.000000
AZ, 00120	0.163188	0.000000	0.015976	0.000000	0.139224	0.147212	0.097689	0.016721	0.419990	0.000000	0.000000
AZ, 00121	0.274926	0.106423	0.000000	0.000000	0.000000	0.084251	0.097689	0.002678	0.434034	0.000000	0.000000
AZ, 00122	0.199084	0.035321	0.067432	0.000000	0.163763	0.000000	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00123	0.042680	0.000000	0.116400	0.186240	0.081480	0.038800	0.097689	0.073832	0.362879	0.000000	0.000000
AZ, 00124	0.196760	0.000000	0.087665	0.000000	0.075977	0.105198	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00125	0.000000	0.000000	0.000000	0.000000	0.000000	0.465600	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00126	0.104017	0.000000	0.168409	0.000000	0.106494	0.086681	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00127	0.073833	0.000000	0.018082	0.000000	0.037670	0.336016	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00128	0.000000	0.000000	0.000000	0.465600	0.000000	0.000000	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00129	0.157671	0.000000	0.081531	0.020888	0.106461	0.099050	0.097689	0.008160	0.428552	0.000000	0.000000
AZ, 00130	0.164197	0.000000	0.125959	0.000000	0.000000	0.175444	0.097689	0.022870	0.413841	0.000000	0.000000
AZ, 00131	0.120346	0.000000	0.213071	0.000000	0.033539	0.098644	0.097689	0.000000	0.436711	0.000000	0.000000
AZ, 00132	0.000000	0.000000	0.027255	0.000000	0.000000	0.438345	0.097689	0.011921	0.424791	0.000000	0.000000
