Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Corridor,Vacancy Status,Tenure,Income,Income RECS2015,Income RECS2020,Neighbors,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Has PV,PV System Size,PV Orientation,Battery,PUMA Metro Status,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Garage,Bedrooms,Occupants,Federal Poverty Level,Area Median Income,Window Areas,Insulation Ceiling,Insulation Roof,Insulation Wall,HVAC Cooling Partial Space Conditioning,Infiltration,REEDS Balancing Area,Generation And Emissions Assessment Region,City,AIANNH Area,Household Has Tribal Persons
1,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour1,Hour16,2B,"G0400130, G04000127",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00127",Single-Family Detached,1990s,1980-99,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Tile, Clay or Ceramic",Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Natural Gas,Natural Gas Tankless,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,70F,80F,Yes,Yes,6F,5F,24 hours,24 hours,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Gas, 100% Usage",100% CFL,84%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",2 Car,3,2,400%+,150%+,F18 B18 L18 R18,R-38,"Unfinished, Uninsulated","Wood Stud, R-11",100% Conditioned,8 ACH50,28,AZNMc,"AZ, Peoria",No,No
2,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour3,Hour17,2B,"G0400130, G04000132",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00132",Single-Family Detached,2010s,2010s,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,"Tile, Concrete",Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,67F,78F,Yes,Yes,6F,5F,24 hours,24 hours,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,84%,EF 17.6,None,None,None,None,None,Yes,"30% Leakage, R-8",No,None,None,None,"In metro area, not/partially in principal city",3000-3999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Stucco, Light",2 Car,5,2,400%+,150%+,F30 B30 L30 R30,R-30,"Unfinished, Uninsulated","Wood Stud, R-11",100% Conditioned,3 ACH50,28,AZNMc,"AZ, Goodyear",No,No
3,High,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour6,Hour22,2B,"G0400130, G04000123",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00123",Single-Family Detached,1990s,1980-99,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,50000-59999,40000-59999,40000-59999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Single, Clear, Non-metal",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 13",None,None,None,None,76F,75F,Yes,Yes,6F,5F,24 hours,24 hours,None,"EF 17.6, 100% Usage","Gas, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% LED,84%,None,"EF 12, National Average",Gas,None,None,None,Yes,"10% Leakage, R-4",No,None,None,None,"In metro area, principal city",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",2 Car,5,5,150-200%,60-80%,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Wood Stud, R-19",100% Conditioned,15 ACH50,28,AZNMc,"AZ, Phoenix",No,No
4,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour0,Hour17,2B,"G0400130, G04000117",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00117",Single-Family Detached,1950s,1940-59,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,Wood Shingles,Uninsulated,None,None,None,"Single, Clear, Non-metal",Yes,Propane,Propane Standard,Non-Ducted Heating,None,None,None,"Electric Boiler, 100% AFUE",No,Electricity Electric Boiler,None,None,None,None,None,67F,78F,Yes,Yes,6F,5F,24 hours,24 hours,None,"EF 17.6, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,84%,None,None,None,None,None,None,No,None,No,None,None,None,"In metro area, principal city",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,3,5,200-300%,100-120%,F9 B9 L9 R9,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,25 ACH50,28,AZNMc,"AZ, Phoenix",No,No
5,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour17,Hour20,2B,"G0400130, G04000120",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00120",Single-Family Detached,2010s,2010s,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Wood Shingles,Uninsulated,None,None,None,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,78F,Yes,Yes,6F,5F,24 hours,24 hours,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,84%,None,None,None,None,None,None,Yes,"10% Leakage, R-8",No,None,None,None,"In metro area, principal city",4000+,4000+,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Stucco, Light",2 Car,3,1,400%+,150%+,F9 B9 L9 R9,R-38,"Unfinished, Uninsulated","Wood Stud, R-11",None,5 ACH50,28,AZNMc,"AZ, Phoenix",No,No
6,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour2,Hour15,2B,"G0400130, G04000123",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00123",Single-Family Detached,1970s,1960-79,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Renter,50000-59999,40000-59999,40000-59999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Electricity,Electric Standard,Ducted Heat Pump,Heat Pump,None,None,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,Heat Pump,None,None,None,None,72F,78F,Yes,Yes,6F,5F,24 hours,24 hours,None,"EF 17.6, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,84%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",No,None,None,None,"In metro area, principal city",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,5,6,150-200%,60-80%,F12 B12 L12 R12,R-30,"Unfinished, Uninsulated","Wood Stud, R-7",100% Conditioned,8 ACH50,28,AZNMc,"AZ, Phoenix",No,No
7,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour2,Hour17,2B,"G0400130, G04000106",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00106",Single-Family Detached,1980s,1980-99,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,80000-99999,80000-99999,60000-99999,Left/Right at 15ft,No,"Tile, Clay or Ceramic","2ft R5 Under, Horizontal",None,None,None,"Double, Clear, Non-metal, Air",Yes,Electricity,Electric Standard,Ducted Heating,Central AC,None,None,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,"AC, SEER 10",None,None,None,None,67F,78F,Yes,Yes,6F,5F,24 hours,24 hours,None,"EF 19.9, 100% Usage","Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,84%,EF 15.9,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,4,4,300-400%,120-150%,F12 B12 L12 R12,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,10 ACH50,28,AZNMc,"AZ, Chandler",No,No
8,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour5,Hour18,2B,"G0400130, G04000102",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00102",Single-Family Detached,1990s,1980-99,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,60000-69999,60000-79999,60000-99999,Left/Right at 15ft,No,"Tile, Clay or Ceramic",Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Electricity,Electric Standard,Ducted Heat Pump,Heat Pump,None,None,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,Heat Pump,None,None,None,None,70F,80F,Yes,Yes,6F,5F,24 hours,24 hours,None,"EF 15.9, 100% Usage","Gas, 100% Usage",None,None,None,None,100% LED,84%,None,None,None,Has Pool,None,1.0 HP Pump,Yes,"20% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",2500-2999,2500-3999,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",None,3,1,400%+,120-150%,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Wood Stud, R-11",100% Conditioned,4 ACH50,28,AZNMc,"AZ, Mesa",No,No
9,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour13,Hour7,2B,"G0400130, G04000112",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00112",Single-Family Detached,1990s,1980-99,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,100000-119999,100000-119999,100000-149999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,72F,80F,Yes,Yes,6F,5F,24 hours,24 hours,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,84%,EF 10.5,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-4",No,None,None,None,"In metro area, not/partially in principal city",4000+,4000+,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Wood, Medium/Dark",2 Car,3,4,300-400%,150%+,F30 B30 L30 R30,R-30,"Unfinished, Uninsulated","Wood Stud, R-19",100% Conditioned,3 ACH50,28,AZNMc,"AZ, Phoenix",No,No
10,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour14,Hour17,2B,"G0400130, G04000123",None,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",2B,AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00123",Single-Family Detached,2000s,2000-09,Single-Family Detached,Electricity,None,None,Slab,Not Applicable,Occupied,Owner,45000-49999,40000-59999,40000-59999,Left/Right at 15ft,No,"Tile, Clay or Ceramic",Uninsulated,None,None,None,"Double, Clear, Metal, Air",Yes,Propane,Propane Standard,Non-Ducted Heating,Central AC,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,"AC, SEER 15",None,None,None,None,70F,65F,Yes,Yes,6F,5F,24 hours,24 hours,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% LED,84%,EF 15.9,None,None,None,None,None,Yes,"20% Leakage, R-8",No,None,None,None,"In metro area, principal city",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Stucco, Light",None,3,1,300-400%,80-100%,F12 B12 L12 R12,R-38,"Unfinished, Uninsulated","Wood Stud, R-11",100% Conditioned,5 ACH50,28,AZNMc,"AZ, Phoenix",No,No
