Option=Region	Option=Vintage	Option=Size	Option=Stories	Dependency=3 ACH50	Dependency=4 ACH50	Dependency=5 ACH50	Dependency=6 ACH50	Dependency=7 ACH50	Dependency=8 ACH50	Dependency=10 ACH50	Dependency=15 ACH50	Dependency=20 ACH50	Dependency=25 ACH50
CR09	1950s	0-1499	1	0	0	0	0	0	0	0	0	0	1
CR09	pre-1950	0-1499	1	0	0	0	0	0	0	0	0	0	1
CR10	1950s	0-1499	1	0	0	0	0	0	0	0	0	0	1
CR10	pre-1950	0-1499	1	0	0	0	0	0	0	0	0	0	1
CR12	1950s	0-1499	1	0	0	0	0	0	0	0	0	0	1
CR12	pre-1950	0-1499	1	0	0	0	0	0	0	0	0	0	1
CR11	1950s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR11	pre-1950	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR09	1970s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR10	1970s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR12	1970s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR09	1960s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR10	1960s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR12	1960s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR09	1950s	1500-2499	2+	0	0	0	0	0	0	0	0	1	0
CR09	pre-1950	1500-2499	2+	0	0	0	0	0	0	0	0	1	0
CR10	1950s	1500-2499	2+	0	0	0	0	0	0	0	0	1	0
CR10	pre-1950	1500-2499	2+	0	0	0	0	0	0	0	0	1	0
CR12	1950s	1500-2499	2+	0	0	0	0	0	0	0	0	1	0
CR12	pre-1950	1500-2499	2+	0	0	0	0	0	0	0	0	1	0
CR11	1950s	0-1499	1	0	0	0	0	0	0	0	0	1	0
CR11	pre-1950	0-1499	1	0	0	0	0	0	0	0	0	1	0
CR09	1970s	0-1499	1	0	0	0	0	0	0	0	0	1	0
CR10	1970s	0-1499	1	0	0	0	0	0	0	0	0	1	0
CR12	1970s	0-1499	1	0	0	0	0	0	0	0	0	1	0
CR06	1950s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR06	pre-1950	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR07	1950s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR07	pre-1950	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR08	1950s	0-1499	2+	0	0	0	0	0	0	0	0	1	0
CR08	pre-1950	0-1499	2+	0	0	0	0	0	0	0	0	1	0
