Dependency=FPL_BINS	Dependency=yearmaderange	Option=1 Car	Option=2 Car	Option=3+ Car	Option=None	Weight	Count
0-50	1950-pre	0.119698945468	0.0301834571227	0.0	0.850117597409	594164.022932	55.0
0-50	1950s	0.0857006226935	0.18388577869	0.0	0.730413598616	454898.845571	47.0
0-50	1960s	0.0860317363198	0.179711937297	0.014486743546	0.719769582838	371983.280775	39.0
0-50	1970s	0.158083466746	0.183434638131	0.0	0.658481895124	409862.566041	44.0
0-50	1980s	0.0961626090831	0.294969476497	0.0248028854024	0.584065029018	332398.740922	36.0
0-50	1990s	0.00830202258073	0.355988316216	0.0402490286053	0.595460632598	313159.33084	31.0
0-50	2000s	0.0532031172462	0.494445112145	0.0222588552791	0.430092915329	349884.260369	32.0
100-150	1950-pre	0.111897663321	0.0433190514013	0.0	0.844783285277	1275129.50912	129.0
100-150	1950s	0.190707259282	0.108783849519	0.0	0.700508891199	1008742.18409	97.0
100-150	1960s	0.283032858114	0.1568497336	0.0	0.560117408285	753062.077153	74.0
100-150	1970s	0.191094480278	0.306050010738	0.0	0.502855508984	998839.800404	104.0
100-150	1980s	0.0345855311215	0.333744009648	0.0147794752113	0.616890984019	564671.521058	56.0
100-150	1990s	0.163009350458	0.253857209858	0.0638566277322	0.519276811951	654425.234468	64.0
100-150	2000s	0.139563596881	0.505962185813	0.0140547197983	0.340419497507	533305.476565	57.0
150-200	1950-pre	0.124483997718	0.105274100551	0.0	0.770241901731	1432360.73115	152.0
150-200	1950s	0.276212741626	0.148060211848	0.00729943560791	0.568427610918	941531.043106	99.0
150-200	1960s	0.242979953735	0.302422397622	0.0107505348507	0.443847113792	786786.241655	98.0
150-200	1970s	0.094763144561	0.392298118122	0.00364354507583	0.509295192241	805721.495933	99.0
150-200	1980s	0.112131164676	0.356354179957	0.0359534618135	0.495561193553	619152.240651	72.0
150-200	1990s	0.0212649985269	0.490247136331	0.0649106613345	0.423577203807	705738.316699	72.0
150-200	2000s	0.0947833896574	0.562129629918	0.0474694745195	0.295617505905	799817.501759	85.0
200-250	1950-pre	0.055186344341	0.0282183663135	0.00660494077239	0.909990348573	1231294.27579	129.0
200-250	1950s	0.206777777673	0.156149493875	0.00432673728221	0.63274599117	1086841.62691	113.0
200-250	1960s	0.169525262267	0.332439944553	0.0438991748101	0.45413561837	814799.752951	90.0
200-250	1970s	0.0914906701725	0.479026310755	0.0319452831754	0.397537735897	696753.595572	89.0
200-250	1980s	0.205925807067	0.312520129641	0.00399946872999	0.477554594562	668522.687514	69.0
200-250	1990s	0.0776875033011	0.481547001	0.0754680177588	0.36529747794	779469.685649	82.0
200-250	2000s	0.0314805623918	0.675572366176	0.0617944701684	0.231152601264	947198.837266	87.0
250-300	1950-pre	0.116106272072	0.0867370647156	0.00309895286977	0.794057710343	1261450.90593	138.0
250-300	1950s	0.216059174163	0.128264849171	0.0271761578245	0.628499818842	1415312.24607	146.0
250-300	1960s	0.163549917251	0.295995831097	0.0	0.540454251652	1247907.44052	130.0
250-300	1970s	0.116310144434	0.452255459561	0.0101416942327	0.421292701773	1249489.47377	150.0
250-300	1980s	0.11309045909	0.492147974262	0.026296529432	0.368465037216	1186895.36943	118.0
250-300	1990s	0.0717108199203	0.52946906067	0.044562509832	0.354257609578	996035.013341	105.0
250-300	2000s	0.0	0.667936834376	0.144633811735	0.187429353889	1050146.2403	113.0
300+	1950-pre	0.0987831895473	0.10310879989	0.0119740362706	0.786133974292	5893632.329	646.0
300+	1950s	0.215382437501	0.236039528843	0.0162840025225	0.532294031134	4682398.22708	544.0
300+	1960s	0.180766333814	0.428210958816	0.0177724432663	0.373250264103	4191797.61684	464.0
300+	1970s	0.102582652102	0.55420147988	0.050252500189	0.29296336783	5085524.54623	592.0
300+	1980s	0.117226384658	0.62000010071	0.0633171152268	0.199456399405	5352841.01644	599.0
300+	1990s	0.0430951052929	0.616623848239	0.166121453062	0.174159593406	6578210.95789	715.0
300+	2000s	0.0349595190418	0.596214269577	0.23746610535	0.131360106031	6769371.79458	748.0
50-100	1950-pre	0.0848048979128	0.0322856016873	0.0	0.8829095004	943117.467746	96.0
50-100	1950s	0.110991158574	0.0838456530955	0.0	0.805163188331	751214.128301	74.0
50-100	1960s	0.203974770247	0.0981095399691	0.0	0.697915689784	525171.897669	52.0
50-100	1970s	0.172003470408	0.26585977048	0.0	0.562136759112	544106.488717	58.0
50-100	1980s	0.112169333735	0.290418493197	0.0613173247223	0.536094848346	494728.936861	47.0
50-100	1990s	0.0704997826608	0.423733655136	0.0717330919492	0.434033470254	330046.174808	33.0
50-100	2000s	0.1277152318	0.46470336507	0.0653611727007	0.342220230429	355790.039149	34.0
