Dependency=Location Heating Region	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Dependency=Vintage	Option=ASHP, SEER 10.3, 7.0 HSPF	Option=ASHP, SEER 11.5, 7.5 HSPF	Option=ASHP, SEER 13, 8.0 HSPF	Option=ASHP, SEER 14.3, 8.5 HSPF	Option=ASHP, SEER 16, 9.0 HSPF	Option=FIXME Dual-Fuel ASHP, SEER 14, 8.2 HSPF	Option=FIXME GSHP	Option=FIXME MSHP, SEER 18.0, 9.6 HSPF, 60% Conditioned	Option=None	Count	Weight
H1	Electricity	No	<1950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	60	135554.69
H1	Electricity	No	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	25	44071.93
H1	Electricity	No	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	21	46397.81
H1	Electricity	No	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	43	129987.4
H1	Electricity	No	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	24	69157.34
H1	Electricity	No	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19	48732.86
H1	Electricity	No	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10	33546.04
H1	Electricity	Yes	<1950	0.0	0.0931228844862	0.15838756598	0.190965510165	0.0655753910731	0.300476428761	0.0452092908514	0.146262928684	0.0	16	35671.65
H1	Electricity	Yes	1950s	0.0	0.0993838734847	0.0902632035011	0.582549517077	0.0	0.0	0.0838702914681	0.143933114469	0.0	10	22705.06
H1	Electricity	Yes	1960s	0.15445356982	0.348628812246	0.0574821867406	0.0610719268025	0.174108092779	0.144722781848	0.0	0.0595326297634	0.0	27	80078.27
H1	Electricity	Yes	1970s	0.168930536754	0.16774906661	0.0329605795031	0.165416635661	0.290169002833	0.0816923957749	0.0	0.0930817828646	0.0	45	131205.48
H1	Electricity	Yes	1980s	0.210868459309	0.386876512588	0.0513732434314	0.0513732434314	0.168427608429	0.0	0.0	0.131080932812	0.0	20	80477.99
H1	Electricity	Yes	1990s	0.264402668038	0.0652435385685	0.0745694675725	0.0680325127462	0.386350569005	0.0870918053092	0.0271547193804	0.0271547193804	0.0	25	59388.94
H1	Electricity	Yes	2000s	0.250868429926	0.104225038199	0.184539603067	0.0575576030525	0.180556070638	0.0520910905567	0.053189837484	0.116972327076	0.0	27	69424.54
H1	Fuel Oil	No	<1950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	25	69157.4
