Dependency=State	Dependency=Vintage	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-36	Count	Weight
ID	<1950	0.0	0.0	1.0	0.0	0.0	1	3785.76
ID	1950s	0.122327929865	0.388360350675	0.24465585973	0.24465585973	0.0	6	9748.06
ID	1960s	0.0	0.0739412864789	0.926058713521	0.0	0.0	7	16127.12
ID	1970s	0.0	0.0	0.396679134388	0.603320865612	0.0	4	12549.74
ID	1980s	0.0	0.0	0.838050071029	0.161949928971	0.0	4	7363.14
ID	1990s	0.0	0.0	0.3	0.7	0.0	6	5962.3
ID	2000s	0.0	0.0	0.0	1.0	0.0	7	10940.52
MT	<1950	0.197979229581	0.107909994849	0.420034617366	0.274076158205	0.0	23	40962.1
MT	1950s	0.190378076778	0.247697538578	0.371546307867	0.190378076778	0.0	9	17205.5
MT	1960s	0.0	0.0705746059168	0.929425394083	0.0	0.0	9	16219.29
MT	1970s	0.0	0.0985345227812	0.532844840927	0.368620636292	0.0	20	32438.58
MT	1980s	0.0	0.0913553338364	0.26141941673	0.647225249434	0.0	16	25059.73
MT	1990s	0.0	0.0839701063773	0.342124748539	0.354613394597	0.219291750487	19	25376.65
MT	2000s	0.0	0.0	0.0837081480284	0.838377685238	0.077914166734	17	27349.07
OR	<1950	0.0918076334276	0.0	0.908192366572	0.0	0.0	4	20968.3
OR	1950s	0.2	0.2	0.2	0.2	0.2	0	0.0
OR	1960s	0.5	0.0	0.5	0.0	0.0	2	1925.05
OR	1970s	0.2	0.2	0.2	0.2	0.2	0	0.0
OR	1980s	0.2	0.2	0.2	0.2	0.2	0	0.0
OR	1990s	0.2	0.2	0.2	0.2	0.2	0	0.0
OR	2000s	0.0	0.0	0.0	0.666666666667	0.333333333333	3	1925.05
WA	<1950	0.2	0.2	0.2	0.2	0.2	0	0.0
WA	1950s	1.0	0.0	0.0	0.0	0.0	1	1904.28
WA	1960s	0.2	0.2	0.2	0.2	0.2	0	0.0
WA	1970s	0.2	0.2	0.2	0.2	0.2	0	0.0
WA	1980s	0.2	0.2	0.2	0.2	0.2	0	0.0
WA	1990s	0.2	0.2	0.2	0.2	0.2	0	0.0
WA	2000s	0.2	0.2	0.2	0.2	0.2	0	0.0
