Dependency=Location Heating Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	12171865.0702	907	2750838.33	13419.9173872	36916023134.1
H2	3508055.36287	195	539384.97	17990.0275019	9703550444.4
H3	1780601.17689	151	286063.59	11792.0607741	3373279238.55
