Dependency=Location Region	Dependency=Vintage	Option=Clear, Single, Metal	Option=Clear, Single, Non-metal	Option=Clear, Double, Metal, Air	Option=Clear, Double, Non-metal, Air	Option=Clear, Double, Thermal-Break, Air	Option=Low-E, Double, Non-metal, Air, M-Gain	Option=Low-E, Triple, Non-metal, Air, L-Gain	Count	Weight
H1C1 OR	<1950	0.029347636591	0.0751627108186	0.0169890512698	0.302431693727	0.149487770438	0.38452733458	0.0420538025749	46	82426.91
H1C1 OR	1950s	0.0	0.015579652251	0.0696930749866	0.644109923644	0.200924274132	0.0696930749866	0.0	20	51756.29
H1C1 OR	1960s	0.135024276314	0.0427713867731	0.12340032933	0.264820444183	0.0745103549866	0.350979290027	0.00849391838625	42	94932.04
H1C1 OR	1970s	0.106672228	0.0567785279421	0.157685126545	0.339357481916	0.0863462567625	0.253160378835	0.0	44	96175.97
H1C1 OR	1980s	0.0	0.0	0.31994495091	0.285377823168	0.0657693616424	0.32890786428	0.0	17	42583.81
H1C1 OR	1990s	0.0	0.0	0.0	0.640552544086	0.0	0.359447455914	0.0	29	94145.61
H1C1 OR	2000s	0.0	0.0514388992929	0.0	0.207457667626	0.0	0.741103433081	0.0	24	80337.45
H1C1 WA	<1950	0.0357973887932	0.268071019867	0.0882380946077	0.37097476422	0.071885911895	0.165032820617	0.0	295	365587.28
H1C1 WA	1950s	0.0990148572467	0.074470630191	0.206173163294	0.43986061655	0.0441905076605	0.136290225058	0.0	84	129828.9
H1C1 WA	1960s	0.0644294176135	0.0660888820507	0.154131868907	0.368238684946	0.0606936128322	0.271190073407	0.0152274602437	109	210842.12
H1C1 WA	1970s	0.0357444339426	0.00452593542082	0.268999527735	0.363079741267	0.0654132302752	0.247641542463	0.0145955888963	100	221358.66
H1C1 WA	1980s	0.0186994086052	0.0250303467099	0.322994415754	0.418731078475	0.0	0.199843273369	0.0147014770872	75	186107.49
H1C1 WA	1990s	0.0	0.0318195095427	0.042615855925	0.506094862325	0.00940296811494	0.410066804092	0.0	60	155768.9
H1C1 WA	2000s	0.0	0.0135122248465	0.027024449693	0.423902834571	0.0	0.535560490889	0.0	66	183407.62
H1C2	<1950	0.0219102943142	0.201430795096	0.0	0.350215830967	0.166003064084	0.260440015539	0.0	34	158207.14
H1C2	1950s	0.0	0.258214579279	0.0	0.433186922157	0.0	0.308598498564	0.0	5	32008.03
H1C2	1960s	0.0751675727232	0.00797635379995	0.0342892355503	0.348277602376	0.0342892355503	0.46571076445	0.0342892355503	19	101091.93
H1C2	1970s	0.0517594261371	0.0	0.306645294136	0.0481610614791	0.103518852274	0.489915365973	0.0	12	66970.7
H1C2	1980s	0.0	0.0	0.209332936128	0.301261959309	0.0543783449514	0.435026759612	0.0	12	63745.32
H1C2	1990s	0.0	0.0	0.0	0.653543397591	0.0	0.346456602409	0.0	5	40020.77
H1C2	2000s	0.0	0.0	0.0	0.390602406071	0.0	0.609397593929	0.0	6	24315.16
H1C3	<1950	0.130952984921	0.10949841758	0.0873019899474	0.240714293621	0.281984509717	0.149547804213	0.0	18	43363.96
H1C3	1950s	0.0	0.0	0.0750190446833	0.250711357487	0.249562479878	0.424707117952	0.0	16	37923.97
H1C3	1960s	0.0777286199893	0.0	0.0790496385985	0.359881276686	0.0777286199893	0.405611844737	0.0	9	24352.42
H1C3	1970s	0.0286455515541	0.0286455515541	0.271814788791	0.297466819069	0.086109174467	0.287318114564	0.0	22	66079.37
H1C3	1980s	0.0	0.0	0.129559677531	0.730978841475	0.0	0.139461480994	0.0	6	27145.56
H1C3	1990s	0.0	0.0365350318471	0.0	0.439520555877	0.0	0.523944412276	0.0	16	51810.0
H1C3	2000s	0.0	0.0	0.0	0.762406556866	0.0	0.237593443134	0.0	27	90698.21
H2	<1950	0.0083300295347	0.076925759772	0.102978602722	0.278704817471	0.396068509922	0.136992280578	0.0	53	115548.81
H2	1950s	0.0767609438974	0.0312438736981	0.0932510250277	0.490171206797	0.0830851953017	0.225487755278	0.0	36	79931.99
H2	1960s	0.0233777535546	0.0144812010097	0.211698336932	0.625210546117	0.0511794347175	0.0740527276697	0.0	19	41172.69
H2	1970s	0.0748413562796	0.0396112347004	0.256136241105	0.342711996799	0.00549346444406	0.281205706672	0.0	50	104184.71
H2	1980s	0.133582734801	0.0	0.181793380716	0.422628579098	0.0486552922117	0.213340013172	0.0	21	32036.7
H2	1990s	0.0	0.0	0.0	0.576337459991	0.014571857005	0.343595072437	0.0654956105675	54	130682.04
H2	2000s	0.0	0.0	0.0	0.65791252381	0.0	0.330382666407	0.0117048097834	42	97794.84
H3	<1950	0.0929666939044	0.0697330347794	0.0772631348398	0.3108310252	0.182342590038	0.235456403109	0.0314071181293	38	67847.04
H3	1950s	0.0	0.0936735043233	0.107310179833	0.471444328474	0.118736017665	0.208835969705	0.0	24	28857.84
H3	1960s	0.0404522383543	0.0297060562289	0.123225751702	0.484521407762	0.0949226407759	0.227171905177	0.0	27	38533.22
H3	1970s	0.0	0.0112432069488	0.041859968066	0.548897199801	0.0581145727253	0.317398638561	0.0224864138976	35	50904.96
H3	1980s	0.0767701933851	0.0	0.0	0.455353582209	0.0767701933851	0.391106031021	0.0	26	32422.87
H3	1990s	0.0339493194392	0.0	0.0	0.48667191843	0.0	0.479378762131	0.0	23	35124.71
H3	2000s	0.0	0.0	0.0	0.438563676278	0.0	0.561436323722	0.0	27	41407.1
