Dependency=Heating Fuel	"Option=Electric, 100% Usage"	"Option=Gas, 100% Usage"	"Option=Propane, 100% Usage"	Option=None	Count	Weight
Electricity	0.890128215	0.056366657	0.052728372	0.000776756	495	1225790.36
Fuel Oil	0.993771911	0	0	0.006228089	58	154545.81
Natural Gas	0.633385326	0.344626885	0.021443722	0.000544067	638	1958286.43
Propane/LPG	0.599310013	0.116620852	0.284069135	0	20	48969.03
Wood	0.77846084	0.11762202	0.103917141	0	134	341933.34
