Dependency=Location Heating Region	Dependency=Vintage	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-36	Count	Weight
H1	<1950	0.375193591462	0.178574463687	0.355483218455	0.0907487263949	0.0	319	635380.12
H1	1950s	0.364335588758	0.165836184266	0.427051040647	0.0427771863291	0.0	104	249453.41
H1	1960s	0.123995184585	0.216389135455	0.571394604707	0.0882210752525	0.0	144	429138.52
H1	1970s	0.0366690937921	0.299398534535	0.615370644772	0.0485617269004	0.0	145	432225.98
H1	1980s	0.00631085410781	0.0703783806972	0.587702402935	0.33560836226	0.0	91	317502.19
H1	1990s	0.014572229024	0.065731925306	0.120387802298	0.793192810486	0.00611523288609	107	340132.59
H1	2000s	0.00749380952336	0.0465411197169	0.121493059359	0.813234457693	0.0112375537079	108	370185.55
H2	<1950	0.382694418529	0.0849879072223	0.427588984274	0.104728689975	0.0	47	111740.25
H2	1950s	0.242208870515	0.260966038971	0.456772376127	0.0400527143877	0.0	23	76123.43
H2	1960s	0.0414204694925	0.352865186896	0.494634955132	0.111079388479	0.0	11	27635.37
H2	1970s	0.0411691888378	0.077242812309	0.763894049328	0.117693949525	0.0	37	104184.71
H2	1980s	0.0	0.295753691436	0.45161534432	0.252630964245	0.0	13	28939.96
H2	1990s	0.0	0.0254805168619	0.0737122869992	0.900807196139	0.0	50	128551.16
H2	2000s	0.0	0.0206798073455	0.0617918220999	0.905097659171	0.0124307113839	41	92084.03
H3	<1950	0.152697525236	0.0672622989536	0.609203428807	0.170836747004	0.0	28	65716.16
H3	1950s	0.220816596114	0.278867718443	0.30416552313	0.196150162313	0.0	16	28857.84
H3	1960s	0.0280853223061	0.0681946435897	0.903720034104	0.0	0.0	18	34271.46
H3	1970s	0.0	0.0710477741778	0.494860666057	0.434091559765	0.0	24	44988.32
H3	1980s	0.0	0.0706088017501	0.392370570526	0.537020627724	0.0	20	32422.87
H3	1990s	0.0	0.0679946201133	0.334110428078	0.420323910023	0.177571041787	25	31338.95
H3	2000s	0.0	0.0	0.056928024222	0.874127846642	0.0689441291364	27	40214.64
