Dependency=Geometry Heated Basement	Dependency=Vintage	Option=In Finished Space	Option=6% Leakage, Uninsulated	Option=6% Leakage, R-6	Option=14% Leakage, Uninsulated	Option=14% Leakage, R-6	Option=24% Leakage, Uninsulated	Option=24% Leakage, R-6	Option=34% Leakage, Uninsulated	Option=34% Leakage, R-6	Option=53% Leakage, Uninsulated	Option=53% Leakage, R-6	Option=85% Leakage, Uninsulated	Option=85% Leakage, R-6
No	<1950	0.128227870271	0.0555123293308	0.0971859475092	0.0639067721366	0.111882176036	0.0592400498338	0.103712102212	0.0509919009817	0.0892719918611	0.0475974926131	0.0833293697892	0.0396777660513	0.069464231374
No	1950s	0.128227870271	0.0301907755233	0.122507501317	0.034756153007	0.141032795165	0.0322181228582	0.130734029188	0.0277323083828	0.11253158446	0.0258862352252	0.105040627177	0.0215790355505	0.0875629618748
No	1960s	0.128227870271	0.047602133302	0.105096143538	0.0548004150217	0.120988533151	0.0507986745108	0.112153477535	0.0437258406758	0.096538052167	0.040815116489	0.0901117459132	0.0340239066073	0.075118090818
No	1970s	0.128227870271	0.0144275641694	0.13827071267	0.0166092662113	0.159179681961	0.0153963926696	0.147555759377	0.0132527121885	0.127011180654	0.0123705109704	0.118556351432	0.0103121869089	0.0988298105164
No	1980s	0.128227870271	0.0136786886106	0.139019588229	0.0157471474662	0.160041800706	0.0145972292051	0.148354922841	0.0125648183674	0.127699074475	0.0117284085886	0.119198453814	0.00977692366942	0.0993650737559
No	1990s	0.128227870271	0.00759339080613	0.145104886034	0.00874164535774	0.167047302815	0.00810329624403	0.154848855802	0.0069750528715	0.133288839971	0.00651074035553	0.124416122047	0.00542742103554	0.10371457639
No	2000s	0.128227870271	0.00773720911945	0.14496106772	0.00890721153537	0.166881736637	0.00825677213219	0.154695379914	0.00710715990575	0.133156732937	0.00663405334182	0.12429280906	0.00553021602647	0.103611781399
Yes	<1950	0.559053028842	0.0280784308716	0.0491571681773	0.032324384606	0.0565905985833	0.0299639316912	0.0524581318712	0.0257919742152	0.045154247398	0.0240750644426	0.0421484376066	0.0200692247045	0.0351353769909
Yes	1950s	0.559053028842	0.0152706545323	0.0619649445166	0.0175798466995	0.0713351364898	0.0162960975767	0.0661259659857	0.0140271488014	0.0569190728118	0.0130933951981	0.0531301068511	0.0109147907372	0.0442898109582
Yes	1960s	0.559053028842	0.0240774117277	0.0531581873211	0.0277183408347	0.0611966423546	0.0256942392404	0.056727824322	0.0221167623394	0.0488294592738	0.0206445025937	0.0455789994555	0.0172094725833	0.0379951291122
Yes	1970s	0.559053028842	0.00729753854793	0.0699380605009	0.0084010550226	0.0805139281667	0.00778757714647	0.074634486416	0.0067032921791	0.0642429294341	0.00625707011967	0.0599664319295	0.00521595888239	0.0499886428131
Yes	1980s	0.559053028842	0.00691875331473	0.0703168457341	0.00796499078464	0.0809499924047	0.00738335602368	0.0750387075388	0.00635535183256	0.0645908697806	0.00593229132626	0.060291210723	0.00494521989436	0.0502593818011
Yes	1990s	0.559053028842	0.00384077738047	0.0733948216684	0.00442157062837	0.084493412561	0.00409869025787	0.0783233733046	0.00352801877059	0.0674182028426	0.00329316703513	0.0629303350141	0.00274521837211	0.0524593833233
Yes	2000s	0.559053028842	0.00391352144683	0.073322077602	0.00450531487994	0.0844096683094	0.00417631917686	0.0782457443856	0.00359483920982	0.0673513824033	0.00335553939822	0.062867962651	0.00279721262422	0.0524073890712
