Dependency=Location Region	Dependency=Vintage	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Count	Weight
H1	<1950	0.363000010955	0.422904973664	0.166653581459	0.0474414339217	266	646276.84
H1	1950s	0.45654384334	0.389346263092	0.138173100845	0.0159367927224	93	251457.12
H1	1960s	0.329136344166	0.451147463967	0.175833817212	0.043882374655	125	425968.06
H1	1970s	0.352504357116	0.474116897445	0.123180902503	0.0501978429361	144	450584.7
H1	1980s	0.264310082397	0.451315154708	0.211305629104	0.0730691337909	86	317502.19
H1	1990s	0.251858489457	0.43967123701	0.195113536023	0.113356737509	105	341745.28
H1	2000s	0.155921177538	0.504667375944	0.27251075347	0.0669006930483	106	375490.43
H2	<1950	0.335600142083	0.448788704053	0.0902048127962	0.125406341068	42	113623.76
H2	1950s	0.291252370603	0.584006063071	0.0747251702415	0.0500163960842	24	76146.23
H2	1960s	0.38323631514	0.44960190845	0.0462510465068	0.120910729904	14	41172.69
H2	1970s	0.220592150424	0.342793435655	0.388409395619	0.0482050183012	34	102280.43
H2	1980s	0.579956112833	0.249781656663	0.0600888980451	0.110173332459	15	32036.7
H2	1990s	0.28155552209	0.314996154024	0.234089397441	0.169358926445	50	130682.04
H2	2000s	0.15828626541	0.438144077949	0.258177323057	0.145392333583	41	97794.84
H3	<1950	0.173281731617	0.652004316746	0.117106203406	0.0576077482312	27	65716.16
H3	1950s	0.0396658239147	0.419327988512	0.541006187573	0.0	16	28857.84
H3	1960s	0.158898996762	0.417703477675	0.281851607522	0.141545918042	19	38533.22
H3	1970s	0.148066318096	0.394599072468	0.457334609437	0.0	24	50904.96
H3	1980s	0.0706088017501	0.607629429474	0.321761768776	0.0	19	32422.87
H3	1990s	0.127204181899	0.516109883897	0.131715535872	0.224970398332	23	35124.71
H3	2000s	0.106750291617	0.412832823356	0.343714000739	0.136702884288	26	41407.1
