Dependency=Usage Level	"Standard, 80% Usage"	"Standard, 100% Usage"	"Standard, 120% Usage"	"EnergyStar, 80% Usage"	"EnergyStar, 100% Usage"	"EnergyStar, 120% Usage"
Low	0.35	0	0	0.65	0	0
Medium	0	0.35	0	0	0.65	0
High	0	0	0.35	0	0	0.65
Average	0	0.35	0	0	0.65	0
