ParameterName=Insulation Slab				
Dependency=Location Region	Dependency=Vintage	Uninsulated	"4ft R5 Perimeter, R5 Gap"	"R10 Whole Slab, R5 Gap"
H1C1 OR	pre-1950	1	0	0
H1C1 OR	1950s	1	0	0
H1C1 OR	1960s	1	0	0
H1C1 OR	1970s	1	0	0
H1C1 OR	1980s	0.058098592	0.941901408	0
H1C1 OR	1990s	0.822240357	0	0.177759643
H1C1 OR	2000s	1	0	0
H1C1 OR	2010s	1	0	0
H1C1 WA	pre-1950	0.972077095	0	0.027922905
H1C1 WA	1950s	1	0	0
H1C1 WA	1960s	0.871754714	0	0.128245286
H1C1 WA	1970s	0.944743614	0	0.055256386
H1C1 WA	1980s	0.556017397	0	0.443982603
H1C1 WA	1990s	0.915794023	0	0.084205977
H1C1 WA	2000s	0.322618381	0	0.677381619
H1C1 WA	2010s	0.333333333	0.333333333	0.333333333
H1C2	pre-1950	1	0	0
H1C2	1950s	1	0	0
H1C2	1960s	0	0	1
H1C2	1970s	1	0	0
H1C2	1980s	1	0	0
H1C2	1990s	1	0	0
H1C2	2000s	1	0	0
H1C2	2010s	0.333333333	0.333333333	0.333333333
H1C3	pre-1950	1	0	0
H1C3	1950s	1	0	0
H1C3	1960s	1	0	0
H1C3	1970s	1	0	0
H1C3	1980s	1	0	0
H1C3	1990s	1	0	0
H1C3	2000s	0.346802418	0.653197582	0
H1C3	2010s	0.333333333	0.333333333	0.333333333
H2	pre-1950	0.940711568	0	0.059288432
H2	1950s	0.904022922	0	0.095977078
H2	1960s	1	0	0
H2	1970s	1	0	0
H2	1980s	1	0	0
H2	1990s	0.54378662	0	0.45621338
H2	2000s	0.315549416	0	0.684450584
H2	2010s	1	0	0
H3	pre-1950	0.491431045	0	0.508568955
H3	1950s	0.71256828	0	0.28743172
H3	1960s	1	0	0
H3	1970s	1	0	0
H3	1980s	0	1	0
H3	1990s	0.681776666	0	0.318223334
H3	2000s	0.617506054	0	0.382493946
H3	2010s	1	0	0
