Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
<1950	128434.040676	175	424029.96	733.908803863	311199320.746
1950s	43146.838231	59	201003.25	731.302342898	146994147.655
1960s	71562.3616698	87	331776.08	822.555881262	272904365.866
1970s	52846.8146455	68	233764.75	777.159038905	181672388.44
1980s	42361.3731445	47	173078.86	901.305811586	155996982.381
1990s	68030.5217522	88	307609.88	773.07411082	237805234.46
2000s	79553.1931804	102	312059.93	779.933266474	243385920.541
