Dependency=Geometry House Size	Dependency=Vintage	Option=1	Option=2+	Count	Weight
0-1499	<1950	0.786931636799	0.213068363201	120	284118.06
0-1499	1950s	0.875013791991	0.124986208009	53	138123.64
0-1499	1960s	0.929659742338	0.0703402576616	47	162103.33
0-1499	1970s	0.875522567196	0.124477432804	58	188932.64
0-1499	1980s	0.862127767188	0.137872232812	32	104788.25
0-1499	1990s	0.876229004872	0.123770995128	43	127333.71
0-1499	2000s	0.86988695893	0.13011304107	26	78446.71
1500-2499	<1950	0.312304453633	0.687695546367	144	367153.97
1500-2499	1950s	0.798472370709	0.201527629291	53	154474.65
1500-2499	1960s	0.548890672987	0.451109327013	75	226781.19
1500-2499	1970s	0.617851621969	0.382148378031	93	268777.93
1500-2499	1980s	0.545109026004	0.454890973996	56	170996.82
1500-2499	1990s	0.451810304955	0.548189695045	73	209548.12
1500-2499	2000s	0.380143602349	0.619856397651	75	249440.21
2500-3499	<1950	0.0668928884971	0.933107111503	61	125649.53
2500-3499	1950s	0.711318124172	0.288681875828	23	56046.92
2500-3499	1960s	0.738469109282	0.261530890718	28	87664.52
2500-3499	1970s	0.375792111953	0.624207888047	43	118510.71
2500-3499	1980s	0.0744723338648	0.925527666135	23	79447.49
2500-3499	1990s	0.294604996738	0.705395003262	38	101896.88
2500-3499	2000s	0.157762034963	0.842237965037	53	141805.79
3500+	<1950	0.116850120751	0.883149879249	10	48695.2
3500+	1950s	0.5	0.5	4	7815.98
3500+	1960s	0.699836188447	0.300163811553	8	29124.93
3500+	1970s	0.564664680616	0.435335319384	8	27548.81
3500+	1980s	0.0446126333747	0.955387366625	9	26729.2
3500+	1990s	0.141859226805	0.858140773195	24	68773.32
3500+	2000s	0.211932934604	0.788067065396	19	44999.66
