Dependency=Location Region	Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1C1 OR	<1950	4850.55084644	8	15673.54	606.318855805	9503162.83921
H1C1 OR	1950s	3418.8654199	6	31439.17	569.810903317	17914381.8572
H1C1 OR	1960s	8589.3304357	14	64713.31	613.52360255	39703143.0841
H1C1 OR	1970s	4623.71417203	7	25974.94	660.530596004	17157242.5994
H1C1 OR	1980s	3805.7495377	6	25211.59	634.291589617	15991499.4979
H1C1 OR	1990s	9741.1248031	15	75218.0	649.408320207	48847195.0293
H1C1 OR	2000s	9268.64422019	15	57501.0	617.909614679	35530420.7537
H1C1 WA	<1950	82526.9917367	116	203903.34	711.439583937	145064907.373
H1C1 WA	1950s	19542.6041787	25	62916.0	781.704167146	49181699.3802
H1C1 WA	1960s	44660.8662669	49	145881.28	911.446250344	132962945.651
H1C1 WA	1970s	16354.3017924	21	72002.52	778.776275829	56073854.3759
H1C1 WA	1980s	19950.3128901	22	76480.06	906.832404097	69354596.6753
H1C1 WA	1990s	24744.4825033	32	93091.46	773.265078227	71984375.0991
H1C1 WA	2000s	26426.119414	33	102083.89	800.791497394	81747911.1329
H1C2	<1950	9646.3904287	13	96786.54	742.030032977	71818519.4679
H1C2	1950s	1546.3077485	3	22130.4	515.435916167	11406802.9991
H1C2	1960s	7489.4587805	9	74403.94	832.162086722	61916137.9708
H1C2	1970s	2979.6413705	5	34663.65	595.9282741	20657049.1185
H1C2	1980s	4722.0942328	6	41596.38	787.015705467	32737004.3506
H1C2	1990s	3659.2838652	3	26136.77	1219.7612884	31880620.2498
H1C2	2000s	1246.1730478	2	13865.46	623.0865239	8639381.27367
H1C3	<1950	5942.9742817	7	22466.54	848.996325957	19074009.917
H1C3	1950s	4799.6544646	8	28425.37	599.956808075	17053994.2536
H1C3	1960s	2048.4965769	5	21234.91	409.69931538	8699928.08916
H1C3	1970s	2256.614107	5	17047.32	451.3228214	7693844.55971
H1C3	1980s	4384.7560997	4	12969.97	1096.18902493	14217538.7676
H1C3	1990s	5431.2264988	7	24618.84	775.889499829	19101499.454
H1C3	2000s	11794.0124517	17	59429.7	693.765438335	41230271.8706
H2	<1950	9770.51795524	13	48147.91	751.578304249	36186924.5509
H2	1950s	4840.60360512	9	42846.74	537.844845013	23044898.2346
H2	1960s	1837.5261371	2	12344.86	918.76306855	11342001.4544
H2	1970s	10827.1002464	14	51603.53	773.364303314	39908328.027
H2	1980s	1382.3598822	2	3829.33	691.1799411	2646756.08385
H2	1990s	16343.0373039	22	74250.15	742.865331996	55157862.3305
H2	2000s	14299.5732188	19	55695.16	752.609116779	41916685.1765
H3	<1950	15696.6154273	18	37052.09	872.034190406	32310689.306
H3	1950s	8998.8028142	8	13245.57	1124.85035178	14899284.074
H3	1960s	6936.68347273	8	13197.78	867.085434092	11443602.8003
H3	1970s	15805.4429572	16	32472.79	987.840184825	32077926.8754
H3	1980s	8116.100502	7	12991.53	1159.44292886	15062937.5935
H3	1990s	8111.3667779	9	14294.66	901.262975322	12883247.8028
H3	2000s	16518.6708279	16	23484.72	1032.41692674	24246022.4478
