Dependency=State	Dependency=Vintage	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-36	Count	Weight
ID	<1950	0.54174422715	0.243756796938	0.176109031743	0.0383899441693	0.0	15	31061.78
ID	1950s	0.0867735879262	0.275484274716	0.637742137358	0.0	0.0	5	13742.2
ID	1960s	0.0	0.136063751857	0.863936248143	0.0	0.0	3	8763.98
ID	1970s	0.0661742508324	0.105043285239	0.72373917869	0.105043285239	0.0	15	36040.0
ID	1980s	0.0	0.0	0.838050071029	0.161949928971	0.0	4	7363.14
ID	1990s	0.0	0.0	0.172787249629	0.827212750371	0.0	15	43819.9
ID	2000s	0.0	0.0	0.0782483171205	0.92175168288	0.0	23	48381.36
MT	<1950	0.175873370645	0.0	0.587936685322	0.236189944033	0.0	9	12115.99
MT	1950s	0.25	0.0	0.5	0.25	0.0	4	4578.68
MT	1960s	0.25	0.0	0.5	0.25	0.0	4	4578.68
MT	1970s	0.0	0.302501133911	0.23249962203	0.464999244059	0.0	10	14088.41
MT	1980s	0.0	0.0	0.333333333333	0.666666666667	0.0	3	3434.01
MT	1990s	0.0	0.247012592133	0.0	0.752987407867	0.0	10	13260.66
MT	2000s	0.0	0.0	0.0	0.825270565249	0.174729434751	4	6551.1
OR	<1950	0.486384701929	0.0491678085647	0.390695776659	0.073751712847	0.0	11	39152.65
OR	1950s	0.5	0.0	0.5	0.0	0.0	2	3850.1
OR	1960s	0.0	0.816384733145	0.0	0.183615266855	0.0	2	10484.15
OR	1970s	0.0	0.0	0.8	0.2	0.0	5	9625.25
OR	1980s	0.0	0.597108324468	0.268594450355	0.134297225177	0.0	4	14334.25
OR	1990s	0.0	0.0	0.0	1.0	0.0	11	34443.65
OR	2000s	0.0	0.0	0.0	1.0	0.0	6	11550.3
WA	<1950	0.161874448101	0.0	0.676251103798	0.161874448101	0.0	12	29409.83
WA	1950s	0.262742285105	0.298037809219	0.403924381562	0.0352955241143	0.0	12	53952.45
WA	1960s	0.0	0.0	1.0	0.0	0.0	2	3808.56
WA	1970s	0.0428592166964	0.0	0.957140783304	0.0	0.0	7	44431.05
WA	1980s	0.0	0.0	0.5	0.5	0.0	2	3808.56
WA	1990s	0.0	0.0	0.0514295668425	0.948570433157	0.0	14	37026.95
WA	2000s	0.0	0.0743822474432	0.0743822474432	0.851235505114	0.0	8	25601.27
