Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
<1950	4255467.83211	333	825217.89	12779.182679	10545610166.3
1950s	1820254.76525	130	347707.08	14001.9597327	4868580532.94
1960s	2191149.63338	155	495038.73	14136.4492476	6998089882.23
1970s	3099471.25698	190	566676.11	16313.0066157	9244191131.39
1980s	1779130.78806	115	365498.42	15470.7025049	5654517321.81
1990s	2244197.31266	168	488458.95	13358.3173373	6524989660.34
2000s	2070850.0215	162	487689.71	12783.0248241	6234149669.38
