ParameterName=Insulation Unfinished Attic									
Dependency=Location Region	Dependency=Vintage	"Uninsulated, Vented"	"Ceiling R-7, Vented"	"Ceiling R-13, Vented"	"Ceiling R-19, Vented"	"Ceiling R-30, Vented"	"Ceiling R-38, Vented"	"Ceiling R-49, Vented"	"Ceiling R-60, Vented"
H1C1 OR	pre-1950	0	0.016794458	0.120737493	0.516582192	0.046569269	0.299316588	0	0
H1C1 OR	1950s	0	0.147251289	0.002958418	0.357652066	0.027530687	0.089439137	0.019577764	0.35559064
H1C1 OR	1960s	0	0	0.256888679	0.193312346	0.078558723	0.157452999	0.236739274	0.077047978
H1C1 OR	1970s	0.013219409	0.061869631	0.109129377	0.169434116	0.283128444	0.254204778	0.109014244	0
H1C1 OR	1980s	0	0	0.238130377	0.30343005	0.356447326	0.086737308	0.015254939	0
H1C1 OR	1990s	0	0	0	0.076335585	0.147961947	0.596780638	0.134340036	0.044581793
H1C1 OR	2000s	0	0	0	0	0.150305941	0.595050236	0.207373525	0.047270297
H1C1 OR	2010s	0	0	0	0	0.619369077	0	0.380630923	0
H1C1 WA	pre-1950	0.065260816	0.150319151	0.17295147	0.253077415	0.112710806	0.212791629	0.017645836	0.015242876
H1C1 WA	1950s	0.033087697	0.126008247	0.202078387	0.212630547	0.148302645	0.247461506	0.005612841	0.024818129
H1C1 WA	1960s	0.001113817	0.094150108	0.126147065	0.407708284	0.120963463	0.2280836	0.021833663	0
H1C1 WA	1970s	0.009913678	0.1255739	0.156799171	0.234290274	0.162709449	0.299836808	0	0.010876721
H1C1 WA	1980s	0	0.00790109	0.093325411	0.212254259	0.446168572	0.240350669	0	0
H1C1 WA	1990s	0.00726609	0.026090569	0	0.205551146	0.149946792	0.56100861	0.040631155	0.009505638
H1C1 WA	2000s	0.00370501	0	0	0.010056457	0.204784607	0.622674006	0.136165465	0.022614455
H1C1 WA	2010s	0	0	0	0	0	1	0	0
H1C2	pre-1950	0.056711935	0.184361675	0.040962045	0.493071007	0.067414772	0.112270888	0.045207677	0
H1C2	1950s	0	0	0.212057863	0.032294427	0.558540689	0.197107021	0	0
H1C2	1960s	0.008510054	0	0.123001125	0.409847276	0	0.458641545	0	0
H1C2	1970s	0	0	0.158237587	0.155773901	0.299087916	0	0.386900596	0
H1C2	1980s	0	0	0	0.234841304	0.543903435	0.221255262	0	0
H1C2	1990s	0	0	0	0	0.20776973	0.79223027	0	0
H1C2	2000s	0	0	0	0	0.085545124	0.914454876	0	0
H1C2	2010s	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
H1C3	pre-1950	0	0.074278464	0.069742813	0.228604593	0.162857469	0.249727115	0.117290046	0.097499499
H1C3	1950s	0	0	0.189985639	0.240978717	0.254250821	0.241596556	0.073188267	0
H1C3	1960s	0	0	0	0.378538428	0	0.306430712	0.31503086	0
H1C3	1970s	0	0.034863388	0.054007982	0.463031021	0.11558554	0.160771855	0.107975607	0.063764607
H1C3	1980s	0	0	0	0	0.035514695	0.843085352	0.121399952	0
H1C3	1990s	0	0	0	0.15190034	0.085889437	0.730620148	0.031590075	0
H1C3	2000s	0	0	0	0	0	0.89662389	0.10337611	0
H1C3	2010s	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
H2	pre-1950	0	0.165261149	0.097216951	0.418151957	0.15833954	0.102242178	0.021433893	0.037354332
H2	1950s	0.024154375	0.131207357	0.044649152	0.17689119	0.084429186	0.324849995	0.036136073	0.177682671
H2	1960s	0	0	0.22325276	0.248118226	0.198775012	0.28456185	0	0.045292151
H2	1970s	0	0	0.020432019	0.479416225	0.097723104	0.349070085	0.053358567	0
H2	1980s	0	0.029364735	0	0.58260702	0.185040312	0	0.202987933	0
H2	1990s	0	0	0	0.055138694	0.12314669	0.664196788	0.071193856	0.086323973
H2	2000s	0	0	0	0.022046783	0.068181187	0.793280096	0.069775549	0.046716385
H2	2010s	0	0	0	0	0	1	0	0
H3	pre-1950	0	0.039500419	0.092192931	0.259405181	0.080617668	0.202667641	0.213174503	0.112441656
H3	1950s	0	0.092247226	0.096608498	0.517193911	0.053645101	0.240305264	0	0
H3	1960s	0	0	0.054035191	0.309153802	0.248110499	0.216294504	0.172406005	0
H3	1970s	0	0	0.097147415	0.309384667	0.113785063	0.165129147	0.284998917	0.029554792
H3	1980s	0	0	0	0.10601911	0.114268742	0.256662716	0.299667193	0.223382239
H3	1990s	0	0	0.046495872	0.19960695	0.331052129	0.079974703	0.299125551	0.043744794
H3	2000s	0	0	0	0	0.174465295	0.549547165	0.189548672	0.086438868
H3	2010s	0	0	0	0	0	0.707956605	0.292043395	0
