Dependency=Location Heating Region	Dependency=Heating Fuel	Dependency=Vintage	Option=No	Option=Yes	Count	Weight
H1	Electricity	<1950	0.791669611112	0.208330388888	76	171226.34
H1	Electricity	1950s	0.659986770892	0.340013229108	35	66776.99
H1	Electricity	1960s	0.366850474809	0.633149525191	48	126476.08
H1	Electricity	1970s	0.497668236592	0.502331763408	88	261192.88
H1	Electricity	1980s	0.462172536392	0.537827463608	44	149635.33
H1	Electricity	1990s	0.450721871075	0.549278128925	44	108121.8
H1	Electricity	2000s	0.325782762416	0.674217237584	37	102970.58
H1	Fuel Oil	<1950	1.0	0.0	25	69157.4
H1	Fuel Oil	1950s	1.0	0.0	10	19544.95
H1	Fuel Oil	1960s	1.0	0.0	4	11682.87
H1	Fuel Oil	1970s	1.0	0.0	2	6421.18
H1	Fuel Oil	1980s	1.0	0.0	0	0.0
H1	Fuel Oil	1990s	1.0	0.0	1	1612.69
H1	Fuel Oil	2000s	1.0	0.0	0	0.0
H1	Natural Gas	<1950	1.0	0.0	141	334233.61
H1	Natural Gas	1950s	1.0	0.0	38	137235.22
H1	Natural Gas	1960s	1.0	0.0	68	273898.23
H1	Natural Gas	1970s	1.0	0.0	34	138944.77
H1	Natural Gas	1980s	1.0	0.0	34	137332.3
H1	Natural Gas	1990s	1.0	0.0	52	199448.52
H1	Natural Gas	2000s	1.0	0.0	64	234274.78
H1	Propane	<1950	1.0	0.0	4	14072.96
H1	Propane	1950s	1.0	0.0	2	3692.68
H1	Propane	1960s	1.0	0.0	0	0.0
H1	Propane	1970s	1.0	0.0	1	2079.99
H1	Propane	1980s	1.0	0.0	1	4956.49
H1	Propane	1990s	1.0	0.0	0	0.0
H1	Propane	2000s	1.0	0.0	1	4956.49
H1	Wood	<1950	1.0	0.0	22	67464.16
H1	Wood	1950s	1.0	0.0	9	25732.04
H1	Wood	1960s	1.0	0.0	5	15616.65
H1	Wood	1970s	1.0	0.0	18	40041.6
H1	Wood	1980s	1.0	0.0	8	27658.06
H1	Wood	1990s	1.0	0.0	6	23549.55
H1	Wood	2000s	1.0	0.0	6	36556.59
H2	Electricity	<1950	0.467173414937	0.532826585063	14	33972.16
H2	Electricity	1950s	0.750753703383	0.249246296617	10	30552.47
H2	Electricity	1960s	1.0	0.0	7	11508.97
H2	Electricity	1970s	0.725679675059	0.274320324941	16	32008.31
H2	Electricity	1980s	0.888678218381	0.111321781619	5	10711.83
H2	Electricity	1990s	0.357195704152	0.642804295848	17	38966.93
H2	Electricity	2000s	0.329764070994	0.670235929006	13	23092.54
H2	Fuel Oil	<1950	1.0	0.0	8	26422.94
H2	Fuel Oil	1950s	1.0	0.0	2	3096.74
