Dependency=Location Heating Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	346450.742171	463	1547865.89	748.273741191	1158227400.37
H2	59300.7183488	81	288717.68	732.107633936	211372417.58
H3	80183.6827792	82	146739.14	977.849789991	143488837.232
