Dependency=State	Dependency=Vintage	Option=Clear, Single, Metal	Option=Clear, Single, Non-metal	Option=Clear, Double, Metal, Air	Option=Clear, Double, Non-metal, Air	Option=Clear, Double, Thermal-Break, Air	Option=Low-E, Double, Non-metal, Air, M-Gain	Option=Low-E, Triple, Non-metal, Air, L-Gain	Count	Weight
ID	<1950	0.166666666667	0.111111111111	0.111111111111	0.222222222222	0.222222222222	0.166666666667	0.0	11	34071.84
ID	1950s	0.0	0.0	0.0625	0.1875	0.3125	0.4375	0.0	10	30286.08
ID	1960s	0.150830216403	0.0	0.0	0.698339567194	0.150830216403	0.0	0.0	6	12549.74
ID	1970s	0.0714285714286	0.0714285714286	0.142857142857	0.214285714286	0.142857142857	0.357142857143	0.0	10	26500.32
ID	1980s	0.0	0.0	0.0	0.666666666667	0.0	0.333333333333	0.0	3	11357.28
ID	1990s	0.0	0.0714285714286	0.0	0.5	0.0	0.428571428571	0.0	8	26500.32
ID	2000s	0.0	0.0	0.0	0.846153846154	0.0	0.153846153846	0.0	14	49214.88
MT	<1950	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
MT	1950s	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
MT	1960s	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
MT	1970s	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
MT	1980s	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
MT	1990s	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
MT	2000s	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
OR	<1950	0.026335328552	0.174628031495	0.00626615166588	0.336326608728	0.193490564024	0.247442413786	0.0155109017494	83	223479.27
OR	1950s	0.0	0.105862430778	0.0420945445158	0.573317903959	0.121358051763	0.157367068984	0.0	27	85689.37
OR	1960s	0.111395220849	0.0265528862498	0.0933308810375	0.262307032424	0.0575052010805	0.425596818228	0.023311960131	62	183284.03
OR	1970s	0.0862488634243	0.034313935565	0.147231468082	0.277292144102	0.0957467404548	0.359166848372	0.0	56	159140.3
OR	1980s	0.0	0.0	0.298745768158	0.199488902066	0.0655068630867	0.436258466689	0.0	29	95670.51
OR	1990s	0.0	0.0	0.0	0.55663318993	0.0	0.44336681007	0.0	33	111236.45
OR	2000s	0.0	0.0372250092264	0.0	0.227108344795	0.0	0.735666645978	0.0	29	111013.27
WA	<1950	0.0333824719059	0.249986761358	0.0822854910253	0.366456797211	0.0670364379963	0.200852040503	0.0	299	392034.18
WA	1950s	0.0948415595078	0.0713318273766	0.20450803568	0.435370683599	0.0423279574248	0.151619936412	0.0	88	135541.74
WA	1960s	0.0577116214076	0.0591980601631	0.138061158935	0.381976907254	0.0543653339635	0.29504716406	0.0136397542169	111	235384.74
WA	1970s	0.0298641886997	0.00378138284879	0.32456764084	0.324912657041	0.0618397097229	0.242839923051	0.0121944977974	112	264944.08
WA	1980s	0.0163727505228	0.0219159670144	0.291765133621	0.482095947301	0.0	0.174977943293	0.0128722582488	78	212554.39
WA	1990s	0.0	0.0242955061041	0.0325389612424	0.553397796984	0.00717955344118	0.382588182228	0.0	69	204008.51
WA	2000s	0.0	0.0113405102789	0.0226810205578	0.485995328153	0.0	0.47998314101	0.0	80	218530.29
