Dependency=Location Region	Dependency=Vintage	Option=Uninsulated	Option=R-13	Option=R-19	Count	Weight
H1	<1950	0.6099900831	0.309149533057	0.0808603838423	23	37713.4
H1	1950s	0.310564985688	0.444758812846	0.244676201466	11	24161.32
H1	1960s	0.378211331423	0.493131317849	0.128657350729	20	65950.06
H1	1970s	0.411566404526	0.364398499394	0.22403509608	19	46373.27
H1	1980s	0.0240729461102	0.541454333406	0.434472720483	17	60843.82
H1	1990s	0.149548724994	0.421140774598	0.429310500408	16	54301.7
H1	2000s	0.0	0.355598111655	0.644401888345	30	108024.73
H2	<1950	0.385069460142	0.0	0.614930539858	2	3096.74
H2	1950s	0.911431939197	0.0	0.0885680608032	2	13463.77
H2	1960s	0.0	0.0	1.0	1	1904.28
H2	1970s	0.333333333333	0.333333333333	0.333333333333	0	0.0
H2	1980s	0.248644018666	0.0	0.751355981334	3	3829.33
H2	1990s	0.0391510829507	0.690439422312	0.270409494737	10	29237.25
H2	2000s	0.073742060481	0.307854519504	0.618403420015	8	16170.69
H3	<1950	0.333333333333	0.333333333333	0.333333333333	0	0.0
H3	1950s	0.0	0.0	1.0	1	1192.46
H3	1960s	0.333333333333	0.333333333333	0.333333333333	0	0.0
H3	1970s	0.0	0.0	1.0	1	2130.88
H3	1980s	0.333333333333	0.333333333333	0.333333333333	0	0.0
H3	1990s	0.333333333333	0.333333333333	0.333333333333	0	0.0
H3	2000s	0.471872093538	0.264063953231	0.264063953231	3	4515.8
