Dependency=Location Heating Region	Dependency=Vintage	Option=Electricity	Option=Natural Gas	Option=Fuel Oil	Option=Propane/LPG	Option=Wood	Count	Weight
H1	<1950	0.260954314614	0.509382508664	0.105398047505	0.0214476325979	0.102817496618	268	656154.47
H1	1950s	0.263959576868	0.542470551646	0.0772583000806	0.0145966185404	0.101714952865	94	252981.88
H1	1960s	0.298133968491	0.638251327334	0.0272240068312	0.0	0.0363906973441	126	429138.52
H1	1970s	0.582135676881	0.30967424431	0.0143112552137	0.00463579400233	0.0892430295933	143	448680.42
H1	1980s	0.468221757546	0.429724523439	0.0	0.015509281525	0.0865444374902	87	319582.18
H1	1990s	0.324951065805	0.599425917319	0.00484680549448	0.0	0.0707762113813	103	332732.56
H1	2000s	0.271863459993	0.618533490633	0.0	0.0130861506347	0.0965168987389	108	378758.44
H2	<1950	0.294007008813	0.375755838593	0.228673406502	0.0	0.101563746091	43	115548.81
H2	1950s	0.382230818975	0.493235186563	0.0387421857006	0.0	0.0857918087614	25	79931.99
H2	1960s	0.279529221919	0.507714215418	0.0	0.0	0.212756562663	14	41172.69
H2	1970s	0.307226559444	0.63354517184	0.0	0.0114456334332	0.047782635283	35	104184.71
H2	1980s	0.334361216979	0.119529477131	0.0357299597025	0.0	0.510379346187	15	32036.7
H2	1990s	0.30713219185	0.590050891644	0.0	0.0	0.102816916506	48	126873.48
H2	2000s	0.255604692436	0.634951598673	0.0	0.0658608368294	0.0435828720616	41	97794.84
H3	<1950	0.0168713329277	0.657204794785	0.126152887436	0.0	0.199770984851	28	67847.04
H3	1950s	0.115162465382	0.777527354785	0.0413218730161	0.0	0.0659883068171	16	28857.84
H3	1960s	0.191085510113	0.422157297002	0.0982466557428	0.0982466557428	0.190263881399	19	38533.22
H3	1970s	0.236509958951	0.615423722954	0.0	0.041859968066	0.10620635003	24	50904.96
H3	1980s	0.222675228936	0.503190186433	0.0	0.137804272108	0.136330312523	19	32422.87
H3	1990s	0.301522774138	0.532812370551	0.0	0.0339493194392	0.131715535872	23	35124.71
H3	2000s	0.149024684173	0.72537849789	0.0464908192073	0.0	0.0791059987297	26	41407.1
