Dependency=Heating Fuel	Option=Electric Standard	Option=Gas Standard	Option=Gas Tankless	Option=Oil Standard	Option=Propane Standard	Option=Propane Tankless	Count	Weight
Electricity	0.904176172876	0.0652855563191	0.0083512650778	0.000972622568336	0.0131450920085	0.000976257561184	515	1221460.45
Fuel Oil	0.889235431229	0.0553822843855	0.0	0.0553822843855	0.0	0.0	60	154545.81
Natural Gas	0.215978056	0.733070902268	0.0332380974202	0.00160243126981	0.0102360299121	0.000498602723529	630	1930444.73
Propane	0.925952407216	0.0	0.0	0.0	0.0740475927845	0.0	20	47776.57
Wood	0.868808217911	0.0534757751472	0.0268313899918	0.0	0.0125560263322	0.0383285906179	137	337798.75
