Dependency=Location Heating Region	Dependency=Vintage	Option=Crawl	Option=Heated Basement	Option=Slab	Option=Unheated Basement	Count	Weight
H1	<1950	0.512394849024	0.357831771386	0.0857201379164	0.044053241674	316	622525.13
H1	1950s	0.681023283354	0.180605471138	0.130552236712	0.00781900879578	108	236134.79
H1	1960s	0.692752067947	0.223619892175	0.0836280398785	0.0	131	374264.96
H1	1970s	0.662479837458	0.24454197699	0.0929781855518	0.0	154	427345.67
H1	1980s	0.713097088175	0.159297400491	0.120634147087	0.00697136424746	87	287420.07
H1	1990s	0.815155360497	0.117360675673	0.0674839638295	0.0	101	293909.01
H1	2000s	0.781936219128	0.0898643536362	0.11099522641	0.0172042008255	90	288097.66
H2	<1950	0.615793040666	0.333104473397	0.0255512429685	0.0255512429685	54	106739.23
H2	1950s	0.255162114887	0.628738703419	0.0798223586044	0.03627682309	29	78739.53
H2	1960s	0.57149805658	0.155924062115	0.248330910266	0.0242469710386	14	39268.41
H2	1970s	0.356556529026	0.56590218832	0.0775412826536	0.0	37	100861.37
H2	1980s	0.58793141525	0.22310384851	0.18896473624	0.0	15	30111.65
H2	1990s	0.453488743951	0.456152925965	0.0903583300847	0.0	47	108506.1
H2	2000s	0.613807218645	0.234500759475	0.141079658154	0.0106123637259	43	89719.88
H3	<1950	0.4460848743	0.536187952299	0.0	0.0177271734011	36	64571.49
H3	1950s	0.208835969705	0.688255427295	0.102908603	0.0	21	28857.84
H3	1960s	0.250351488393	0.554356121063	0.0519988550187	0.143293535525	21	36402.34
H3	1970s	0.246002179846	0.565043256582	0.188954563571	0.0	27	48774.08
H3	1980s	0.394286656302	0.48629825182	0.0353044008751	0.084110691003	24	32422.87
H3	1990s	0.436114995745	0.282153434781	0.281731569474	0.0	27	33980.04
H3	2000s	0.481801035402	0.267207597149	0.235963045666	0.0150283217834	25	38083.76
