Location,Price,Household ,Number of,Total
,,Consumption,Customers,Consumption
,[$/gal],[Thousand gal/home/yr],[#],[Thousand gal]
AK,2.5,NA,NA,3830
AL,2.34,NA,NA,385
AR,2.34,NA,NA,109
AZ,2.5,NA,NA,11
CA,2.5,NA,NA,3871
CO,1.99,NA,NA,148
CT,2.72,NA,NA,2345
DC,2.67,NA,NA,0
DE,2.67,NA,NA,1230
FL,2.58,NA,NA,632
GA,2.58,NA,NA,787
HI,2.5,NA,NA,0
IA,1.85,NA,NA,226
ID,1.99,NA,NA,58
IL,1.85,NA,NA,1097
IN,1.85,NA,NA,3256
KS,1.85,NA,NA,66
KY,1.85,NA,NA,2391
LA,2.34,NA,NA,121
MA,2.72,NA,NA,2788
MD,2.67,NA,NA,4348
ME,2.72,NA,NA,20942
MI,1.85,NA,NA,2298
MN,1.85,NA,NA,304
MO,1.85,NA,NA,939
MS,2.34,NA,NA,178
MT,1.99,NA,NA,100
NC,2.58,NA,NA,15812
ND,1.85,NA,NA,57
NE,1.85,NA,NA,113
NH,2.72,NA,NA,6698
NJ,2.67,NA,NA,2059
NM,2.34,NA,NA,46
NV,2.5,NA,NA,457
NY,2.67,NA,NA,24957
OH,1.85,NA,NA,5699
OK,1.85,NA,NA,139
OR,2.5,NA,NA,485
PA,2.67,NA,NA,17857
RI,2.72,NA,NA,517
SC,2.58,NA,NA,3587
SD,1.85,NA,NA,51
TN,1.85,NA,NA,3333
TX,2.34,NA,NA,226
UT,1.99,NA,NA,40
VA,2.58,NA,NA,14610
VT,2.72,NA,NA,5312
WA,2.5,NA,NA,532
WI,1.85,NA,NA,367
WV,2.58,NA,NA,2271
WY,1.99,NA,NA,12
US,2.22,NA,NA,157694
,,,,
Sources:,,,,
http://www.eia.gov/dnav/pet/pet_pri_prop_a_EPLLPA_PRT_dpgal_a.htm,,,,
Date of Latest Data: 2010,,,,
http://www.eia.gov/dnav/pet/pet_cons_821ker_a_EPPK_VRS_Mgal_a.htm,,,,
Date of Latest Data: 2008,,,,
,,,,
Used PADD values for all states.,,,,
