Location,Price,Household ,Number of,Total
,,Consumption,Customers,Consumption
,[$/gal],[Thousand gal/home/yr],[#],[Thousand gal]
AK,2.95,NA,NA,48560
AL,2.29,NA,NA,541
AR,2.29,NA,NA,95
AZ,2.95,NA,NA,87
CA,2.95,NA,NA,5609
CO,2.6,NA,NA,303
CT,2.83,NA,NA,508697
DC,2.95,NA,NA,6119
DE,2.95,NA,NA,23212
FL,2.71,NA,NA,1133
GA,2.71,NA,NA,1199
HI,2.95,NA,NA,103
IA,2.55,NA,NA,11154
ID,2.72,NA,NA,8146
IL,2.75,NA,NA,8524
IN,2.67,NA,NA,25369
KS,2.55,NA,NA,176
KY,2.55,NA,NA,11148
LA,2.29,NA,NA,2584
MA,2.85,NA,NA,613533
MD,2.92,NA,NA,122155
ME,2.64,NA,NA,245245
MI,2.66,NA,NA,55381
MN,2.47,NA,NA,70121
MO,2.55,NA,NA,4818
MS,2.29,NA,NA,18
MT,2.6,NA,NA,5958
NC,2.71,NA,NA,65385
ND,2.55,NA,NA,28569
NE,2.55,NA,NA,2391
NH,2.68,NA,NA,164540
NJ,2.97,NA,NA,273508
NM,2.29,NA,NA,129
NV,2.95,NA,NA,6520
NY,2.89,NA,NA,1077059
OH,2.65,NA,NA,99429
OK,2.55,NA,NA,56
OR,2.78,NA,NA,22060
PA,2.78,NA,NA,601113
RI,2.93,NA,NA,113933
SC,2.71,NA,NA,5968
SD,2.55,NA,NA,8937
TN,2.55,NA,NA,7219
TX,2.29,NA,NA,15
UT,2.6,NA,NA,664
VA,2.62,NA,NA,160204
VT,2.8,NA,NA,78588
WA,3.04,NA,NA,40779
WI,2.61,NA,NA,96880
WV,2.72,NA,NA,13457
WY,2.6,NA,NA,628
US,2.8,NA,NA,4648017
,,,,
Sources:,,,,
http://www.eia.gov/dnav/pet/pet_pri_dist_a_EPD2_PRT_dpgal_a.htm,,,,
Date of Latest Data: 2010,,,,
http://www.eia.gov/dnav/pet/pet_cons_821dsta_a_EPD0_VAR_Mgal_a.htm,,,,
Date of Latest Data: 2008,,,,
,,,,
Used PADD values when data for individual states are not available.,,,,
