Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	Region
AL, 00100	Mobile Home	2050s	0.956789	0.000000	0.016781	0.000000	0.021912	0.004518	South
AL, 00100	Multi-Family with 2 - 4 Units	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00100	Multi-Family with 5+ Units	2050s	0.992203	0.000000	0.007797	0.000000	0.000000	0.000000	South
AL, 00100	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00100	Single-Family Detached	2050s	0.906459	0.000000	0.087373	0.000000	0.000000	0.006168	South
AL, 00200	Mobile Home	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	South
AL, 00200	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00200	Multi-Family with 5+ Units	2050s	0.970872	0.000000	0.021795	0.003938	0.002626	0.000770	South
AL, 00200	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00200	Single-Family Detached	2050s	0.953125	0.000000	0.026410	0.017043	0.000000	0.003421	South
AL, 00301	Mobile Home	2050s	0.961572	0.000000	0.003610	0.014440	0.005458	0.014920	South
AL, 00301	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00301	Multi-Family with 5+ Units	2050s	0.988952	0.000000	0.011048	0.000000	0.000000	0.000000	South
AL, 00301	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00301	Single-Family Detached	2050s	0.924131	0.000000	0.064311	0.011558	0.000000	0.000000	South
AL, 00302	Mobile Home	2050s	0.961572	0.000000	0.003610	0.014440	0.005458	0.014920	South
AL, 00302	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00302	Multi-Family with 5+ Units	2050s	0.972443	0.000000	0.014134	0.000000	0.013423	0.000000	South
AL, 00302	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00302	Single-Family Detached	2050s	0.927227	0.000000	0.072773	0.000000	0.000000	0.000000	South
AL, 00400	Mobile Home	2050s	0.961572	0.000000	0.003610	0.014440	0.005458	0.014920	South
AL, 00400	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00400	Multi-Family with 5+ Units	2050s	0.970872	0.000000	0.021795	0.003938	0.002626	0.000770	South
AL, 00400	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00400	Single-Family Detached	2050s	0.891318	0.000000	0.029170	0.003215	0.070740	0.005556	South
AL, 00500	Mobile Home	2050s	0.961572	0.000000	0.003610	0.014440	0.005458	0.014920	South
AL, 00500	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00500	Multi-Family with 5+ Units	2050s	0.970872	0.000000	0.021795	0.003938	0.002626	0.000770	South
AL, 00500	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00500	Single-Family Detached	2050s	0.927127	0.000000	0.046445	0.000000	0.026108	0.000319	South
AL, 00600	Mobile Home	2050s	0.961572	0.000000	0.003610	0.014440	0.005458	0.014920	South
AL, 00600	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00600	Multi-Family with 5+ Units	2050s	0.970872	0.000000	0.021795	0.003938	0.002626	0.000770	South
AL, 00600	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00600	Single-Family Detached	2050s	0.920263	0.000000	0.046978	0.000000	0.028401	0.004359	South
AL, 00700	Mobile Home	2050s	0.933839	0.000000	0.000000	0.043573	0.000000	0.022588	South
AL, 00700	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00700	Multi-Family with 5+ Units	2050s	0.970872	0.000000	0.021795	0.003938	0.002626	0.000770	South
AL, 00700	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
AL, 00700	Single-Family Detached	2050s	0.906854	0.000000	0.030660	0.000000	0.026854	0.035632	South
AL, 00800	Mobile Home	2050s	0.789379	0.000000	0.000000	0.000000	0.136170	0.074451	South
AL, 00800	Multi-Family with 2 - 4 Units	2050s	0.952507	0.000000	0.039782	0.000000	0.000000	0.007710	South
AL, 00800	Multi-Family with 5+ Units	2050s	0.970872	0.000000	0.021795	0.003938	0.002626	0.000770	South
AL, 00800	Single-Family Attached	2050s	0.945720	0.000000	0.051638	0.000000	0.000000	0.002642	South
