Occ_1,Occ_2,Occ_3
1,1,1
1,0.98828125,0.998684211
1,0.984375,0.997887427
0.962962963,0.984375,0.996403509
0.835185185,0.941145833,0.978846491
0.790740741,0.85859375,0.961865497
0.756790123,0.8234375,0.92152924
0.647530864,0.771354167,0.823817251
0.558641975,0.71171875,0.763785088
0.538888889,0.585677083,0.719960526
0.47654321,0.549479167,0.704982456
0.401234568,0.6359375,0.755821637
0.479012346,0.53125,0.522690058
0.483950617,0.529427083,0.65829386
0.437654321,0.711979167,0.683489766
0.531481482,0.879427083,0.751089181
0.668518519,0.864322917,0.833595029
0.790740741,0.887239583,0.868166667
0.925925926,0.834635417,0.941519006
0.929012346,0.90703125,0.896666667
0.925925926,0.973958333,0.945495614
0.960493827,0.98828125,0.967314327
1,0.978385417,0.994994152
1,0.984375,0.998654971
