,build_existing_model.geometry_building_type_recs,base,feature,diff,% diff
end_use_coal_clothes_dryer_m_btu,MF,0.0,0.0,0.0,
end_use_coal_fireplace_m_btu,MF,0.0,0.0,0.0,
end_use_coal_grill_m_btu,MF,0.0,0.0,0.0,
end_use_coal_heating_m_btu,MF,0.0,0.0,0.0,
end_use_coal_hot_water_m_btu,MF,0.0,0.0,0.0,
end_use_coal_lighting_m_btu,MF,0.0,0.0,0.0,
end_use_coal_mech_vent_preheating_m_btu,MF,0.0,0.0,0.0,
end_use_coal_range_oven_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_ceiling_fan_m_btu,MF,0.56,0.56,0.0,0.0
end_use_electricity_clothes_dryer_m_btu,MF,0.2,0.2,0.0,0.0
end_use_electricity_clothes_washer_m_btu,MF,0.34,0.34,0.0,0.0
end_use_electricity_cooling_fans_pumps_m_btu,MF,0.43,0.43,0.0,0.0
end_use_electricity_cooling_m_btu,MF,2.0,2.0,0.0,0.0
end_use_electricity_dehumidifier_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_dishwasher_m_btu,MF,0.45,0.45,0.0,0.0
end_use_electricity_electric_vehicle_charging_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_freezer_m_btu,MF,1.09,1.09,0.0,0.0
end_use_electricity_generator_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_heating_fans_pumps_m_btu,MF,0.54,0.54,0.0,0.0
end_use_electricity_heating_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_hot_tub_heater_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_hot_tub_pump_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_hot_water_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_hot_water_recirc_pump_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_hot_water_solar_thermal_pump_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_lighting_exterior_m_btu,MF,0.21,0.21,0.0,0.0
end_use_electricity_lighting_garage_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_lighting_interior_m_btu,MF,2.03,2.03,0.0,0.0
end_use_electricity_mech_vent_m_btu,MF,0.07,0.07,0.0,0.0
end_use_electricity_mech_vent_precooling_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_mech_vent_preheating_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_plug_loads_m_btu,MF,2.79,2.79,0.0,0.0
end_use_electricity_pool_heater_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_pool_pump_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_pv_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_range_oven_m_btu,MF,0.1,0.1,0.0,0.0
end_use_electricity_refrigerator_m_btu,MF,3.19,3.19,0.0,0.0
end_use_electricity_television_m_btu,MF,2.12,2.12,0.0,0.0
end_use_electricity_well_pump_m_btu,MF,0.0,0.0,0.0,
end_use_electricity_whole_house_fan_m_btu,MF,0.0,0.0,0.0,
end_use_fuel_oil_clothes_dryer_m_btu,MF,0.0,0.0,0.0,
