Dependency=Location Census Division	Dependency=Vintage	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Count	Weight
New England	<1950	0.311582490453	0.421879227739	0.143941505106	0.122596776702	345	1076862.03603
New England	1950s	0.335731250002	0.425220497706	0.162580811046	0.0764674412459	196	594973.362801
New England	1960s	0.278970761541	0.450633925565	0.202318152292	0.0680771606015	132	419898.745406
New England	1970s	0.206853057439	0.475434250372	0.224819500302	0.0928931918871	141	461365.186897
New England	1980s	0.191866459818	0.430730533893	0.25753989975	0.119863106539	124	362995.704587
New England	1990s	0.135136551593	0.561381023028	0.196827591279	0.1066548341	115	268440.268003
New England	2000s	0.157834361776	0.358809617879	0.325720079642	0.157635940703	110	273371.89454
East North Central	<1950	0.423288851331	0.392021309437	0.129885260861	0.0548045783712	1858	3242711.07199
East North Central	1950s	0.534226434128	0.341597550904	0.0797519358087	0.0444240791593	1275	1731799.57822
East North Central	1960s	0.400607546432	0.435674855861	0.11401037719	0.0497072205173	965	1430458.96678
East North Central	1970s	0.290015463318	0.471611897567	0.165537148853	0.0728354902614	1082	1744081.99641
East North Central	1980s	0.190219919768	0.439739904656	0.244829258083	0.125210917493	514	811543.676159
East North Central	1990s	0.142144330911	0.442402362981	0.24892908155	0.166524224558	849	1275247.08928
East North Central	2000s	0.123319001348	0.447567651999	0.226718868716	0.202394477937	731	1293402.91713
Middle Atlantic	<1950	0.298907923174	0.449511508741	0.142442772749	0.109137795335	1494	2407973.93387
Middle Atlantic	1950s	0.388713339885	0.43945760351	0.117133036662	0.0546960199433	889	1141118.19542
Middle Atlantic	1960s	0.258379331033	0.460750508992	0.184998571959	0.0958715880159	654	853581.555748
Middle Atlantic	1970s	0.22350574996	0.524158819035	0.177673324162	0.0746621068433	601	867070.494795
Middle Atlantic	1980s	0.186064737816	0.395768061436	0.287200111701	0.130967089047	445	561287.629368
Middle Atlantic	1990s	0.122005649151	0.396457767137	0.31697367986	0.164562903853	477	554895.359767
Middle Atlantic	2000s	0.0915576499215	0.371631012037	0.333162135709	0.203649202333	392	553007.469962
Mountain - Pacific	<1950	0.542600875977	0.316520183856	0.0881899531954	0.0526889869714	992	2542537.4264
Mountain - Pacific	1950s	0.499140930494	0.399163957858	0.068049144186	0.033645967462	732	1879119.09486
Mountain - Pacific	1960s	0.345783143204	0.487966945386	0.128828722519	0.0374211888906	716	1851519.06687
Mountain - Pacific	1970s	0.267910834688	0.508929652578	0.170051990364	0.0531075223703	1002	2621054.72213
Mountain - Pacific	1980s	0.252431653784	0.497131574799	0.17297975221	0.0774570192066	658	1719450.49113
Mountain - Pacific	1990s	0.175735717089	0.536381882029	0.188488901452	0.0993934994305	876	2107768.50713
Mountain - Pacific	2000s	0.158909760421	0.460878987542	0.232230869661	0.147980382376	1010	2800355.26735
South Atlantic - East South Central	<1950	0.456835753254	0.380861016448	0.101487935738	0.0608152945604	924	2401684.51013
South Atlantic - East South Central	1950s	0.45884471295	0.392237570796	0.0987493601166	0.0501683561375	732	1889128.62087
South Atlantic - East South Central	1960s	0.401967143395	0.445644870212	0.107263235981	0.0451247504113	909	2355550.97246
South Atlantic - East South Central	1970s	0.306942087864	0.457362400517	0.160813178237	0.0748823333821	1252	3280482.37388
South Atlantic - East South Central	1980s	0.2739023166	0.464176625711	0.180167022944	0.0817540347454	953	2357863.17017
South Atlantic - East South Central	1990s	0.17785686306	0.470994342944	0.227885244556	0.123263549439	1140	2768068.49886
South Atlantic - East South Central	2000s	0.146562461195	0.441329313493	0.249627062534	0.162481162778	1436	3614561.24626
West North Central	<1950	0.426460690444	0.429650312597	0.086147356344	0.0577416406151	548	1400039.9238
West North Central	1950s	0.466103133241	0.407970278597	0.0788791552237	0.0470474329382	271	692290.137491
West North Central	1960s	0.326532957175	0.476483564459	0.13228875295	0.0646947254167	243	615087.918032
West North Central	1970s	0.290955631496	0.438311767572	0.200764058871	0.0699685420604	373	948882.557765
West North Central	1980s	0.21894879524	0.472734929028	0.203287521607	0.105028754125	150	418720.643669
West North Central	1990s	0.152257858724	0.43728939543	0.280247685271	0.130205060575	260	597722.822371
West North Central	2000s	0.140218312592	0.393486474003	0.218543833023	0.247751380382	279	704743.755649
West South Central	<1950	0.603020365872	0.28955369315	0.0673404662812	0.0400854746964	459	1253679.54748
West South Central	1950s	0.528779320617	0.369026969723	0.0715991805552	0.0305945291049	366	1008306.081
West South Central	1960s	0.366350806153	0.494410266953	0.109461591543	0.0297773353507	363	976795.434273
West South Central	1970s	0.30359725308	0.509197568499	0.130422944252	0.0567822341698	599	1629474.00106
West South Central	1980s	0.277756943702	0.518950868957	0.150362150533	0.0529300368075	357	998467.368863
West South Central	1990s	0.13800621535	0.513005522377	0.233917167795	0.115071094478	382	972116.200759
West South Central	2000s	0.137673597709	0.489307802599	0.23478318815	0.138235411542	682	1768873.49079
