Dependency=CR	Dependency=FPL_BINS	Dependency=yearmaderange	Option=3500+	Weight	Count
2	200-250	1950-pre	0.999983757039	123128.259924	19.0
2	200-250	1950s	0.999955633119	45076.670255	8.0
2	200-250	1960s	0.99996244313	53250.574584	8.0
2	200-250	1970s	0.999980377302	101920.781859	14.0
2	200-250	1980s	0.999979039032	95413.439669	14.0
2	200-250	1990s	0.999962198498	52905.950871	6.0
2	200-250	2000s	0.999929632593	28420.249709	5.0
2	250-300	1950-pre	0.999989840029	196848.959572	29.0
2	250-300	1950s	0.999985017094	133483.451742	18.0
2	250-300	1960s	0.999986623549	149514.493658	23.0
2	250-300	1970s	0.999989207293	185308.315264	29.0
2	250-300	1980s	0.999964725859	56696.757966	8.0
2	250-300	1990s	0.999979090862	95649.958077	14.0
2	250-300	2000s	0.999981119613	105928.029313	15.0
2	300+	1950-pre	0.999997136269	698387.628084	102.0
2	300+	1950s	0.999994475839	362043.957068	59.0
2	300+	1960s	0.999993180698	293283.137524	47.0
2	300+	1970s	0.999995354223	430496.523617	66.0
2	300+	1980s	0.999994782263	383305.954722	62.0
2	300+	1990s	0.999995699361	465045.155199	75.0
2	300+	2000s	0.999995547909	449225.134427	73.0
2	50-100	1950-pre	0.999981881294	110381.161617	16.0
2	50-100	1950s	0.999929055823	28189.179152	4.0
2	50-100	1960s	0.999952760962	42335.864928	5.0
2	50-100	1970s	0.999974509174	78457.598168	11.0
2	50-100	1980s	0.999962633233	53521.49631	7.0
2	50-100	1990s	0.999974368311	78026.411475	9.0
2	50-100	2000s	0.999883854194	17217.734927	4.0
3	0-50	1950-pre	0.999972814298	110349.126215	19.0
3	0-50	1950s	0.999927455278	41350.801052	6.0
3	0-50	1960s	0.999940353748	50293.537922	8.0
3	0-50	1970s	0.999871266605	23300.976454	4.0
3	0-50	1980s	0.999885014698	26087.291072	6.0
3	0-50	1990s	0.999294786619	4251.03159	1.0
3	0-50	2000s	0.999904101796	31280.171838	5.0
3	100-150	1950-pre	0.999983715895	184225.734072	27.0
3	100-150	1950s	0.999882095639	25441.351405	4.0
3	100-150	1960s	0.99989432588	28386.164754	6.0
3	100-150	1970s	0.999909700169	33219.653375	6.0
3	100-150	1980s	0.999962467416	79927.54863	10.0
3	100-150	1990s	0.999513729993	6166.411961	1.0
3	100-150	2000s	0.999756105717	12297.411311	2.0
3	150-200	1950-pre	0.999983957831	187004.129593	30.0
3	150-200	1950s	0.999970579478	101966.638104	17.0
3	150-200	1960s	0.999945302671	54844.285156	10.0
3	150-200	1970s	0.999969714117	99053.052991	17.0
3	150-200	1980s	0.99991242209	34252.213415	8.0
3	150-200	1990s	0.999507917306	6093.536287	1.0
3	150-200	2000s	0.999685698449	9541.973578	2.0
3	200-250	1950-pre	0.999981200063	159572.001332	25.0
3	200-250	1950s	0.999846654349	19560.645839	4.0
3	200-250	1960s	0.999908259121	32697.798638	6.0
3	200-250	1970s	0.999888230181	26837.877416	5.0
3	200-250	1980s	0.999943976499	53545.956015	8.0
3	200-250	1990s	0.999851084209	20142.613684	4.0
3	200-250	2000s	0.999271431033	4114.66097	1.0
3	250-300	1950-pre	0.999981074804	158515.835004	29.0
3	250-300	1950s	0.999963503522	82196.711857	14.0
3	250-300	1960s	0.999951947405	62428.592463	10.0
3	250-300	1970s	0.999943029859	52656.16368	8.0
3	250-300	1980s	0.999962900774	80861.221493	12.0
3	250-300	1990s	0.999904402703	31378.640321	5.0
3	250-300	2000s	0.999929585832	42602.06193	6.0
3	300+	1950-pre	0.99999710799	1037337.87145	186.0
3	300+	1950s	0.999992552135	402796.994014	70.0
3	300+	1960s	0.999988107365	252253.953922	43.0
3	300+	1970s	0.999991805602	366100.791707	60.0
3	300+	1980s	0.999993515318	462625.722438	82.0
3	300+	1990s	0.999988718597	265921.364055	48.0
3	300+	2000s	0.999989094191	275079.755365	49.0
3	50-100	1950-pre	0.999984693086	195986.865811	30.0
3	50-100	1950s	0.999954996298	66658.183304	10.0
3	50-100	1960s	0.999956874055	69560.692747	10.0
3	50-100	1970s	0.999941997393	51718.813509	9.0
3	50-100	1980s	0.999956509839	68978.118922	11.0
3	50-100	1990s	0.999549305227	6653.389598	1.0
3	50-100	2000s	0.999768940376	12980.661746	2.0
4	0-50	1950-pre	0.999989618611	385300.91122	22.0
4	0-50	1950s	0.999984379033	256062.09901	15.0
4	0-50	1960s	0.999986938934	306249.71949	15.0
4	0-50	1970s	0.999976183412	167946.17173	9.0
4	0-50	1980s	0.999928419669	55877.27312	3.0
4	0-50	1990s	0.999726844449	14639.67091	1.0
4	0-50	2000s	0.999953376025	85788.76994	4.0
4	100-150	1950-pre	0.999992283085	518337.8468	26.0
4	100-150	1950s	0.999987342565	316015.79397	17.0
4	100-150	1960s	0.999975137714	160882.25076	8.0
4	100-150	1970s	0.999986901271	305369.14739	18.0
4	100-150	1980s	0.999984868004	264336.54856	11.0
4	100-150	1990s	0.999969720988	132100.707044	7.0
4	100-150	2000s	0.999913302112	46133.225477	3.0
4	150-200	1950-pre	0.999990060669	402437.58578	24.0
4	150-200	1950s	0.999975670873	164407.97954	11.0
4	150-200	1960s	0.999979314925	193372.14387	12.0
4	150-200	1970s	0.999973522084	151065.28932	9.0
4	150-200	1980s	0.999969634972	131726.48736	7.0
4	150-200	1990s	0.999985932941	284348.25049	15.0
4	150-200	2000s	0.999969150968	129659.71341	7.0
4	200-250	1950-pre	0.999985689476	279510.56841	17.0
4	200-250	1950s	0.999987098986	310049.13712	17.0
4	200-250	1960s	0.999980900404	209424.51402	13.0
4	200-250	1970s	0.999974497346	156842.41839	8.0
4	200-250	1980s	0.99996988819	132834.24669	8.0
4	200-250	1990s	0.999963280466	108929.84302	7.0
4	200-250	2000s	0.999972757372	146824.71535	8.0
4	250-300	1950-pre	0.999988254492	340551.72264	22.0
4	250-300	1950s	0.999987973928	332606.6927	20.0
4	250-300	1960s	0.999985483529	275545.05591	16.0
4	250-300	1970s	0.999983362517	240416.97998	15.0
4	250-300	1980s	0.999986126136	288307.88862	15.0
4	250-300	1990s	0.999979075356	191158.15605	11.0
4	250-300	2000s	0.999956373738	91683.89165	6.0
4	300+	1950-pre	0.999997593219	1661966.90209	101.0
4	300+	1950s	0.999994681435	752078.62618	47.0
4	300+	1960s	0.99999481126	770896.06675	48.0
4	300+	1970s	0.999996455393	1128471.00415	65.0
4	300+	1980s	0.999994134194	681914.16709	41.0
4	300+	1990s	0.999995698483	929900.43555	55.0
4	300+	2000s	0.999994657375	748691.58568	43.0
4	50-100	1950-pre	0.999989095407	366813.897459	24.0
4	50-100	1950s	0.999979537282	195473.45305	12.0
4	50-100	1960s	0.99997744219	177318.1756	11.0
4	50-100	1970s	0.999971140479	138598.4383	9.0
4	50-100	1980s	0.999979604118	196114.01599	11.0
4	50-100	1990s	0.999975929312	166173.21736	9.0
4	50-100	2000s	0.999955550913	89986.59931	5.0
5	0-50	1950-pre	0.999873040432	39377.6168	1.0
5	0-50	1950s	0.999102421137	5565.541157	1.0
5	0-50	1960s	0.999616407269	13029.657858	3.0
5	0-50	1970s	0.999887839841	44574.109227	3.0
5	0-50	1980s	0.999693577614	16312.345686	2.0
5	0-50	1990s	0.999497764122	9950.481522	1.0
5	0-50	2000s	0.0	0.0	0.0
5	100-150	1950-pre	0.999891498931	46077.495409	4.0
5	100-150	1950s	0.999558889312	11330.02346	1.0
5	100-150	1960s	0.999753679596	20293.765057	2.0
5	100-150	1970s	0.999951436667	102953.336849	12.0
5	100-150	1980s	0.999961834109	131002.030348	10.0
5	100-150	1990s	0.999912979532	57452.746671	6.0
5	100-150	2000s	0.999656787219	14563.222053	2.0
5	150-200	1950-pre	0.999948518655	97117.559553	7.0
5	150-200	1950s	0.999940851002	84527.285039	6.0
5	150-200	1960s	0.99988108272	42041.034058	5.0
5	150-200	1970s	0.999928546185	69970.269999	10.0
5	150-200	1980s	0.999945972897	92541.142636	9.0
5	150-200	1990s	0.999965844467	146384.165861	9.0
5	150-200	2000s	0.999839762134	31198.610812	4.0
5	200-250	1950-pre	0.999916581442	59933.700991	6.0
5	200-250	1950s	0.999818703237	27574.091489	4.0
5	200-250	1960s	0.999857735214	35140.731633	4.0
5	200-250	1970s	0.999950250042	100497.597175	12.0
5	200-250	1980s	0.999910558686	55897.577779	7.0
5	200-250	1990s	0.999925625672	67222.49798	10.0
5	200-250	2000s	0.999954256798	109300.858704	9.0
5	250-300	1950-pre	0.999924898468	66571.538365	6.0
5	250-300	1950s	0.999897672335	48857.641302	6.0
5	250-300	1960s	0.999868322823	37966.652415	4.0
5	250-300	1970s	0.999898165294	49094.17471	9.0
5	250-300	1980s	0.999945519807	91771.472987	12.0
5	250-300	1990s	0.999943244581	88092.314943	7.0
5	250-300	2000s	0.999937940389	80562.6975	11.0
5	300+	1950-pre	0.999959925159	124761.557229	13.0
5	300+	1950s	0.999949530915	99065.550048	10.0
5	300+	1960s	0.999882328648	42486.225733	5.0
5	300+	1970s	0.999987923739	414030.447416	69.0
5	300+	1980s	0.999987349995	395251.756948	49.0
5	300+	1990s	0.999984148849	315429.510418	40.0
5	300+	2000s	0.999983045745	294906.221652	33.0
5	50-100	1950-pre	0.999727345383	18333.218699	2.0
5	50-100	1950s	0.999888363445	44783.19698	2.0
5	50-100	1960s	0.999776571223	22373.496021	3.0
5	50-100	1970s	0.999912389521	57065.798307	3.0
5	50-100	1980s	0.999004953301	5019.889793	1.0
5	50-100	1990s	0.999893126364	46779.222619	7.0
5	50-100	2000s	0.99989026646	45559.920186	3.0
6	0-50	1950-pre	0.0	0.0	0.0
6	0-50	1950s	0.999333430672	8995.31427	1.0
6	0-50	1960s	0.99967119109	18241.680689	2.0
6	0-50	1970s	0.999235068337	7837.837941	1.0
6	0-50	1980s	0.999808878084	31387.574005	3.0
6	0-50	1990s	0.999843507842	38334.57935	2.0
6	0-50	2000s	0.999235068228	7837.836823	1.0
6	100-150	1950-pre	0.999936459043	94421.283849	9.0
6	100-150	1950s	0.999911781164	68006.68582	6.0
6	100-150	1960s	0.999949428137	118637.048138	11.0
6	100-150	1970s	0.999923257379	78177.412803	8.0
6	100-150	1980s	0.999918324925	73455.824006	6.0
6	100-150	1990s	0.999852500077	40671.987302	4.0
6	100-150	2000s	0.999844519647	38584.084821	4.0
6	150-200	1950-pre	0.999842305613	38042.278812	4.0
6	150-200	1950s	0.999713807971	20958.94449	2.0
6	150-200	1960s	0.999899374965	59621.308606	6.0
6	150-200	1970s	0.999829578192	35200.761716	4.0
6	150-200	1980s	0.999906297647	64026.543816	7.0
6	150-200	1990s	0.999897729052	58661.687464	6.0
6	150-200	2000s	0.999731887923	22372.70098	2.0
6	200-250	1950-pre	0.999709521398	20649.566242	2.0
6	200-250	1950s	0.999704412879	20292.583999	2.0
6	200-250	1960s	0.999829455001	35175.330647	3.0
6	200-250	1970s	0.999903175665	61961.892464	5.0
6	200-250	1980s	0.999908568453	65616.864423	6.0
6	200-250	1990s	0.999850742559	40193.000898	5.0
6	200-250	2000s	0.999851949402	40520.68545	4.0
6	250-300	1950-pre	0.999880992069	50410.808031	4.0
6	250-300	1950s	0.999863616055	43987.44803	3.0
6	250-300	1960s	0.999929078803	84594.941263	8.0
6	250-300	1970s	0.999794188965	29146.955808	3.0
6	250-300	1980s	0.999319814156	8815.118601	1.0
6	250-300	1990s	0.999870743698	46413.400264	5.0
6	250-300	2000s	0.999892933803	56034.096253	6.0
6	300+	1950-pre	0.999976272953	252869.971308	24.0
6	300+	1950s	0.999958433455	144340.852489	14.0
6	300+	1960s	0.999972642841	219315.015886	21.0
6	300+	1970s	0.99997253226	218432.062668	21.0
6	300+	1980s	0.999983324551	359804.408586	36.0
6	300+	1990s	0.99998363591	366650.51178	33.0
6	300+	2000s	0.999985387956	410614.158834	40.0
6	50-100	1950-pre	0.999881696784	50711.133643	5.0
6	50-100	1950s	0.999797226078	29583.603748	3.0
6	50-100	1960s	0.999856336616	41758.29546	3.0
6	50-100	1970s	0.999900194603	60110.989501	5.0
6	50-100	1980s	0.999906759279	64343.567071	7.0
6	50-100	1990s	0.999934341903	91376.483816	8.0
6	50-100	2000s	0.999352699401	9263.263781	1.0
7	0-50	1950-pre	0.99998125847	373495.0475	36.0
7	0-50	1950s	0.999939875349	116417.792431	12.0
7	0-50	1960s	0.999934179462	106342.784538	10.0
7	0-50	1970s	0.999958602909	169087.005413	16.0
7	0-50	1980s	0.99929413372	9909.892481	1.0
7	0-50	1990s	0.999884071389	60374.988044	7.0
7	0-50	2000s	0.999811118354	37053.244513	5.0
7	100-150	1950-pre	0.999986937448	535876.042924	54.0
7	100-150	1950s	0.999961114936	180010.703643	16.0
7	100-150	1960s	0.999972051517	250453.817597	22.0
7	100-150	1970s	0.999967848464	217711.991851	21.0
7	100-150	1980s	0.999882952959	59798.014858	6.0
7	100-150	1990s	0.999908322347	76347.485415	8.0
7	100-150	2000s	0.999820253354	38936.703076	4.0
7	150-200	1950-pre	0.999982140463	391940.457238	35.0
7	150-200	1950s	0.999969873691	232348.048794	19.0
7	150-200	1960s	0.999957209347	163580.128003	15.0
7	150-200	1970s	0.999959175982	171460.690127	14.0
7	150-200	1980s	0.999836153408	42715.890398	4.0
7	150-200	1990s	0.99990275554	71976.535085	6.0
7	150-200	2000s	0.999938610557	114019.119719	8.0
7	200-250	1950-pre	0.99998432091	446447.479282	40.0
7	200-250	1950s	0.999977256705	307776.012697	26.0
7	200-250	1960s	0.999955985831	159032.695847	14.0
7	200-250	1970s	0.999946783076	131530.103489	13.0
7	200-250	1980s	0.999921531474	89200.741472	8.0
7	200-250	1990s	0.99990533217	73935.753237	6.0
7	200-250	2000s	0.999946680878	131277.981723	9.0
7	250-300	1950-pre	0.999982493016	399833.422114	33.0
7	250-300	1950s	0.999980298707	355299.631776	28.0
7	250-300	1960s	0.999956228558	159914.622501	14.0
7	250-300	1970s	0.999974853322	278359.789398	20.0
7	250-300	1980s	0.999961452545	181587.34861	16.0
7	250-300	1990s	0.999912746354	80218.874312	6.0
7	250-300	2000s	0.999921775709	89479.2695603	9.0
7	300+	1950-pre	0.999996720925	2134741.61957	196.0
7	300+	1950s	0.999994681638	1316187.82654	123.0
7	300+	1960s	0.99999341857	1063591.6722	97.0
7	300+	1970s	0.999991596163	832945.867849	63.0
7	300+	1980s	0.999992248108	902998.334931	70.0
7	300+	1990s	0.999990010265	700712.306765	52.0
7	300+	2000s	0.999991164116	792217.106917	59.0
7	50-100	1950-pre	0.999987688226	568554.446104	44.0
7	50-100	1950s	0.999957925031	166362.699619	16.0
7	50-100	1960s	0.999941579545	119814.04485	14.0
7	50-100	1970s	0.99994494623	127141.422641	12.0
7	50-100	1980s	0.999949431176	138418.209478	13.0
7	50-100	1990s	0.99984895195	46335.868899	4.0
7	50-100	2000s	0.999846442278	45578.464016	4.0
8	0-50	1950-pre	0.999950067031	160206.786287	20.0
8	0-50	1950s	0.999914595304	93663.663925	12.0
8	0-50	1960s	0.999901958185	81589.836856	10.0
8	0-50	1970s	0.999969073795	258672.299393	21.0
8	0-50	1980s	0.999905777894	84897.764676	11.0
8	0-50	1990s	0.999922481841	103193.625895	12.0
8	0-50	2000s	0.999925722742	107696.56891	14.0
8	100-150	1950-pre	0.999970993879	275795.856541	31.0
8	100-150	1950s	0.999960795237	204048.837633	24.0
8	100-150	1960s	0.999950800976	162596.851239	16.0
8	100-150	1970s	0.999969202875	259756.507526	37.0
8	100-150	1980s	0.99995746087	188054.142942	20.0
8	100-150	1990s	0.999964479349	225213.097416	30.0
8	100-150	2000s	0.999938176772	129393.202793	16.0
8	150-200	1950-pre	0.999968928515	257462.797808	38.0
8	150-200	1950s	0.999946278675	148908.655863	20.0
8	150-200	1960s	0.999961966204	210331.247182	30.0
8	150-200	1970s	0.999968791826	256335.096755	36.0
8	150-200	1980s	0.999955446652	179552.016773	25.0
8	150-200	1990s	0.999959898928	199487.914289	27.0
8	150-200	2000s	0.999957851275	189796.082574	26.0
8	200-250	1950-pre	0.999971338654	279113.569142	35.0
8	200-250	1950s	0.999916752132	96090.556882	16.0
8	200-250	1960s	0.999938527924	130132.389907	23.0
8	200-250	1970s	0.999942627189	139430.872353	24.0
8	200-250	1980s	0.999946478605	149464.934918	19.0
8	200-250	1990s	0.999949756712	159217.247199	18.0
8	200-250	2000s	0.999962497057	213308.590697	20.0
8	250-300	1950-pre	0.999962650887	214187.182393	32.0
8	250-300	1950s	0.999954009795	173942.084988	28.0
8	250-300	1960s	0.999962815819	215137.253733	33.0
8	250-300	1970s	0.999976615855	342104.144094	53.0
8	250-300	1980s	0.99996355443	219497.415472	27.0
8	250-300	1990s	0.999980044546	400884.905902	45.0
8	250-300	2000s	0.999951735827	165746.421503	25.0
8	300+	1950-pre	0.999990647519	855380.02572	106.0
8	300+	1950s	0.999984095855	503005.517611	78.0
8	300+	1960s	0.999988168832	676172.050001	88.0
8	300+	1970s	0.999991056317	894478.085682	126.0
8	300+	1980s	0.999993013573	1145069.39848	136.0
8	300+	1990s	0.999993945411	1321303.79817	157.0
8	300+	2000s	0.999994165509	1371148.50841	192.0
8	50-100	1950-pre	0.999957197819	186898.365119	24.0
8	50-100	1950s	0.999909791511	88675.450122	12.0
8	50-100	1960s	0.999894013733	75473.477077	12.0
8	50-100	1970s	0.999968974053	257840.693394	31.0
8	50-100	1980s	0.999944820231	144972.672329	17.0
8	50-100	1990s	0.99993835056	129757.979352	13.0
8	50-100	2000s	0.999928879087	112476.49575	14.0
9	0-50	1950-pre	0.999953336386	192860.758846	21.0
9	0-50	1950s	0.99996322386	244714.887941	24.0
9	0-50	1960s	0.999968091371	282046.365803	27.0
9	0-50	1970s	0.999974126326	347834.907443	38.0
9	0-50	1980s	0.999981374628	483202.82141	48.0
9	0-50	1990s	0.999981185542	478346.529705	40.0
9	0-50	2000s	0.999976670719	385772.284708	36.0
9	100-150	1950-pre	0.99998028038	456389.239247	46.0
9	100-150	1950s	0.999969383533	293950.456133	28.0
9	100-150	1960s	0.999975794291	371804.116885	37.0
9	100-150	1970s	0.999987068082	695943.465354	62.0
9	100-150	1980s	0.999989010331	818941.944673	77.0
9	100-150	1990s	0.99998789323	743376.734327	63.0
9	100-150	2000s	0.999983800485	555563.190644	56.0
9	150-200	1950-pre	0.999968737865	287879.206056	27.0
9	150-200	1950s	0.999966779433	270907.508946	27.0
9	150-200	1960s	0.999972407604	326167.818423	39.0
9	150-200	1970s	0.999983732645	553246.292814	54.0
9	150-200	1980s	0.999984153124	567926.295415	60.0
9	150-200	1990s	0.999982339149	509592.711113	51.0
9	150-200	2000s	0.999984352631	575167.582643	57.0
9	200-250	1950-pre	0.999965645277	261963.712346	25.0
9	200-250	1950s	0.999972652493	329088.641889	37.0
9	200-250	1960s	0.999974756295	356515.526509	32.0
9	200-250	1970s	0.999980388147	458897.145946	48.0
9	200-250	1980s	0.999982357938	510135.454826	50.0
9	200-250	1990s	0.999985389395	615981.916218	52.0
9	200-250	2000s	0.999983721827	552878.600677	52.0
9	250-300	1950-pre	0.999958307749	215858.454336	20.0
9	250-300	1950s	0.999973580597	340649.722936	34.0
9	250-300	1960s	0.999980660124	465350.748518	45.0
9	250-300	1970s	0.999986628809	673079.872904	73.0
9	250-300	1980s	0.999988066847	754192.314746	77.0
9	250-300	1990s	0.999985319211	613037.055444	62.0
9	250-300	2000s	0.999987778067	736372.063051	73.0
9	300+	1950-pre	0.999985660324	627620.245079	62.0
9	300+	1950s	0.999989645425	869171.975679	96.0
9	300+	1960s	0.999991956409	1118894.18476	115.0
9	300+	1970s	0.99999447313	1628399.00147	183.0
9	300+	1980s	0.999995473118	1988114.58022	226.0
9	300+	1990s	0.999996658097	2693067.18653	274.0
9	300+	2000s	0.999997259174	3283673.17058	347.0
9	50-100	1950-pre	0.999975977293	374636.542303	34.0
9	50-100	1950s	0.99997735673	397460.100464	40.0
9	50-100	1960s	0.999977887007	406991.527323	39.0
9	50-100	1970s	0.999985261454	610634.688136	56.0
9	50-100	1980s	0.999988208632	763261.203044	65.0
9	50-100	1990s	0.999971934984	320674.944241	31.0
9	50-100	2000s	0.999976937764	390239.361639	38.0
10	0-50	1950-pre	0.999571154701	23308.43211	1.0
10	0-50	1950s	0.998857779561	8744.877482	1.0
10	0-50	1960s	0.0	0.0	0.0
10	0-50	1970s	0.999806082868	51558.41948	5.0
10	0-50	1980s	0.999509950101	20396.085224	2.0
10	0-50	1990s	0.998952819927	9539.455973	1.0
10	0-50	2000s	0.999706907597	34108.932778	3.0
10	100-150	1950-pre	0.999526198887	21095.90229	2.0
10	100-150	1950s	0.999034273292	10344.89639	1.0
10	100-150	1960s	0.999764386329	42432.358912	4.0
10	100-150	1970s	0.999886132692	87811.519355	9.0
10	100-150	1980s	0.999885614683	87413.808418	7.0
10	100-150	1990s	0.999904449013	104646.166094	9.0
10	100-150	2000s	0.999885142876	87054.691241	9.0
10	150-200	1950-pre	0.0	0.0	0.0
10	150-200	1950s	0.0	0.0	0.0
10	150-200	1960s	0.99867029698	7510.476263	1.0
10	150-200	1970s	0.999903594725	103718.763896	11.0
10	150-200	1980s	0.999889732574	90678.613791	7.0
10	150-200	1990s	0.999866911747	75128.111614	7.0
10	150-200	2000s	0.999758322682	41367.486594	4.0
10	200-250	1950-pre	0.999314310573	14573.862029	2.0
10	200-250	1950s	0.999841163756	62947.92296	5.0
10	200-250	1960s	0.0	0.0	0.0
10	200-250	1970s	0.999879755103	83153.612342	8.0
10	200-250	1980s	0.999852378512	67730.815632	5.0
10	200-250	1990s	0.999912064129	113709.234977	11.0
10	200-250	2000s	0.999876716086	81103.583341	7.0
10	250-300	1950-pre	0.999589692627	24361.972473	2.0
10	250-300	1950s	0.999777127542	44858.71142	3.0
10	250-300	1960s	0.999815451513	54176.301745	5.0
10	250-300	1970s	0.999917699156	121495.43679	12.0
10	250-300	1980s	0.999907761354	108404.427424	9.0
10	250-300	1990s	0.999837745863	61621.71067	5.0
10	250-300	2000s	0.999844080048	64125.473914	6.0
10	300+	1950-pre	0.0	0.0	0.0
10	300+	1950s	0.999759737078	41611.07045	4.0
10	300+	1960s	0.999838040835	61733.958721	6.0
10	300+	1970s	0.999966163358	295527.598755	31.0
10	300+	1980s	0.999970460451	338519.208655	32.0
10	300+	1990s	0.999981714937	546884.479451	50.0
10	300+	2000s	0.999981892808	552256.755631	49.0
10	50-100	1950-pre	0.0	0.0	0.0
10	50-100	1950s	0.99977128459	43712.458449	4.0
10	50-100	1960s	0.999505115358	20196.729313	2.0
10	50-100	1970s	0.999808933434	52327.78052	5.0
10	50-100	1980s	0.999905215577	105492.568088	9.0
10	50-100	1990s	0.999832479675	59684.248982	6.0
10	50-100	2000s	0.999826464447	57615.079323	5.0
11	0-50	1950-pre	0.999904712745	115429.412755	14.0
11	0-50	1950s	0.999888585873	98719.746738	14.0
11	0-50	1960s	0.999928336843	153484.888133	18.0
11	0-50	1970s	0.999912838692	126191.787589	17.0
11	0-50	1980s	0.999798227222	54505.769461	7.0
11	0-50	1990s	0.999898622414	108494.247428	15.0
11	0-50	2000s	0.999791176124	52664.968977	7.0
11	100-150	1950-pre	0.999950343101	221509.07455	28.0
11	100-150	1950s	0.999942648831	191789.797302	27.0
11	100-150	1960s	0.999959411296	271000.359836	37.0
11	100-150	1970s	0.999971363454	384113.534714	48.0
11	100-150	1980s	0.999934193413	167145.519252	22.0
11	100-150	1990s	0.999896475295	106243.830226	13.0
11	100-150	2000s	0.999816669511	59989.930903	8.0
11	150-200	1950-pre	0.999919590322	136788.453904	19.0
11	150-200	1950s	0.999923418662	143627.12814	19.0
11	150-200	1960s	0.9998907228	100650.437561	14.0
11	150-200	1970s	0.999941212498	187103.602091	25.0
11	150-200	1980s	0.999913003582	126430.98708	16.0
11	150-200	1990s	0.999878284511	90363.693688	10.0
11	150-200	2000s	0.999794612052	53546.183303	7.0
11	200-250	1950-pre	0.999940291716	184218.043731	22.0
11	200-250	1950s	0.999922425986	141789.06136	19.0
11	200-250	1960s	0.999946804147	206772.036231	28.0
11	200-250	1970s	0.999953164199	234852.070766	31.0
11	200-250	1980s	0.999845988871	71412.409811	10.0
11	200-250	1990s	0.999871368344	85504.497195	11.0
11	200-250	2000s	0.999911216101	123885.338532	17.0
