Dependency=yearmaderange	Dependency=Size	Dependency=Foundation Type	Option=1	Option=2+	Weight	Count
1950-pre	0-1499	Crawl	0.833872913402	0.166127086598	2299538.82264	239.333333333
1950-pre	0-1499	Heated Basement	0.51445285977	0.48554714023	369434.129845	40.5
1950-pre	0-1499	Pier and Beam	0.746975453635	0.253024546365	983983.09273	105.333333333
1950-pre	0-1499	Slab	0.768045029878	0.231954970122	888419.894732	96.3333333333
1950-pre	0-1499	Unheated Basement	0.43772875448	0.56227124552	1787712.32074	190.833333333
1950-pre	1500-2499	Crawl	0.388774417611	0.611225582389	1198063.0159	114.166666667
1950-pre	1500-2499	Heated Basement	0.401269249382	0.598730750618	1044973.40718	109.5
1950-pre	1500-2499	Pier and Beam	0.305991099274	0.694008900726	920931.242564	97.1666666667
1950-pre	1500-2499	Slab	0.41367039101	0.58632960899	493707.28831	52.1666666667
1950-pre	1500-2499	Unheated Basement	0.094031676355	0.905968323645	1355670.99162	161.166666667
1950-pre	2500-3499	Crawl	0.0326492409873	0.967350759013	341377.252833	39.0
1950-pre	2500-3499	Heated Basement	0.165878173774	0.834121826226	715268.033464	77.5
1950-pre	2500-3499	Pier and Beam	0.0548101869595	0.94518981304	330842.524333	38.0
1950-pre	2500-3499	Slab	0.193134041433	0.806865958567	170381.391197	20.0
1950-pre	2500-3499	Unheated Basement	0.0455175611515	0.954482438849	517354.947833	54.5
1950-pre	3500+	Crawl	0.0462542500985	0.953745749901	200750.220212	19.5
1950-pre	3500+	Heated Basement	0.101399471964	0.898600528036	545273.057085	60.1666666667
1950-pre	3500+	Pier and Beam	0.112579654762	0.887420345238	218326.938065	22.0
1950-pre	3500+	Slab	0.268454124177	0.731545875823	109279.989862	12.0
1950-pre	3500+	Unheated Basement	0.0464786840202	0.95352131598	157892.29174	17.3333333333
1950s	0-1499	Crawl	0.967233573167	0.0327664268329	1647698.28225	183.0
1950s	0-1499	Heated Basement	0.822794994079	0.177205005921	348119.753477	38.0
1950s	0-1499	Pier and Beam	0.938123835156	0.0618761648439	660211.024657	68.0
1950s	0-1499	Slab	0.968234804823	0.0317651951768	1597877.09616	181.5
1950s	0-1499	Unheated Basement	0.632396768923	0.367603231077	824005.760593	92.5
1950s	1500-2499	Crawl	0.654199109146	0.345800890854	1048679.89441	104.0
1950s	1500-2499	Heated Basement	0.689457832357	0.310542167643	1203435.87544	132.666666667
1950s	1500-2499	Pier and Beam	0.530756111233	0.469243888767	677119.569984	66.5
1950s	1500-2499	Slab	0.786726131054	0.213273868946	1164607.46059	126.5
1950s	1500-2499	Unheated Basement	0.252303565773	0.747696434227	530407.96271	60.8333333333
1950s	2500-3499	Crawl	0.539568541755	0.460431458245	181047.747828	17.1666666667
1950s	2500-3499	Heated Basement	0.362546437664	0.637453562336	529424.837574	55.5
1950s	2500-3499	Pier and Beam	0.525671667691	0.474328332309	211291.873806	22.6666666667
1950s	2500-3499	Slab	0.619817427138	0.380182572862	180001.991628	21.6666666667
1950s	2500-3499	Unheated Basement	0.092154052541	0.907845947459	144487.899532	12.6666666667
