Dependency=yearmaderange	Dependency=Size	Option=Crawl	Option=Heated Basement	Option=Pier and Beam	Option=Slab	Option=Unheated Basement	Weight	Count
1950-pre	0-1499	0.363328607206	0.0583708291983	0.155469959053	0.140370912545	0.282459691998	6329088.26068	672.333333333
1950-pre	1500-2499	0.238974734421	0.20843832014	0.183695929338	0.0984785996559	0.270412416445	5013345.94557	534.166666667
1950-pre	2500-3499	0.164501387905	0.344670253371	0.15942495869	0.0821026447793	0.249300755255	2075224.14966	229.0
1950-pre	3500+	0.16300978724	0.442763374952	0.177282135408	0.0887356829709	0.128209019428	1231522.49696	131.0
1950s	0-1499	0.324483431209	0.0685556896532	0.130016241997	0.314672078254	0.162272558886	5077911.91713	563.0
1950s	1500-2499	0.226778336239	0.260244510318	0.14642795226	0.251847817136	0.114701384046	4624250.76314	490.5
1950s	2500-3499	0.145273513207	0.424812830076	0.169541533591	0.14443439381	0.115937729316	1246254.35037	129.666666667
1950s	3500+	0.0851386821229	0.460315800522	0.194579523274	0.186966597263	0.0729993968178	634411.448804	69.6666666667
1960s	0-1499	0.320629008716	0.045985565236	0.143031002108	0.365747835958	0.124606587982	4010613.68169	432.0
1960s	1500-2499	0.236404066486	0.183725722867	0.14584057772	0.327285942545	0.106743690382	3579366.28472	390.333333333
1960s	2500-3499	0.114845207487	0.347180536027	0.179386954719	0.300823708882	0.0577635928852	1332709.26475	140.0
1960s	3500+	0.135614709482	0.374868824192	0.164828973207	0.27390541634	0.0507820767785	834142.427392	89.8333333333
1970s	0-1499	0.324590930207	0.0408336566595	0.106199400114	0.409454279556	0.118921733464	3684232.46036	418.166666667
1970s	1500-2499	0.167444106063	0.167465865201	0.12370259563	0.4825409834	0.0588464497063	4390171.46025	510.5
1970s	2500-3499	0.159490415326	0.318021996586	0.169751836727	0.299242070097	0.053493681263	1850582.32732	215.666666667
1970s	3500+	0.133749288936	0.400681562615	0.164313546481	0.251408294319	0.0498473076497	892427.078783	115.166666667
1980s	0-1499	0.288608612149	0.0319747993241	0.148769577985	0.454832931014	0.0758140795278	3004871.25303	311.333333333
1980s	1500-2499	0.19517433337	0.138932125333	0.118066826498	0.480095994361	0.0677307204388	4278831.04387	452.5
1980s	2500-3499	0.10632989434	0.263195253776	0.134978448864	0.411849158148	0.0836472448713	1825058.93334	203.833333333
1980s	3500+	0.188625659674	0.313895937013	0.139936532799	0.285403271857	0.0721385986574	1010880.77809	117.333333333
1990s	0-1499	0.401106923187	0.020312708833	0.144268730987	0.357842587197	0.076469049796	2550005.34399	256.5
1990s	1500-2499	0.226334730848	0.0722610792522	0.107507048172	0.511455896202	0.0824412455252	4137036.48949	432.833333333
1990s	2500-3499	0.149849388349	0.248963442815	0.135212756894	0.391415399593	0.0745590123496	2415403.24939	261.666666667
1990s	3500+	0.142255010237	0.349694563365	0.1190519854	0.330115572195	0.0588828688028	2113180.35118	237.0
2000s	0-1499	0.255560962655	0.0124925777981	0.128321282034	0.526803232189	0.0768219453236	2364461.96489	238.666666667
2000s	1500-2499	0.19369027464	0.0714758641861	0.0843770761807	0.578791099912	0.0716656850811	4135264.69997	449.166666667
2000s	2500-3499	0.127900233818	0.130893484564	0.0748552844367	0.548917759654	0.117433237528	2323500.7446	255.166666667
2000s	3500+	0.095870767324	0.346638701694	0.109249998805	0.368436537601	0.0798039945768	2673325.06813	294.0
