Region	Vintage	Size	Stories	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50
				10	15	20	25	3	4	5	6	7	8
													
CR01	1950s	0-1499	1		14.89640437								
CR01	1950s	0-1499	2+		14.14319108								
CR01	1950s	1500-2499	1		12.57255515								
CR01	1950s	1500-2499	2+	11.93684364									
CR01	1950s	2500-3499	1	10.39441605									
CR01	1950s	2500-3499	2+	9.868838727									
CR01	1950s	3500+	1									7.428433551	
CR01	1950s	3500+	2+									7.052826474	
CR01	1960s	0-1499	1	12.4052512									
CR01	1960s	0-1499	2+	11.77799915									
CR01	1960s	1500-2499	1	10.47002356									
CR01	1960s	1500-2499	2+	9.940623265									
CR01	1960s	2500-3499	1										8.656138685
CR01	1960s	2500-3499	2+										8.218454626
CR01	1960s	3500+	1								6.186162908		
CR01	1960s	3500+	2+								5.873369295		
CR01	1970s	0-1499	1	12.17177646									
CR01	1970s	0-1499	2+	11.5563297									
CR01	1970s	1500-2499	1	10.27297104									
CR01	1970s	1500-2499	2+	9.753534395									
CR01	1970s	2500-3499	1										8.493224634
CR01	1970s	2500-3499	2+										8.063778068
CR01	1970s	3500+	1								6.069735377		
CR01	1970s	3500+	2+								5.762828739		
CR01	1980s	0-1499	1	9.945496808									
CR01	1980s	0-1499	2+	9.44261838									
CR01	1980s	1500-2499	1										8.393992535
CR01	1980s	1500-2499	2+										7.969563484
CR01	1980s	2500-3499	1									6.939770771	
CR01	1980s	2500-3499	2+									6.58887216	
CR01	1980s	3500+	1							4.959549991			
CR01	1980s	3500+	2+							4.708778134			
CR01	1990s	0-1499	1										7.660826427
CR01	1990s	0-1499	2+									7.273468769	
CR01	1990s	1500-2499	1								6.465732289		
CR01	1990s	1500-2499	2+								6.138802689		
CR01	1990s	2500-3499	1							5.345573011			
CR01	1990s	2500-3499	2+							5.075282506			
CR01	1990s	3500+	1						3.820246728				
CR01	1990s	3500+	2+						3.627081951				
CR01	2000s	0-1499	1									6.640052477	
CR01	2000s	0-1499	2+								6.304308651		
CR01	2000s	1500-2499	1								5.60419977		
CR01	2000s	1500-2499	2+							5.320832209			
CR01	2000s	2500-3499	1							4.633297158			
CR01	2000s	2500-3499	2+						4.399021763				
CR01	2000s	3500+	1					3.311214395					
CR01	2000s	3500+	2+					3.143788039					
CR01	pre-1950	0-1499	1		14.89640437								
CR01	pre-1950	0-1499	2+		14.14319108								
CR01	pre-1950	1500-2499	1		12.57255515								
CR01	pre-1950	1500-2499	2+	11.93684364									
CR01	pre-1950	2500-3499	1	10.39441605									
CR01	pre-1950	2500-3499	2+	9.868838727									
CR01	pre-1950	3500+	1									7.428433551	
CR01	pre-1950	3500+	2+									7.052826474	
CR02	1950s	0-1499	1		14.70400443								
CR02	1950s	0-1499	2+		13.96051953								
CR02	1950s	1500-2499	1	12.41016972									
CR02	1950s	1500-2499	2+	11.78266898									
CR02	1950s	2500-3499	1	10.26016318									
CR02	1950s	2500-3499	2+	9.741374138									
CR02	1950s	3500+	1									7.332488906	
CR02	1950s	3500+	2+									6.961733119	
CR02	1960s	0-1499	1	12.24502665									
CR02	1960s	0-1499	2+	11.6258761									
CR02	1960s	1500-2499	1	10.33479415									
CR02	1960s	1500-2499	2+	9.812231517									
CR02	1960s	2500-3499	1										8.544337166
CR02	1960s	2500-3499	2+										8.112306175
CR02	1960s	3500+	1								6.106263263		
CR02	1960s	3500+	2+								5.797509651		
CR02	1970s	0-1499	1	12.01456744									
CR02	1970s	0-1499	2+	11.4070697									
CR02	1970s	1500-2499	1	10.14028674									
CR02	1970s	1500-2499	2+	9.627559062									
CR02	1970s	2500-3499	1										8.383527292
CR02	1970s	2500-3499	2+										7.959627399
CR02	1970s	3500+	1								5.991339494		
CR02	1970s	3500+	2+								5.688396821		
CR02	1980s	0-1499	1	9.817042114									
CR02	1980s	0-1499	2+	9.320658796									
CR02	1980s	1500-2499	1										8.285576861
CR02	1980s	1500-2499	2+										7.866629678
CR02	1980s	2500-3499	1									6.850137628	
CR02	1980s	2500-3499	2+									6.503771176	
CR02	1980s	3500+	1							4.895493113			
CR02	1980s	3500+	2+							4.647960191			
CR02	1990s	0-1499	1										7.561880227
CR02	1990s	0-1499	2+									7.179525629	
CR02	1990s	1500-2499	1								6.382221764		
CR02	1990s	1500-2499	2+								6.059514743		
CR02	1990s	2500-3499	1							5.276530312			
CR02	1990s	2500-3499	2+							5.009730843			
CR02	1990s	3500+	1						3.770904937				
CR02	1990s	3500+	2+						3.58023505				
CR02	2000s	0-1499	1									6.554290456	
CR02	2000s	0-1499	2+								6.222883051		
CR02	2000s	1500-2499	1								5.531816682		
CR02	2000s	1500-2499	2+							5.252109059			
CR02	2000s	2500-3499	1							4.573454117			
CR02	2000s	2500-3499	2+						4.342204592				
CR02	2000s	3500+	1					3.268447197					
CR02	2000s	3500+	2+					3.103183297					
CR02	pre-1950	0-1499	1		14.70400443								
CR02	pre-1950	0-1499	2+		13.96051953								
CR02	pre-1950	1500-2499	1	12.41016972									
CR02	pre-1950	1500-2499	2+	11.78266898									
CR02	pre-1950	2500-3499	1	10.26016318									
CR02	pre-1950	2500-3499	2+	9.741374138									
CR02	pre-1950	3500+	1									7.332488906	
CR02	pre-1950	3500+	2+									6.961733119	
CR03	1950s	0-1499	1		16.44661805								
CR03	1950s	0-1499	2+		15.61502064								
CR03	1950s	1500-2499	1		13.88093444								
CR03	1950s	1500-2499	2+		13.17906679								
CR03	1950s	2500-3499	1	11.47612447									
CR03	1950s	2500-3499	2+	10.89585225									
CR03	1950s	3500+	1										8.201483142
CR03	1950s	3500+	2+										7.786788026
CR03	1960s	0-1499	1		13.69621978								
CR03	1960s	0-1499	2+		13.00369194								
CR03	1960s	1500-2499	1	11.55960017									
CR03	1960s	1500-2499	2+	10.97510714									
CR03	1960s	2500-3499	1	9.556951006									
CR03	1960s	2500-3499	2+	9.073718787									
CR03	1960s	3500+	1									6.829933991	
CR03	1960s	3500+	2+								6.484589104		
CR03	1970s	0-1499	1		13.43844819								
CR03	1970s	0-1499	2+		12.75895416								
CR03	1970s	1500-2499	1	11.34204113									
CR03	1970s	1500-2499	2+	10.76854863									
CR03	1970s	2500-3499	1	9.377083093									
CR03	1970s	2500-3499	2+										8.902945612
CR03	1970s	3500+	1									6.701390277	
CR03	1970s	3500+	2+								6.362545001		
CR03	1980s	0-1499	1	10.98048786									
CR03	1980s	0-1499	2+	10.42527673									
CR03	1980s	1500-2499	1	9.267524276									
CR03	1980s	1500-2499	2+										8.798926465
CR03	1980s	2500-3499	1										7.661967035
CR03	1980s	2500-3499	2+									7.274551703	
CR03	1980s	3500+	1							5.475672006			
CR03	1980s	3500+	2+							5.198803249			
CR03	1990s	0-1499	1										8.458060285
CR03	1990s	0-1499	2+										8.030391749
CR03	1990s	1500-2499	1									7.138597122	
CR03	1990s	1500-2499	2+									6.777645169	
CR03	1990s	2500-3499	1								5.901867013		
CR03	1990s	2500-3499	2+								5.603448376		
CR03	1990s	3500+	1						4.217805668				
CR03	1990s	3500+	2+						4.004538948				
CR03	2000s	0-1499	1									7.331058167	
CR03	2000s	0-1499	2+									6.960374723	
CR03	2000s	1500-2499	1								6.187408102		
CR03	2000s	1500-2499	2+								5.874551528		
CR03	2000s	2500-3499	1							5.115467248			
CR03	2000s	2500-3499	2+							4.85681168			
CR03	2000s	3500+	1						3.655800225				
CR03	2000s	3500+	2+					3.470950427					
CR03	pre-1950	0-1499	1		16.44661805								
CR03	pre-1950	0-1499	2+		15.61502064								
CR03	pre-1950	1500-2499	1		13.88093444								
CR03	pre-1950	1500-2499	2+		13.17906679								
CR03	pre-1950	2500-3499	1	11.47612447									
CR03	pre-1950	2500-3499	2+	10.89585225									
CR03	pre-1950	3500+	1										8.201483142
CR03	pre-1950	3500+	2+										7.786788026
CR04	1950s	0-1499	1		16.44661805								
CR04	1950s	0-1499	2+		15.61502064								
CR04	1950s	1500-2499	1		13.88093444								
