Location,Vintage,Heating Fuel,"Gas, Hot Water, Forced Draft, 80% AFUE","Gas, Hot Water, Forced Draft, 85% AFUE","Gas, Hot Water, Condensing, 96% AFUE","Gas, Hot Water, Forced Draft, 72% AFUE","Propane, Hot Water, Forced Draft, 72% AFUE","Gas, Hot Water, Forced Draft, 76% AFUE","Oil, Hot Water, Forced Draft, 72% AFUE","Electric, Hot Water, 100% AFUE","None",
H1C1 OR,pre-1950,natural gas,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,pre-1950,propane,0,0,0,0,0,0,0,0,0,
H1C1 OR,pre-1950,fuel oil,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,pre-1950,electricity,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,pre-1950,other fuel,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,pre-1950,none,0,0,0,0,0,0,0,0,0,
H1C1 OR,1950s,natural gas,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1950s,propane,0,0,0,0,0,0,0,0,0,
H1C1 OR,1950s,fuel oil,0,0,0,0,0,0,0,0,0,
H1C1 OR,1950s,electricity,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1950s,other fuel,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1950s,none,0,0,0,0,0,0,0,0,0,
H1C1 OR,1960s,natural gas,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1960s,propane,0,0,0,0,0,0,0,0,0,
H1C1 OR,1960s,fuel oil,0,0,0,0,0,0,0,0,0,
H1C1 OR,1960s,electricity,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1960s,other fuel,0,0,0,0,0,0,0,0,0,
H1C1 OR,1960s,none,0,0,0,0,0,0,0,0,0,
H1C1 OR,1970s,natural gas,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1970s,propane,0,0,0,0,0,0,0,0,0,
H1C1 OR,1970s,fuel oil,0,0,0,0,0,0,0,0,0,
H1C1 OR,1970s,electricity,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1970s,other fuel,0,0,0,0,0,0,0,0,1.0,
H1C1 OR,1970s,none,0,0,0,0,0,0,0,0,0,
H1C1 OR,1980s,natural gas,0,0,0,0,0,0,0,0,1.0,
