Dependency=Misc Pool	Dependency=Location Region	Option=Electric	Option=Gas	Option=None	Option=Solar	sample_count	sample_weight
Has Pool	CR02	0.037172	0.295992	0.645969	0.020867	34.000000	227731.031250
Has Pool	CR03	0.055870	0.014509	0.914894	0.014727	68.000000	367652.500000
Has Pool	CR04	0.018125	0.263365	0.701130	0.017380	51.000000	847393.625000
Has Pool	CR05	0.000000	0.287847	0.712153	0.000000	9.000000	71503.000000
Has Pool	CR06	0.000000	0.122766	0.754468	0.122766	8.000000	83656.437500
Has Pool	CR07	0.015346	0.148032	0.831384	0.005238	122.000000	1380261.750000
Has Pool	CR08	0.057332	0.020645	0.899583	0.022440	103.000000	763931.937500
Has Pool	CR09	0.099529	0.103394	0.772285	0.024793	286.000000	2468308.750000
Has Pool	CR10	0.113659	0.142378	0.690054	0.053909	52.000000	527130.187500
Has Pool	CR11	0.034658	0.190776	0.694070	0.080496	162.000000	1189562.000000
None	CR02	0.000000	0.000000	1.000000	0.000000	907.000000	5952765.500000
None	CR03	0.000000	0.000000	1.000000	0.000000	870.000000	5143445.000000
None	CR04	0.000000	0.000000	1.000000	0.000000	857.000000	14733746.000000
None	CR05	0.000000	0.000000	1.000000	0.000000	436.000000	3849088.750000
None	CR06	0.000000	0.000000	1.000000	0.000000	359.000000	3762804.000000
None	CR07	0.000000	0.000000	1.000000	0.000000	1206.000000	13879088.000000
None	CR08	0.000000	0.000000	1.000000	0.000000	1777.000000	13673631.000000
None	CR09	0.000000	0.000000	1.000000	0.000000	2918.000000	29330166.000000
None	CR10	0.000000	0.000000	1.000000	0.000000	315.000000	3457554.000000
None	CR11	0.000000	0.000000	1.000000	0.000000	1444.000000	11025330.000000
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
