Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.014957	0.018265	0.005609	0.039694	0.077087	0.009923	0.213642	0.015367	0.605456	0.000000	0.000000
AL, 00200	0.031527	0.049409	0.000000	0.000000	0.055291	0.012470	0.126886	0.018950	0.705467	0.000000	0.000000
AL, 00301	0.107899	0.000000	0.039713	0.008542	0.055598	0.025326	0.049437	0.035759	0.677725	0.000000	0.000000
AL, 00302	0.049851	0.000000	0.027019	0.010275	0.061267	0.088667	0.049437	0.020810	0.692675	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.004115	0.002216	0.014245	0.000000	0.476631	0.015157	0.487636	0.000000	0.000000
AL, 00500	0.009498	0.000000	0.022162	0.022162	0.031660	0.000000	0.204207	0.005555	0.704755	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.028336	0.107380	0.000000	0.135251	0.000000	0.729033	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.005752	0.012505	0.000000	0.000500	0.397918	0.000000	0.583324	0.000000	0.000000
AL, 00800	0.006681	0.000000	0.005122	0.006235	0.013250	0.000000	0.414197	0.010767	0.543749	0.000000	0.000000
AL, 00900	0.000000	0.042222	0.043541	0.000000	0.029028	0.000000	0.286709	0.000000	0.598500	0.000000	0.000000
AL, 01000	0.000000	0.023777	0.000000	0.009367	0.024017	0.009367	0.538291	0.004509	0.390673	0.000000	0.000000
AL, 01100	0.000000	0.015428	0.000000	0.000000	0.062353	0.009642	0.439563	0.051428	0.421585	0.000000	0.000000
AL, 01200	0.021768	0.010653	0.029989	0.000000	0.020842	0.042378	0.130163	0.050848	0.693359	0.000000	0.000000
AL, 01301	0.058297	0.020527	0.000000	0.019706	0.144510	0.027096	0.052645	0.000000	0.677219	0.000000	0.000000
AL, 01302	0.015215	0.000000	0.042487	0.012918	0.084687	0.114829	0.052645	0.139744	0.537476	0.000000	0.000000
AL, 01303	0.058740	0.000000	0.017759	0.024247	0.037566	0.131824	0.052645	0.042105	0.635114	0.000000	0.000000
AL, 01304	0.013866	0.000000	0.063169	0.074467	0.076008	0.042626	0.052645	0.000000	0.677219	0.000000	0.000000
AL, 01305	0.012842	0.053202	0.065585	0.012842	0.078427	0.047239	0.052645	0.002475	0.674745	0.000000	0.000000
AL, 01400	0.008073	0.000000	0.010956	0.037482	0.000000	0.001153	0.617968	0.000000	0.324367	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.100078	0.084065	0.229626	0.000000	0.586232	0.000000	0.000000
AL, 01600	0.033805	0.006974	0.035933	0.028013	0.047871	0.049408	0.176283	0.040240	0.581473	0.000000	0.000000
AL, 01700	0.003886	0.004404	0.017100	0.004404	0.005182	0.009327	0.770343	0.000000	0.185353	0.000000	0.000000
AL, 01800	0.003299	0.007697	0.000000	0.000000	0.036562	0.027490	0.467252	0.033275	0.424425	0.000000	0.000000
AL, 01900	0.050851	0.040108	0.031991	0.023396	0.034617	0.021128	0.247087	0.017797	0.533025	0.000000	0.000000
AL, 02000	0.064039	0.035683	0.013700	0.049702	0.036958	0.040781	0.103970	0.025179	0.629987	0.000000	0.000000
AL, 02100	0.007714	0.006626	0.015823	0.020570	0.028086	0.002176	0.313829	0.000000	0.605177	0.000000	0.000000
