occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0907
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0907
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
0.667,0.0513,0.0513,0,0,0,0,0.281,0.608,0.02,0,0,0
0.667,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
0.667,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
0.667,0.183,0.183,0,0,0,0,0.281,0.64,0.0449,0,0,0.257
1,0.477,0.477,0,0,0,0,0,0.818,0.126,0,0,0.123
1,0.49,0.49,0,0,0,0,0,0.818,0.149,0,0,0
0.667,0.334,0.334,0,0,0,0,0.14,0.732,0.117,0,0,0.0907
0.667,0.322,0.322,0,0.25,0,0,0.14,0.732,0.129,0.15,0,0.136
0.667,0.313,0.313,0,0.55,0,0,0.14,0.732,0.136,0.591,0,0.227
0.667,0.311,0.311,0,0,0,0,0.14,0.732,0.153,0.568,0,0.0453
0.667,0.315,0.315,0,0,0,0,0.14,0.732,0.162,0.566,0,0.0907
0.667,0.343,0.343,0,0,0,0,0.14,0.758,0.181,0,0,0.175
0.667,0.418,0.418,0,0,0,0,0.14,0.797,0.224,0,0,0.188
0.667,0.548,0.548,0,0,0,0,0.14,0.836,0.273,0,0,0.449
0.667,0.669,0.669,0,0,0,0,0.14,0.849,0.366,0,0,0.272
0.667,0.677,0.677,0,0,0,0,0.14,0.836,0.51,0,0,0.0453
0.667,0.565,0.565,0.0167,0.75,0,0,0.14,0.81,0.629,0.497,0,0.181
0.667,0.43,0.43,1,0.05,0,0,0.14,0.758,0.596,0,0,0.229
1,0.536,0.536,0.267,0,0,0,0,0.779,0.536,0,0,0.168
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0.18
1,0.0743,0.0743,0,0,0,0,0.281,0.608,0.0424,0,0,0
1,0.0578,0.0578,0,0,0,0,0.281,0.608,0.026,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0907
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.132
1,0.253,0.253,0.0167,0,0,0,0.14,0.68,0.0551,0,0,0.2
1,0.316,0.316,0.75,0,0,0,0.14,0.719,0.074,0,0,0.35
0.667,0.192,0.192,0,0,0,0,0.281,0.647,0.0527,0,0,0.0926
0.667,0.196,0.196,0,0,0,0,0.281,0.647,0.0604,0,0,0.205
0.667,0.334,0.334,0,0,0,0,0.14,0.732,0.117,0,0,0.283
0.667,0.322,0.322,0,0,0,0,0.14,0.732,0.129,0,0,0.181
0.333,0.181,0.181,0,0.8,0,0,0.281,0.647,0.0759,0.894,0,0.0907
0.667,0.311,0.311,0,0,0,0,0.14,0.732,0.153,0.599,0,0.0907
0.667,0.315,0.315,0,0,0,0,0.14,0.732,0.162,0.211,0,0.0453
0.667,0.343,0.343,0,0,0,0,0.14,0.758,0.181,0,0,0
0.333,0.234,0.234,0,0,0,0,0.281,0.679,0.12,0,0,0.453
0.667,0.548,0.548,0.267,0,0,0,0.14,0.836,0.273,0,0,0.181
0.333,0.359,0.359,0.5,0,0,0,0.281,0.705,0.191,0,0,0.0907
0.333,0.363,0.363,0,0,0,0,0.281,0.699,0.263,0,0,0.136
0.667,0.565,0.565,0,0,0,0,0.14,0.81,0.629,0,0,0.181
0.667,0.43,0.43,0,0,0,0,0.14,0.758,0.596,0,0,0.0936
0.667,0.212,0.212,0,0,0,0,0.281,0.634,0.189,0,0,0.181
0.667,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0
0.667,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
0.667,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
0.667,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0183,0,0,0
0.667,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0166,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0453
1,0.0495,0.0495,0,0.25,0,0,0.421,0.562,0.0159,0.141,0,0
1,0.183,0.183,0,0.283,0,0,0.281,0.64,0.0449,0.404,0,0
1,0.192,0.192,0,0,0,0,0.281,0.647,0.0527,0,0,0
0.667,0.343,0.343,0,0,0,0,0.14,0.732,0.105,0,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0.136
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0907
0.333,0.181,0.181,0,0,0,0,0.281,0.647,0.0759,0,0,0.0907
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0.0907
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.66,0.0982,0,0,0
0.667,0.418,0.418,0,0,0,0,0.14,0.797,0.224,0,0,0.136
0.667,0.548,0.548,0.767,0,0,0,0.14,0.836,0.273,0,0,0.181
0.333,0.359,0.359,0.25,0,0,0,0.281,0.705,0.191,0,0,0.136
0.333,0.363,0.363,0,0,0,0,0.281,0.699,0.263,0,0,0.0907
0.667,0.565,0.565,0,0,0,0,0.14,0.81,0.629,0,0,0.151
0.333,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.263
1,0.374,0.374,0,0,0,0,0.14,0.706,0.363,0,0,0.0453
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0
