occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,hot_water_fixtures,lighting_garage,lighting_exterior_holiday,ceiling_fan
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.461,0.8,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.461,1,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.461,1,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0833,0.503,1,0.55,0,0,0,0,0,0.0464,0.516,0,0.503,0,0.34
1,0.0833,0.503,0.8,0.55,0,0,0,0,0,0.0464,0.516,0,0.503,0,0.34
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0,0.503,0,0.34
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0,0.503,0,0.34
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0.165,0.503,0,0.34
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0.0989,0.503,0,0.34
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
0.667,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
0.667,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
0.667,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0,0.322,0,0.279
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0,0.322,0,0.279
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0.122,0.322,0,0.279
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0,0.322,0,0.279
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0.122,0.322,0,0.279
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0.122,0.322,0,0.279
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0,0.336,0,0.284
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0,0.336,0,0.284
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0.122,0.336,0,0.284
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0,0.336,0,0.284
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0,0.336,0,0.284
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0,0.35,0,0.288
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0.122,0.35,0,0.288
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0,0.35,0,0.288
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0,0.35,0,0.288
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0.122,0.35,0,0.288
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0,0.35,0,0.288
0.333,0.181,0.336,0,0.641,0.473,0.5,0,0,0,0.196,0.591,0,0.336,0,0.284
0.333,0.181,0.336,0,0.641,0.435,1,0,0,0,0.196,0.591,0,0.336,0,0.284
0.333,0.181,0.336,0,0.641,0.745,1,0,0,0,0.196,0.591,0.122,0.336,0,0.284
0.333,0.181,0.336,0,0.641,0,1,0,0,0,0.196,0.591,0,0.336,0,0.284
0.333,0.181,0.336,0,0.641,0,1,0,0,0,0.196,0.591,0.366,0.336,0,0.284
0.333,0.181,0.336,0,0.641,0,0.3,0,0,0,0.196,0.591,0,0.336,0,0.284
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0,0.392,0,0.258
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0.244,0.392,0,0.258
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0.122,0.392,0,0.258
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0,0.392,0,0.258
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0,0.392,0,0.258
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0.122,0.392,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0,0.433,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0,0.433,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0.122,0.433,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0,0.433,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0,0.433,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0.244,0.433,0,0.258
0.333,0.196,0.447,0,0.626,0,0,0,0,0,0.263,0.597,0.122,0.447,0,0.321
0.333,0.196,0.447,0,0.626,0,0,0,0,0,0.263,0.597,0,0.447,0,0.321
0.333,0.196,0.447,0,0.626,0,0,0,0,0,0.263,0.597,0,0.447,0,0.321
0.667,0.343,0.447,0,0.626,0,0,0,0,0,0.263,0.73,0,0.447,0,0.384
0.667,0.343,0.447,0.3,0.626,0,0,0,0,0,0.263,0.73,0.122,0.447,0,0.384
0.667,0.343,0.447,1,0.626,0,0,0,0,0,0.263,0.73,0,0.447,0,0.384
