occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,heating_setpoint,cooling_setpoint
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.258,0,0
1,0.0833,0.0833,0.25,0,0,0,0.281,0.608,0.026,0,0,0.19,0,0
1,0.253,0.253,0,0,0,0,0.14,0.68,0.0551,0,0,0.185,0,0
0.667,0.183,0.183,0,0,0,0,0.281,0.64,0.0449,0,0,0,0,0
0.667,0.334,0.334,0,0,0,0,0.14,0.732,0.0895,0,0,0,0,0
0.667,0.343,0.343,0,0,0,0,0.14,0.732,0.105,0,0,0.139,0,0
0.667,0.334,0.334,0,0,0,0,0.14,0.732,0.117,0,0,0.324,0,0
0.667,0.322,0.322,0,0,0,0,0.14,0.732,0.129,0,0,0.185,0,0
0.667,0.313,0.313,0,0,0,0,0.14,0.732,0.136,0,0,0,0,0
0.667,0.311,0.311,0,0,0,0,0.14,0.732,0.153,0,0,0.741,0,0
0.667,0.315,0.315,0,0,0,0,0.14,0.732,0.162,0,0,0,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.66,0.0982,0,0,0.139,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.231,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0463,0,0
0.333,0.359,0.359,0.25,0,0,0,0.281,0.705,0.191,0,0,0.185,0,0
0.667,0.677,0.677,0,0,0,0,0.14,0.836,0.51,0,0,0.139,0,0
0.667,0.565,0.565,0,0,0,0,0.14,0.81,0.629,0,0,0,0,0
1,0.621,0.621,0,0,0,0,0,0.857,0.887,0,0,0.121,0,0
1,0.374,0.374,0,0,0,0,0.14,0.706,0.363,0,0,0,0,0
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0.0463,0,0
1,0.0743,0.0743,0,0,0,0,0.281,0.608,0.0424,0,0,0,0,0
1,0.0578,0.0578,0,0,0,0,0.281,0.608,0.026,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0183,0,0,0.231,0,0
1,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0166,0,0,0.718,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.441,0,0
1,0.117,0.117,0,0,0,0,0.14,0.654,0.0362,0,0,0.299,0,0
0.667,0.151,0.151,0,0,0,0,0.281,0.621,0.0355,0,0,0.0926,0,0
0.667,0.183,0.183,0,0,0,0,0.281,0.64,0.0449,0,0,0,0,0
0.333,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.647,0.0604,0,0,0.231,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0.0463,0,0
0.333,0.186,0.186,0,0,0,0,0.281,0.647,0.0724,0,0,0,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0926,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.509,0,0
0.333,0.196,0.196,0.25,0,0,0,0.281,0.66,0.0982,0,0,0.139,0,0
0.333,0.234,0.234,0,0,0,0,0.281,0.679,0.12,0,0,0,0,0
0.333,0.299,0.299,0,0,0,0,0.281,0.699,0.145,0,0,0,0,0
0.667,0.669,0.669,0,0,0,0,0.14,0.849,0.366,0.42,0,0,0,0
1,0.991,0.991,0,0.667,0,0,0,0.973,0.758,0.37,0,0.278,0,0
1,0.823,0.823,0.25,0,0.0638,0,0,0.934,0.936,0,0,0.183,0,0
1,0.43,0.43,0,0,0.234,0.317,0.14,0.758,0.596,0,0.397,0.139,0,0
1,0.0495,0.0495,0,0,0,0.5,0.421,0.562,0.0159,0,0.0467,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.278,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.146,0,0
0.667,0.0495,0.0495,0,0,0.0638,0,0.421,0.562,0.0159,0,0,0.121,0,0
0.667,0.183,0.183,0,0,0.553,0.0667,0.281,0.64,0.0449,0,0.168,0,0,0
0.667,0.334,0.334,0,0,0,1,0.14,0.732,0.0895,0,0.197,0,0,0
0.333,0.196,0.196,0,0,0,0.0167,0.281,0.647,0.0604,0,0,0.232,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0,0,0
0.333,0.186,0.186,0,0,0,0,0.281,0.647,0.0724,0,0,0.185,0,0
0.333,0.181,0.181,0,0,0,0,0.281,0.647,0.0759,0,0,0.0463,0,0
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0.0926,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.407,0,0
0.333,0.234,0.234,0,0,0,0,0.281,0.679,0.12,0,0,0,0,0
0.333,0.299,0.299,0,0,0,0,0.281,0.699,0.145,0,0,0,0,0
0.667,0.669,0.669,0,0,0.298,0,0.14,0.849,0.366,0,0,0.231,0,0
0.667,0.677,0.677,0,0,0,0.817,0.14,0.836,0.51,0.447,0.504,0,0,0
0.667,0.565,0.565,0,0.667,0,0,0.14,0.81,0.629,0.571,0,0,0,0
0.667,0.24,0.24,0,0,0,0,0.281,0.66,0.306,0,0,0.139,0,0
1,0.212,0.212,0,0,0,0,0.281,0.634,0.189,0,0,0.509,0,0
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0,0,0
1,0.0743,0.0743,0,0,0,0,0.281,0.608,0.0424,0,0,0.0463,0,0
1,0.0578,0.0578,0,0,0,0,0.281,0.608,0.026,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.281,0.608,0.0183,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.176,0,0
1,0.0833,0.0833,0,0,0,0,0.281,0.608,0.026,0,0,0.127,0,0
0.667,0.151,0.151,0,0,0,0,0.281,0.621,0.0355,0,0,0.0663,0,0
0.667,0.183,0.183,0,0,0,0,0.281,0.64,0.0449,0,0,0.224,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0527,0,0,0.123,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.647,0.0604,0,0,0.278,0,0
0.333,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0.484,0,0
0.333,0.186,0.186,0,0,0,0,0.281,0.647,0.0724,0,0,0.164,0,0
0.333,0.181,0.181,0,0,0,0,0.281,0.647,0.0759,0,0,0.324,0,0
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0.0463,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0.324,0,0
0,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0463,0,0
0.333,0.234,0.234,0,0,0,0,0.281,0.679,0.12,0,0,0.185,0,0
0.667,0.299,0.299,0.517,0,0,0,0.281,0.699,0.145,0,0,0.0926,0,0
1,0.669,0.669,0,0,0,0,0.14,0.849,0.366,0,0,0.139,0,0
1,0.677,0.677,0,0.0833,0,0,0.14,0.836,0.51,0.598,0,0,0,0
1,0.823,0.823,0,0.25,0,0,0,0.934,0.936,0.711,0,0.278,0,0
1,0.621,0.621,0,0,0,0,0,0.857,0.887,0.11,0,0.0463,0,0
1,0.374,0.374,0,0,0,0,0.14,0.706,0.363,0,0,0,0,0
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0,0,0
1,0.0743,0.0743,0,0,0,0,0.281,0.608,0.0424,0,0,0.185,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
