Occ_1,Occ_2,Occ_3
1,1,1
1,0.986280488,1
1,0.963414634,0.999916667
1,0.963414634,1
0.943181818,0.969105691,0.996666667
0.852272727,0.941666667,0.984555556
0.784090909,0.893394309,0.946833333
0.804545455,0.848069106,0.892027778
0.772727273,0.810569106,0.855183333
0.749242424,0.778760163,0.819861111
0.540909091,0.672256098,0.78035
0.490909091,0.458434959,0.319694444
0.513636364,0.491565041,0.326111111
0.55530303,0.556097561,0.515583333
0.554545454,0.62703252,0.797122222
0.71969697,0.647052846,0.791144445
0.642424242,0.710162602,0.820277778
0.614393939,0.729979675,0.838027778
0.611363636,0.752947154,0.858022222
0.688636364,0.758130081,0.634444444
0.816666667,0.774695122,0.602333333
0.958333333,0.846544715,0.625127778
1,0.931199187,0.855811111
1,0.998272358,0.960888889
