Occ_1,Occ_2,Occ_3
1,1,1
0.96875,1,1
0.96875,0.993421053,1
0.9453125,0.976315789,1
0.8515625,0.938157895,0.969901316
0.809895833,0.878859649,0.945084064
0.638541667,0.80254386,0.898538012
0.464583333,0.629035088,0.792481725
0.291666667,0.509473684,0.674283626
0.190625,0.498245614,0.628618421
0.230729167,0.475438596,0.60189693
0.345833333,0.489122807,0.590741959
0.363541667,0.370438596,0.292704678
0.3015625,0.345614035,0.260957602
0.402083333,0.343245614,0.360230263
0.436979167,0.441403509,0.530365497
0.461458333,0.530263158,0.641027047
0.481770833,0.623070175,0.675299708
0.683854167,0.714298246,0.771345029
0.777604167,0.720087719,0.759557749
0.830208333,0.785964912,0.799725877
0.875,0.870877193,0.871527778
0.946354167,0.968245614,0.950745614
0.995833333,0.999736842,0.985946637
