Dependency=Geometry Stories	Dependency=Geometry Building Type RECS	Option=None	Option=Bottom	Option=Middle	Option=Top
1	Mobile Home	1.000000	0.000000	0.000000	0.000000
2	Mobile Home	1.000000	0.000000	0.000000	0.000000
3	Mobile Home	1.000000	0.000000	0.000000	0.000000
1	Single-Family Detached	1.000000	0.000000	0.000000	0.000000
2	Single-Family Detached	1.000000	0.000000	0.000000	0.000000
3	Single-Family Detached	1.000000	0.000000	0.000000	0.000000
1	Single-Family Attached	1.000000	0.000000	0.000000	0.000000
2	Single-Family Attached	1.000000	0.000000	0.000000	0.000000
3	Single-Family Attached	1.000000	0.000000	0.000000	0.000000
1	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000
2	Multi-Family with 2 - 4 Units	0.000000	0.500000	0.000000	0.500000
3	Multi-Family with 2 - 4 Units	0.000000	0.333330	0.333330	0.333330
1	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000
2	Multi-Family with 5+ Units	0.000000	0.500000	0.000000	0.500000
3	Multi-Family with 5+ Units	0.000000	0.333330	0.333330	0.333330
# Calculated using dependencies					
